step	stage	instruction_de
1	OWNER	Nimm Bild, Becken, Station oder Diagrammplatz als stillen Besitzer.
2	REGISTER	Wähle WHAT für Herstellung, HOW für Anwendung und WHEN für Bedingung.
3	ORDER	Setze OT/OL/OS, wenn Folge, Fortsetzung oder Zusatz ausdrücklich markiert werden soll.
4	OPERATION	Wähle Handlungskerne wie OK, K, CH, CHD, CHK, LSH, P, SOLK oder T.
5	MATERIAL	Füge Teil, Ansatz, Portion, Maß oder Nachgabe mit HO/OR/AIN/AIIN/AN ein.
6	ADDRESS	Gib Quelle, Zielstelle, Lauf oder Durchlass mit AR/AL/AIR/CKH/L an.
7	GRADE	Setze E/EE/EEE für kurz, lang oder vollständig.
8	STATE	Setze bereit, kühl, halten, ruhen oder Stufe mit CTH/R/SH/SHED/IIN.
9	REFERENT	Setze Y für den laufenden Posten; wähle dessen funktionalen Allographen.
10	CLOSE	Füge DY nur als lizenzierten Schrittabschluss hinzu; nacktes dy kann ein Y-Allograph sein.
11	RENDER	Erhalte die Wurzelreihenfolge und wende q-, Rahmen-, Grad- und Endallographen an.
12	READ_BACK	Lies Wurzeln atomar zurück und erweitere sie mit Bildbesitzer zur flüssigen Werkstattanweisung.
