held_collection	model	queries	top1	top5	top1_rate	top5_rate	mrr100
b4	RAW_OPAQUE_WORD_IDENTITY	239	232	235	0.970711297	0.983263598	0.978207810
b4	GLOBAL_ANON_CONCEPT_IDENTITY	239	229	237	0.958158996	0.991631799	0.974965132
b4	GLOBAL_ANON_IDENTITY_PLUS_FLOW	239	229	237	0.958158996	0.991631799	0.974789652
b6	RAW_OPAQUE_WORD_IDENTITY	15	3	5	0.200000000	0.333333333	0.273719933
b6	GLOBAL_ANON_CONCEPT_IDENTITY	15	8	11	0.533333333	0.733333333	0.613838384
b6	GLOBAL_ANON_IDENTITY_PLUS_FLOW	15	8	11	0.533333333	0.733333333	0.614949495
br1	RAW_OPAQUE_WORD_IDENTITY	10	1	1	0.100000000	0.100000000	0.114880952
br1	GLOBAL_ANON_CONCEPT_IDENTITY	10	4	7	0.400000000	0.700000000	0.524224739
br1	GLOBAL_ANON_IDENTITY_PLUS_FLOW	10	4	7	0.400000000	0.700000000	0.524444444
bs1	RAW_OPAQUE_WORD_IDENTITY	81	33	44	0.407407407	0.543209877	0.462950486
bs1	GLOBAL_ANON_CONCEPT_IDENTITY	81	47	67	0.580246914	0.827160494	0.687765918
bs1	GLOBAL_ANON_IDENTITY_PLUS_FLOW	81	47	67	0.580246914	0.827160494	0.687840023
gr1	RAW_OPAQUE_WORD_IDENTITY	101	37	55	0.366336634	0.544554455	0.443800217
gr1	GLOBAL_ANON_CONCEPT_IDENTITY	101	53	82	0.524752475	0.811881188	0.646000163
gr1	GLOBAL_ANON_IDENTITY_PLUS_FLOW	101	51	82	0.504950495	0.811881188	0.632660257
w1	RAW_OPAQUE_WORD_IDENTITY	242	232	238	0.958677686	0.983471074	0.967799900
w1	GLOBAL_ANON_CONCEPT_IDENTITY	242	229	240	0.946280992	0.991735537	0.966688133
w1	GLOBAL_ANON_IDENTITY_PLUS_FLOW	242	229	240	0.946280992	0.991735537	0.966724059
