exercise_id	error_family	unit_id	page	owner_or_namespace	correct_surface_sequence	correct_atom_sequence	red_ink_corrupted_atom_sequence	wrong_readback_consequence_de	detection_channel	master_repair_de	correct_working_reading_de	new_surface_invented
EX-01	GRADE_CHANGE	H1-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	dchey cthoor char chty os kair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | EE+TY	kurz wird länger	LOCAL_CARD_READBACK	Gradzeichen laut lesen; E, EE und EEE vergleichen.	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	NO_RED_INK_ATOM_DRILL_ONLY
EX-02	GRADE_CHANGE	H4-S003	f55v	der ganzen breitblättrigen rispigen Bildpflanze	ykaiin cheoar chkeey oldy	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	Y+AIIN | CHEO+AR | CHK+E+Y | OL+CLOSE	länger wird kurz	LOCAL_CARD_READBACK	Gradzeichen laut lesen; E, EE und EEE vergleichen.	Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.	NO_RED_INK_ATOM_DRILL_ONLY
EX-03	GRADE_CHANGE	H5-S003	f56r	der ganzen mehrköpfigen stacheligen Bildpflanze	sh cho kchey qokokchy	SH | HO | KCH+E+Y | OK+OK+Y	SH | HO | KCH+EE+Y | OK+OK+Y	kurz wird länger	LOCAL_CARD_READBACK	Gradzeichen laut lesen; E, EE und EEE vergleichen.	Nimm vom übrigen Kraut die blühenden Stiele. Trockne sie im Schatten. Zerreibe sie grob. Verwahre sie trocken.	NO_RED_INK_ATOM_DRILL_ONLY
EX-04	GRADE_CHANGE	B1-S001	f81v	dem gemeinsamen zweireihigen Becken	qokedy	OK+E+CLOSE	OK+EE+CLOSE	kurz wird länger	LOCAL_CARD_READBACK	Gradzeichen laut lesen; E, EE und EEE vergleichen.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	NO_RED_INK_ATOM_DRILL_ONLY
EX-05	GRADE_CHANGE	B1-S004	f81v	dem gemeinsamen zweireihigen Becken	chedy tol tedy	CHD+Y | OL | SHED+E+CLOSE	CHD+Y | OL | SHED+EE+CLOSE	kurz wird länger	LOCAL_CARD_READBACK	Gradzeichen laut lesen; E, EE und EEE vergleichen.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	NO_RED_INK_ATOM_DRILL_ONLY
EX-06	GRADE_CHANGE	B1-S008	f81v	dem gemeinsamen zweireihigen Becken	dy tol cheky cheol dshedy	Y | OL | CHK+E+Y | OL | SHED+E+CLOSE	Y | OL | CHK+EE+Y | OL | SHED+E+CLOSE	kurz wird länger	LOCAL_CARD_READBACK	Gradzeichen laut lesen; E, EE und EEE vergleichen.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Diese aktive Portion. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bei sanfter Wärme. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	NO_RED_INK_ATOM_DRILL_ONLY
EX-07	GRADE_CHANGE	B1-S009	f81v	dem gemeinsamen zweireihigen Becken	qokedy	OK+E+CLOSE	OK+EE+CLOSE	kurz wird länger	LOCAL_CARD_READBACK	Gradzeichen laut lesen; E, EE und EEE vergleichen.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	NO_RED_INK_ATOM_DRILL_ONLY
EX-08	GRADE_CHANGE	B1-S010	f81v	dem gemeinsamen zweireihigen Becken	qokedy	OK+E+CLOSE	OK+EE+CLOSE	kurz wird länger	LOCAL_CARD_READBACK	Gradzeichen laut lesen; E, EE und EEE vergleichen.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	NO_RED_INK_ATOM_DRILL_ONLY
EX-09	Y_CLOSE_CONFUSION	H1-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	dchey cthoor char chty os kair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	DCHE+CLOSE | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	laufender Posten wird zum Schrittabschluss	LOCAL_CARD_READBACK	Prüfen, ob der Posten weiterläuft oder der Schritt wirklich schließt.	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	NO_RED_INK_ATOM_DRILL_ONLY
EX-10	Y_CLOSE_CONFUSION	H1-S002	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	choky otol chol cthy	OK+Y | OT+OL | OL | CTH+Y	OK+CLOSE | OT+OL | OL | CTH+Y	laufender Posten wird zum Schrittabschluss	LOCAL_CARD_READBACK	Prüfen, ob der Posten weiterläuft oder der Schritt wirklich schließt.	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	NO_RED_INK_ATOM_DRILL_ONLY
