analogy_id	candidate_surface	known_neighbor_surface	levenshtein_distance	within_closest_layer	selected_radius	known_neighbor_reading_ids	known_neighbor_levels	known_neighbor_max_score_not_probability	known_neighbor_occurrences	known_neighbor_pages	known_neighbor_core_axes	known_neighbor_union_axes	known_neighbor_best_gloss_de	known_neighbor_all_glosses_de	candidate_consensus_axes	candidate_analogy_confidence_level	relation_scope	literal_identity_credit	component_export_credit
G745-A0001	adchey	alchey	1	1	1	alchey#GLOBAL	W2_PROVISIONAL_WORKING	56	4	4	DRY|MATERIAL|MIDDLE_STAGE	DRY|MATERIAL|MIDDLE_STAGE	Rohstoff I, trocken in der Gradmitte	Rohstoff I, trocken in der Gradmitte	DRY|MIDDLE_STAGE	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G745-A0002	adchey	dchey	1	1	1	dchey#1|dchey#2	W3_SOLID_WORKING_THEORY	79	9	9	DRY|AMOUNT|MIDDLE_STAGE	DRY|AMOUNT|PROCESS|CLOSE|MIDDLE_STAGE|END_STAGE	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen || fertige abgemessene Mittelstufen-Trockenportion	DRY|MIDDLE_STAGE	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G745-A0003	alchd	alchdy	1	1	2	alchdy#GLOBAL	W2_PROVISIONAL_WORKING	48	2	2	DRY|MATERIAL|PROCESS|CLOSE|END_STAGE	DRY|MATERIAL|PROCESS|CLOSE|END_STAGE	Rohdroge I trocknen und fertigstellen	Rohdroge I trocknen und fertigstellen	DRY|MATERIAL|PROCESS	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G745-A0004	alchd	alchedy	2	0	2	alchedy#GLOBAL	W3_SOLID_WORKING_THEORY	66	4	4	DRY|MATERIAL|PROCESS|CLOSE|MIDDLE_STAGE|END_STAGE	DRY|MATERIAL|PROCESS|CLOSE|MIDDLE_STAGE|END_STAGE	Rohdroge I bis zur Mittelstufe trocknen und fertigstellen	Rohdroge I bis zur Mittelstufe trocknen und fertigstellen	DRY|MATERIAL|PROCESS	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G745-A0005	alchd	alchey	2	0	2	alchey#GLOBAL	W2_PROVISIONAL_WORKING	56	4	4	DRY|MATERIAL|MIDDLE_STAGE	DRY|MATERIAL|MIDDLE_STAGE	Rohstoff I, trocken in der Gradmitte	Rohstoff I, trocken in der Gradmitte	DRY|MATERIAL|PROCESS	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G745-A0006	alchd	darchd	2	0	2	darchd#GLOBAL	W2_PROVISIONAL_WORKING	46	1	1	DRY|PART	DRY|PART	miss die erste Fraktion ab, trockne sie und schließe ab	miss die erste Fraktion ab, trockne sie und schließe ab	DRY|MATERIAL|PROCESS	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G745-A0007	alchd	kalchdy	2	0	2	kalchdy#GLOBAL	W2_PROVISIONAL_WORKING	58	2	2	HOT|DRY|MATERIAL|PROCESS	HOT|DRY|MATERIAL|PROCESS	Rohdroge I erhitzen, trocknen und abschließen	Rohdroge I erhitzen, trocknen und abschließen	DRY|MATERIAL|PROCESS	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G745-A0008	alom	alam	1	1	1	alam#GLOBAL	W3_SOLID_WORKING_THEORY	73	10	8	AMOUNT|MATERIAL	AMOUNT|MATERIAL	ein Maß Rohdroge I	ein Maß Rohdroge I	MATERIAL	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G745-A0009	alom	alol	1	1	1	alol#GLOBAL	W3_SOLID_WORKING_THEORY	71	7	6	MATERIAL	MATERIAL	Drogenstoff aus Rohdroge I	Drogenstoff aus Rohdroge I	MATERIAL	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G745-A0010	chckh	chckhd	1	1	1	chckhd#GLOBAL	W2_PROVISIONAL_WORKING	56	4	4	DRY|PREPARATION|CLOSE|END_STAGE	DRY|PREPARATION|CLOSE|END_STAGE	trockenes Arzneikompositum, abgeschlossen	trockenes Arzneikompositum, abgeschlossen	DRY|PREPARATION	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G745-A0011	chckh	chckhy	1	1	1	chckhy#V84_1	W2_PROVISIONAL_WORKING	45	1	1	DRY|PREPARATION|BEGIN_STAGE	DRY|PREPARATION|BEGIN_STAGE	trockene Mischung, Anfangsstufe	trockene Mischung, Anfangsstufe	DRY|PREPARATION	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
