gdt745_card_id	candidate_surface	gdt744_field_slot_role	analogy_functional_class	next_working_meaning_de	analogy_confidence_level	analogy_consensus_axes	analogy_rival_axes	analogy_neighbor_surfaces	analogy_nearest_glosses_de	cache_occurrences	cache_pages	reader_exact_occurrences	reader_exact_pages	gdt744_seed_channels	gdt744_all_field_channel_counts	gdt744_cross_field_specific_role_conflict	positive_evidence	counterevidence	renderer_scope	literal_identity	confirmed_lexeme	component_export_credit
G745-C001	sheeol	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	MATERIAL_OR_PREPARATION_WHOLE	vollständig behandelter Stoff; feucht/eingeweicht gegen trocken offen	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	MATERIAL|END_STAGE	DRY|MOIST|PREPARATION	cheeol|sheeal|sheeo|sheeod|sheol	cheeol=vollständig getrockneter Drogenstoff || sheeal=Rohstoffklasse I, feucht am Gradende || sheeo=vollständig eingeweichter Ansatz || sheeod=vollständig eingeweichten Ansatz abschließen || sheol=feuchtes Material	10	8	9	7	DESCRIPTIVE_QUALITY	DESCRIPTIVE_QUALITY:1	0	GDT744 seed=DESCRIPTIVE_QUALITY; external exact informative=0; selected support pages=1; external signatures=0; anchor wholes=none	reader-variant occurrences=1; external exact open contexts=8; competing specific roles=NONE; role is inferred from neighboring working cards, not from the surface itself	EXACT_WHOLE_ROLE_CARD_ONLY_NO_LITERAL_SUBSTANCE	OPEN	0	0
G745-C002	okeeody	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	QUALIFIED_MATERIAL_OR_PREPARATION_WHOLE	vollständig erhitzter oder ausgekochter Ansatz; Abschlussstatus	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|PREPARATION|END_STAGE	CLOSE	keeody|okeedy|qokeeody	keeody=vollständig ausgekochter Ansatz || okeedy=heißer Ansatz am Ende des Grades, abgeschlossen || qokeeody=vollständig ausgekochter Ansatz	7	7	6	6	DESCRIPTIVE_MATERIA	DESCRIPTIVE_MATERIA:1	0	GDT744 seed=DESCRIPTIVE_MATERIA; external exact informative=0; selected support pages=1; external signatures=0; anchor wholes=none	reader-variant occurrences=1; external exact open contexts=5; competing specific roles=NONE; role is inferred from neighboring working cards, not from the surface itself	EXACT_WHOLE_ROLE_CARD_ONLY_NO_LITERAL_SUBSTANCE	OPEN	0	0
G745-C003	cheeey	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	QUALITY_OR_STATE_WHOLE	trockener End-/Vollzustand; Träger offen	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|END_STAGE	HOT|CLOSE|BEGIN_STAGE	cheedy|cheeky|cheey	cheedy=trocken am Ende des Grades, abgeschlossen || cheeky=trocken am Gradende, dann heiß am Gradanfang || cheey=trocken am Ende des Grades	8	6	7	5	DESCRIPTIVE_MATERIA	DESCRIPTIVE_MATERIA:1|OPEN:1	0	GDT744 seed=DESCRIPTIVE_MATERIA; external exact informative=0; selected support pages=1; external signatures=0; anchor wholes=none	reader-variant occurrences=1; external exact open contexts=6; competing specific roles=NONE; role is inferred from neighboring working cards, not from the surface itself	EXACT_WHOLE_ROLE_CARD_ONLY_NO_LITERAL_SUBSTANCE	OPEN	0	0
G745-C004	ykeeody	QUANTITY_REFERENT_OR_PART_NAME	QUALITY_OR_STATE_WHOLE	heißer End-/Abschlusszustand; Eintrag oder Ansatz offen	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|END_STAGE	PREPARATION|CLOSE	keeody|ykeedy	keeody=vollständig ausgekochter Ansatz || ykeedy=Eintrag: heiß am Gradende, abgeschlossen	8	6	7	5	QUANTITY_OR_PART	QUANTITY_OR_PART:1	0	GDT744 seed=QUANTITY_OR_PART; external exact informative=0; selected support pages=1; external signatures=0; anchor wholes=none	reader-variant occurrences=1; external exact open contexts=6; competing specific roles=NONE; role is inferred from neighboring working cards, not from the surface itself	EXACT_WHOLE_ROLE_CARD_ONLY_NO_LITERAL_SUBSTANCE	OPEN	0	0
G745-C005	qochey	QUANTITY_REFERENT_OR_PART_NAME	QUALITY_OR_STATE_WHOLE	trocken bis zur Mittelstufe; Zustands-, Zugabe- oder Mengenbezug offen	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|MIDDLE_STAGE	HOT|COLD|MATERIAL|PREPARATION	qochy|qockhey|qokchey|qolchey|qotchey	qochy=nimm leicht getrocknete Droge || qockhey=Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten || qokchey=heiß und trocken in der Mitte des Grades || qolchey=gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab || qotchey=kalt und trocken in der Mitte des Grades	6	5	6	5	QUANTITY_OR_PART	DESCRIPTIVE_MATERIA:1|QUANTITY_OR_PART:1	1	GDT744 seed=QUANTITY_OR_PART; external exact informative=0; selected support pages=1; external signatures=0; anchor wholes=none	reader-variant occurrences=0; external exact open contexts=5; competing specific roles=NONE; role is inferred from neighboring working cards, not from the surface itself	EXACT_WHOLE_ROLE_CARD_ONLY_NO_LITERAL_SUBSTANCE	OPEN	0	0
G745-C006	chetar	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	QUALITY_OR_STATE_WHOLE	erste trockene Fraktion der Mittelstufe	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|PART|MIDDLE_STAGE	HOT	chedar|chekar	chedar=abgemessene Trockenfraktion I, Mittelstufe || chekar=erste bis zur Mittelstufe getrocknete und erhitzte Fraktion	5	5	5	5	DESCRIPTIVE_MATERIA	DESCRIPTIVE_MATERIA:1	0	GDT744 seed=DESCRIPTIVE_MATERIA; external exact informative=0; selected support pages=1; external signatures=0; anchor wholes=none	reader-variant occurrences=0; external exact open contexts=4; competing specific roles=NONE; role is inferred from neighboring working cards, not from the surface itself	EXACT_WHOLE_ROLE_CARD_ONLY_NO_LITERAL_SUBSTANCE	OPEN	0	0
G745-C007	oteeol	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	QUALIFIED_MATERIAL_OR_PREPARATION_WHOLE	gekühlter Stoff im Ansatz; zweiter Kaltansatz als Rivale	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	COLD|MATERIAL|PREPARATION	HOT|PROCESS|PASS|MIDDLE_STAGE|END_STAGE	okeeol|oteeo|oteol	okeeol=vollständig erhitzter Ansatzstoff || oteeo=zweiter Kaltansatz || oteol=Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	5	5	5	5	DESCRIPTIVE_MATERIA	DESCRIPTIVE_MATERIA:1	0	GDT744 seed=DESCRIPTIVE_MATERIA; external exact informative=0; selected support pages=1; external signatures=0; anchor wholes=none	reader-variant occurrences=0; external exact open contexts=4; competing specific roles=NONE; role is inferred from neighboring working cards, not from the surface itself	EXACT_WHOLE_ROLE_CARD_ONLY_NO_LITERAL_SUBSTANCE	OPEN	0	0
G745-C008	ykeeey	INGREDIENT_OR_PROCESS_COMPLEMENT	QUALITY_OR_STATE_WHOLE	hieraus bis zur heißen Endstufe führen und abschließen	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|END_STAGE	PROCESS|CLOSE	ykeedy|ykeey	ykeedy=Eintrag: heiß am Gradende, abgeschlossen || ykeey=erhitze hiervon bis zur Endstufe und schließe ab	5	5	5	5	PRESCRIPTIVE_RECIPE	PRESCRIPTIVE_RECIPE:1	0	GDT744 seed=PRESCRIPTIVE_RECIPE; external exact informative=0; selected support pages=1; external signatures=0; anchor wholes=none	reader-variant occurrences=0; external exact open contexts=4; competing specific roles=NONE; role is inferred from neighboring working cards, not from the surface itself	EXACT_WHOLE_ROLE_CARD_ONLY_NO_LITERAL_SUBSTANCE	OPEN	0	0
G745-C009	dsheedy	QUANTITY_REFERENT_OR_PART_NAME	QUALIFIED_MATERIAL_OR_PREPARATION_WHOLE	vollständig angefeuchteter oder eingeweichter Stoff; abgemessene Portion als Rivale	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	MOIST|MATERIAL|END_STAGE	AMOUNT|MIDDLE_STAGE	dshedy|dsheey|sheedy	dshedy=bis zur Mittelstufe angefeuchtete Drogenportion || dsheey=abgemessene, vollständig angefeuchtete Droge || sheedy=feucht am Ende des Grades	4	4	4	4	QUANTITY_OR_PART	QUANTITY_OR_PART:1	0	GDT744 seed=QUANTITY_OR_PART; external exact informative=0; selected support pages=1; external signatures=0; anchor wholes=none	reader-variant occurrences=0; external exact open contexts=3; competing specific roles=NONE; role is inferred from neighboring working cards, not from the surface itself	EXACT_WHOLE_ROLE_CARD_ONLY_NO_LITERAL_SUBSTANCE	OPEN	0	0
G745-C010	alom	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	MATERIAL_OR_PREPARATION_WHOLE	Rohstoff-/Drogenstoff der Klasse I; Maßlesung offen	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	MATERIAL	AMOUNT	alam|alol	alam=ein Maß Rohdroge I || alol=Drogenstoff aus Rohdroge I	4	4	3	3	DESCRIPTIVE_MATERIA	DESCRIPTIVE_MATERIA:1	0	GDT744 seed=DESCRIPTIVE_MATERIA; external exact informative=0; selected support pages=1; external signatures=0; anchor wholes=none	reader-variant occurrences=1; external exact open contexts=2; competing specific roles=NONE; role is inferred from neighboring working cards, not from the surface itself	EXACT_WHOLE_ROLE_CARD_ONLY_NO_LITERAL_SUBSTANCE	OPEN	0	0
