membership_id	candidate_surface	page	locus	candidate_ordinal	gdt744_field_id	gdt744_target_surface	gdt744_target_ordinal	field_channel	field_role_family	field_confidence_tier	template_backed_field_reading	strong_anchor_count	strong_anchor_evidence	gdt744_seed_membership	gdt744_seed_candidate_id	literal_identity	component_export_credit
G745-M001	qochey	f104v	f104v.20	5	G744-F0006	lcheedy	3	DESCRIPTIVE_MATERIA	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	F1_SINGLE_CONTEXT	0	3	L1 sheeo=vollständig eingeweichter Ansatz [PREPARATION;W2_PROVISIONAL_WORKING] || R1 qokeey=heiß am Ende des Grades [HOT|VALUE;W3_SOLID_WORKING_THEORY] || R3 qotcheedy=kalt und trocken am Ende des Grades, abgeschlossen [CLOSE|COLD|DRY|VALUE;W3_SOLID_WORKING_THEORY]	0	NONE	OPEN	0
G745-M002	oteeos	f103r	f103r.9	1	G744-F0019	lkaiin	6	DESCRIPTIVE_MATERIA	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	1	1	L3 cheal=Rohstoffklasse I, trocken in der Gradmitte [DRY|MATERIAL|VALUE;W3_SOLID_WORKING_THEORY]	1	G744-U001	OPEN	0
G745-M003	chepchy	f103r	f103r.52	7	G744-F0020	lkaiin	9	DESCRIPTIVE_QUALITY	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	F3_RECURRENT_COMPLETE_CONTEXT	1	1	L4 qokeey=heiß am Ende des Grades [HOT|VALUE;W3_SOLID_WORKING_THEORY]	1	G744-U002	OPEN	0
G745-M004	otalsy	f103r	f103r.52	10	G744-F0020	lkaiin	9	DESCRIPTIVE_QUALITY	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	F3_RECURRENT_COMPLETE_CONTEXT	1	1	L4 qokeey=heiß am Ende des Grades [HOT|VALUE;W3_SOLID_WORKING_THEORY]	1	G744-U003	OPEN	0
G745-M005	olkeeor	f104r	f104r.24	5	G744-F0021	lkaiin	7	DESCRIPTIVE_MATERIA	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	1	1	L4 qotal=Rohstoffklasse I, kalt am Gradanfang [COLD|MATERIAL|VALUE;W3_SOLID_WORKING_THEORY]	1	G744-U004	OPEN	0
G745-M006	okechol	f104r	f104r.24	4	G744-F0021	lkaiin	7	DESCRIPTIVE_MATERIA	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	1	1	L4 qotal=Rohstoffklasse I, kalt am Gradanfang [COLD|MATERIAL|VALUE;W3_SOLID_WORKING_THEORY]	1	G744-U005	OPEN	0
G745-M007	shoda	f104r	f104r.32	7	G744-F0022	lkaiin	8	DESCRIPTIVE_MATERIA	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	1	1	L5 okshey=heiß-feuchter Ansatz in der Mitte des Grades [HOT|MOIST|PREPARATION|VALUE;W3_SOLID_WORKING_THEORY]	1	G744-U006	OPEN	0
G745-M008	otechshy	f104r	f104r.32	4	G744-F0022	lkaiin	8	DESCRIPTIVE_MATERIA	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	1	1	L5 okshey=heiß-feuchter Ansatz in der Mitte des Grades [HOT|MOIST|PREPARATION|VALUE;W3_SOLID_WORKING_THEORY]	1	G744-U007	OPEN	0
G745-M009	alchd	f104r	f104r.32	11	G744-F0022	lkaiin	8	DESCRIPTIVE_MATERIA	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	1	1	L5 okshey=heiß-feuchter Ansatz in der Mitte des Grades [HOT|MOIST|PREPARATION|VALUE;W3_SOLID_WORKING_THEORY]	1	G744-U008	OPEN	0
G745-M010	qoeechdy	f104v	f104v.13	3	G744-F0025	lkaiin	8	PRESCRIPTIVE_RECIPE	INGREDIENT_OR_PROCESS_COMPLEMENT	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	1	2	L4 qokeol=erhitze den Drogenstoff bis zur Mittelstufe [HOT|MATERIAL|PROCESS|VALUE;W3_SOLID_WORKING_THEORY] || L1 cheo=trocken angesetzte Zubereitung [DRY|PREPARATION;W3_SOLID_WORKING_THEORY]	1	G744-U009	OPEN	0
