gdt745_occurrence_id	cell_id	page	physical_folio	locus	candidate_ordinal	candidate_surface	candidate_reader_exact	section	language	hand	line_position	line_token_count	gdt744_seed_occurrence	gdt744_seed_field_ids	gdt744_seed_channels	gdt744_seed_slot_classes	external_to_gdt744_seed	left_extent	right_extent	bounded_span_tokens	left_boundary_reason	right_boundary_reason	boundary_complete	strong_anchor_count	strong_anchor_surfaces	strong_anchor_tags	strong_anchor_signature	strong_anchor_evidence	w3_anchor_count	w3_anchor_signature	w3_context_channel	context_channel	context_role_family	context_informative	quality_conflict	eva_context	safe_context_render_de	literal_identity	confirmed_lexeme	component_export_credit	unseen_form_export
G745-O001	G733-C00387	f102v1	f102	f102v1.22	1	ykeeody	0	P	A	1	FIRST	8	0	NONE	NONE	NONE	1	0	5	5	LINE_EDGE_AFTER_R0	RADIUS5_CENSORED	0	0	NONE	NONE	NONE	NONE	0	NONE	OPEN	OPEN	OPEN	0	0	⟦ykeeody⟧ chodaiin qokeos cheol qool chsey	⟦ykeeody: offene Inhaltsform⟧; [chodaiin:?]; [qokeos:?]; [cheol:?]; [qool:?]; [chsey:?]	OPEN	0	0	0
G745-O002	G733-C00448	f102v2	f102	f102v2.17	2	oteeos	1	P	A	1	MIDDLE	8	0	NONE	NONE	NONE	1	1	4	5	LINE_EDGE_AFTER_R1	CURRENT_CLOSE_INCLUDED_R4	1	0	NONE	NONE	NONE	NONE	0	NONE	OPEN	OPEN	OPEN	0	0	podeesho ⟦oteeos⟧ sheor qoteeo ch y	[podeesho:?]; ⟦oteeos: offene Inhaltsform⟧; [sheor:?]; [qoteeo:?]; [ch:?]; [y:?]	OPEN	0	0	0
G745-O003	G733-C00691	f103r	f103	f103r.14	4	qokeechy	1	S	B	3	MIDDLE	13	0	NONE	NONE	NONE	1	0	5	5	PRIOR_CLOSE_BEFORE_R1	RADIUS5_CENSORED	0	0	NONE	NONE	NONE	NONE	0	NONE	OPEN	OPEN	OPEN	0	0	⟦qokeechy⟧ qoky shey lol s aiin	⟦qokeechy: offene Inhaltsform⟧; [qoky:?]; [shey:?]; [lol:?]; [s:?]; [aiin:?]	OPEN	0	0	0
G745-O004	G733-C00854	f103r	f103	f103r.29	3	qochey	1	S	B	3	MIDDLE	6	0	NONE	NONE	NONE	1	2	3	5	LINE_EDGE_AFTER_R2	CURRENT_CLOSE_INCLUDED_R3	1	0	NONE	NONE	NONE	NONE	0	NONE	OPEN	OPEN	OPEN	0	0	qokeeechy shokeey ⟦qochey⟧ qokeey chal chedy	[qokeeechy:?]; [shokeey:?]; ⟦qochey: offene Inhaltsform⟧; [qokeey:?]; [chal:?]; [chedy:?]	OPEN	0	0	0
G745-O005	G733-C00966	f103r	f103	f103r.40	2	sheeol	0	S	B	3	MIDDLE	10	0	NONE	NONE	NONE	1	1	5	6	LINE_EDGE_AFTER_R1	CURRENT_CLOSE_INCLUDED_R5	1	0	NONE	NONE	NONE	NONE	0	NONE	OPEN	OPEN	OPEN	0	0	qokeey ⟦sheeol⟧ shckhy sheol shodyol aiin otedy	[qokeey:?]; ⟦sheeol: offene Inhaltsform⟧; [shckhy:?]; [sheol:?]; [shodyol:?]; [aiin:?]; [otedy:?]	OPEN	0	0	0
G745-O006	G733-C01003	f103r	f103	f103r.44	1	odeeey	1	S	B	3	FIRST	5	0	NONE	NONE	NONE	1	0	4	4	LINE_EDGE_AFTER_R0	CURRENT_CLOSE_INCLUDED_R4	1	0	NONE	NONE	NONE	NONE	0	NONE	OPEN	OPEN	OPEN	0	0	⟦odeeey⟧ qokeey shey sheal otshedy	⟦odeeey: offene Inhaltsform⟧; [qokeey:?]; [shey:?]; [sheal:?]; [otshedy:?]	OPEN	0	0	0
G745-O007	G733-C01065	f103r	f103	f103r.5	8	okalor	1	S	B	3	MIDDLE	13	1	G744-F0088	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	0	4	1	5	PRIOR_CLOSE_BEFORE_R5	CURRENT_CLOSE_INCLUDED_R1	1	0	NONE	NONE	NONE	NONE	0	NONE	OPEN	OPEN	OPEN	0	0	oteey qokey lkar sheeky ⟦okalor⟧ shedy	[oteey:?]; [qokey:?]; [lkar:?]; [sheeky:?]; ⟦okalor: offene Inhaltsform⟧; [shedy:?]	OPEN	0	0	0
G745-O008	G733-C01092	f103r	f103	f103r.52	7	chepchy	1	S	B	3	MIDDLE	10	1	G744-F0020	DESCRIPTIVE_QUALITY	LEMMA_OR_DESCRIPTIVE_CONTENT	0	2	3	5	PRIOR_CLOSE_BEFORE_R3	LINE_EDGE_AFTER_R3	1	0	NONE	NONE	NONE	NONE	0	NONE	OPEN	OPEN	OPEN	0	0	qokeey qoty ⟦chepchy⟧ qopchey lkaiin otalsy	[qokeey:?]; [qoty:?]; ⟦chepchy: offene Inhaltsform⟧; [qopchey:?]; [lkaiin:?]; [otalsy:?]	OPEN	0	0	0
G745-O009	G733-C01095	f103r	f103	f103r.52	10	otalsy	1	S	B	3	LAST	10	1	G744-F0020	DESCRIPTIVE_QUALITY	LEMMA_OR_DESCRIPTIVE_CONTENT	0	5	0	5	RADIUS5_CENSORED	LINE_EDGE_AFTER_R0	0	0	NONE	NONE	NONE	NONE	0	NONE	OPEN	OPEN	OPEN	0	0	qokeey qoty chepchy qopchey lkaiin ⟦otalsy⟧	[qokeey:?]; [qoty:?]; [chepchy:?]; [qopchey:?]; [lkaiin:?]; ⟦otalsy: offene Inhaltsform⟧	OPEN	0	0	0
G745-O010	G733-C01129	f103r	f103	f103r.7	6	okeeody	1	S	B	3	MIDDLE	9	0	NONE	NONE	NONE	1	5	3	8	RADIUS5_CENSORED	CURRENT_CLOSE_INCLUDED_R3	0	0	NONE	NONE	NONE	NONE	0	NONE	OPEN	OPEN	OPEN	0	0	saiin chey shs olshedy qokeey ⟦okeeody⟧ qoedy ol shedy	[saiin:?]; [chey:?]; [shs:?]; [olshedy:?]; [qokeey:?]; ⟦okeeody: offene Inhaltsform⟧; [qoedy:?]; [ol:?]; [shedy:?]	OPEN	0	0	0
G745-O011	G733-C01141	f103r	f103	f103r.8	9	adchey	1	S	B	3	MIDDLE	13	1	G744-F0131	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	0	5	4	9	RADIUS5_CENSORED	LINE_EDGE_AFTER_R4	0	0	NONE	NONE	NONE	NONE	0	NONE	OPEN	OPEN	OPEN	0	0	okey rain okechy qoisal qotar ⟦adchey⟧ ofeeo ltdy olkechdy lo	[okey:?]; [rain:?]; [okechy:?]; [qoisal:?]; [qotar:?]; ⟦adchey: offene Inhaltsform⟧; [ofeeo:?]; [ltdy:?]; [olkechdy:?]; [lo:?]	OPEN	0	0	0
