focus_id	selection_role	candidate_surface	gdt744_field_slot_role	analogy_functional_class	next_working_meaning_de	analogy_confidence_level	analogy_consensus_axes	analogy_rival_axes	analogy_neighbor_surfaces	analogy_nearest_glosses_de	page	locus	candidate_ordinal	line_position	external_to_gdt744_seed	boundary_complete	context_channel	context_role_family	strong_anchor_count	strong_anchor_evidence	eva_context	safe_context_render_de	manual_assessment	manual_note	literal_identity
G745-F01	BEST_EXTERNAL_EXACT_CONTEXT_PER_RANKED_SURFACE	sheeol	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	MATERIAL_OR_PREPARATION_WHOLE	vollständig behandelter Stoff; feucht/eingeweicht gegen trocken offen	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	MATERIAL|END_STAGE	DRY|MOIST|PREPARATION	cheeol|sheeal|sheeo|sheeod|sheol	cheeol=vollständig getrockneter Drogenstoff || sheeal=Rohstoffklasse I, feucht am Gradende || sheeo=vollständig eingeweichter Ansatz || sheeod=vollständig eingeweichten Ansatz abschließen || sheol=feuchtes Material	f111r	f111r.7	7	MIDDLE	1	1	OPEN	OPEN	0	NONE	lchedy chol ⟦sheeol⟧ qokeody raiin otedy	[lchedy:?]; [chol:?]; ⟦sheeol: offene Inhaltsform⟧; [qokeody:?]; [raiin:?]; [otedy:?]	ANALOGY_COHERENT_CONTEXT_OPEN	The five distance-1 wholes justify a treated-material reading, but this occurrence supplies no independent clean anchor and cannot choose moist versus dry.	OPEN
G745-F02	BEST_EXTERNAL_EXACT_CONTEXT_PER_RANKED_SURFACE	okeeody	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	QUALIFIED_MATERIAL_OR_PREPARATION_WHOLE	vollständig erhitzter oder ausgekochter Ansatz; Abschlussstatus	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|PREPARATION|END_STAGE	CLOSE	keeody|okeedy|qokeeody	keeody=vollständig ausgekochter Ansatz || okeedy=heißer Ansatz am Ende des Grades, abgeschlossen || qokeeody=vollständig ausgekochter Ansatz	f105r	f105r.19	7	MIDDLE	1	1	OPEN	OPEN	0	NONE	laiin ⟦okeeody⟧ okeeyteedy odaiin aiir al	[laiin:?]; ⟦okeeody: offene Inhaltsform⟧; [okeeyteedy:?]; [odaiin:?]; [aiir:?]; [al:?]	ANALOGY_COHERENT_CONTEXT_OPEN	The three distance-1 wholes converge on a heated complete preparation; the local line remains untyped, so patient and action/result stay open.	OPEN
G745-F03	BEST_EXTERNAL_EXACT_CONTEXT_PER_RANKED_SURFACE	cheeey	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	QUALITY_OR_STATE_WHOLE	trockener End-/Vollzustand; Träger offen	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|END_STAGE	HOT|CLOSE|BEGIN_STAGE	cheedy|cheeky|cheey	cheedy=trocken am Ende des Grades, abgeschlossen || cheeky=trocken am Gradende, dann heiß am Gradanfang || cheey=trocken am Ende des Grades	f103v	f103v.19	5	MIDDLE	1	1	OPEN	OPEN	0	NONE	daiin chey lkeey chalkar ⟦cheeey⟧ l chealainor	[daiin:?]; [chey:?]; [lkeey:?]; [chalkar:?]; ⟦cheeey: offene Inhaltsform⟧; [l:?]; [chealainor:?]	ANALOGY_COHERENT_CONTEXT_OPEN	Dry end-state is the cleanest whole-neighbor reading; none of the clipped local cells independently licenses a carrier.	OPEN
G745-F04	BEST_EXTERNAL_EXACT_CONTEXT_PER_RANKED_SURFACE	ykeeody	QUANTITY_REFERENT_OR_PART_NAME	QUALITY_OR_STATE_WHOLE	heißer End-/Abschlusszustand; Eintrag oder Ansatz offen	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|END_STAGE	PREPARATION|CLOSE	keeody|ykeedy	keeody=vollständig ausgekochter Ansatz || ykeedy=Eintrag: heiß am Gradende, abgeschlossen	f41v	f41v.3	10	MIDDLE	1	1	OPEN	OPEN	0	NONE	⟦ykeeody⟧ choy keoy dam	⟦ykeeody: offene Inhaltsform⟧; [choy:?]; [keoy:?]; [dam:?]	ANALOGY_COHERENT_WITH_EXPLICIT_RIVAL	The two closest wholes support a hot end field, while preparation versus entry/closure remains a real rival and the local context does not resolve it.	OPEN
G745-F05	BEST_EXTERNAL_EXACT_CONTEXT_PER_RANKED_SURFACE	qochey	QUANTITY_REFERENT_OR_PART_NAME	QUALITY_OR_STATE_WHOLE	trocken bis zur Mittelstufe; Zustands-, Zugabe- oder Mengenbezug offen	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|MIDDLE_STAGE	HOT|COLD|MATERIAL|PREPARATION	qochy|qockhey|qokchey|qolchey|qotchey	qochy=nimm leicht getrocknete Droge || qockhey=Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten || qokchey=heiß und trocken in der Mitte des Grades || qolchey=gib bis zur Mittelstufe getrockneten Drogenstoff hinzu und schließe ab || qotchey=kalt und trocken in der Mitte des Grades	f103r	f103r.29	3	MIDDLE	1	1	OPEN	OPEN	0	NONE	qokeeechy shokeey ⟦qochey⟧ qokeey chal chedy	[qokeeechy:?]; [shokeey:?]; ⟦qochey: offene Inhaltsform⟧; [qokeey:?]; [chal:?]; [chedy:?]	ANALOGY_COHERENT_WITH_FIELD_CONFLICT	Five closest wholes converge on dry middle-stage, but the two inherited fields split descriptive materia against quantity/part and block a single syntactic role.	OPEN
G745-F06	BEST_EXTERNAL_EXACT_CONTEXT_PER_RANKED_SURFACE	chetar	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	QUALITY_OR_STATE_WHOLE	erste trockene Fraktion der Mittelstufe	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|PART|MIDDLE_STAGE	HOT	chedar|chekar	chedar=abgemessene Trockenfraktion I, Mittelstufe || chekar=erste bis zur Mittelstufe getrocknete und erhitzte Fraktion	f111v	f111v.13	6	MIDDLE	1	1	OPEN	OPEN	0	NONE	⟦chetar⟧ okaiin shal lchdal tedy	⟦chetar: offene Inhaltsform⟧; [okaiin:?]; [shal:?]; [lchdal:?]; [tedy:?]	ANALOGY_COHERENT_CONTEXT_OPEN	Both distance-1 neighbors encode a first dry middle-stage fraction; this occurrence itself has no admitted semantic anchor.	OPEN
G745-F07	BEST_EXTERNAL_EXACT_CONTEXT_PER_RANKED_SURFACE	oteeol	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	QUALIFIED_MATERIAL_OR_PREPARATION_WHOLE	gekühlter Stoff im Ansatz; zweiter Kaltansatz als Rivale	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	COLD|MATERIAL|PREPARATION	HOT|PROCESS|PASS|MIDDLE_STAGE|END_STAGE	okeeol|oteeo|oteol	okeeol=vollständig erhitzter Ansatzstoff || oteeo=zweiter Kaltansatz || oteol=Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	f107r	f107r.8	3	MIDDLE	1	1	OPEN	OPEN	0	NONE	torshor sheeey ⟦oteeol⟧ qokeey qokedy	[torshor:?]; [sheeey:?]; ⟦oteeol: offene Inhaltsform⟧; [qokeey:?]; [qokedy:?]	ANALOGY_COHERENT_WITH_POLARITY_RIVAL	Cold preparation/material is the majority pattern, but the equally close okeeol hot counterpart makes temperature polarity explicitly defeasible.	OPEN
G745-F08	BEST_EXTERNAL_EXACT_CONTEXT_PER_RANKED_SURFACE	ykeeey	INGREDIENT_OR_PROCESS_COMPLEMENT	QUALITY_OR_STATE_WHOLE	hieraus bis zur heißen Endstufe führen und abschließen	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|END_STAGE	PROCESS|CLOSE	ykeedy|ykeey	ykeedy=Eintrag: heiß am Gradende, abgeschlossen || ykeey=erhitze hiervon bis zur Endstufe und schließe ab	f114r	f114r.12	6	MIDDLE	1	1	OPEN	OPEN	0	NONE	⟦ykeeey⟧ teos lair sheod chody	⟦ykeeey: offene Inhaltsform⟧; [teos:?]; [lair:?]; [sheod:?]; [chody:?]	ANALOGY_COHERENT_CONTEXT_OPEN	Both closest wholes support a hot end-stage continuation or closure; the candidate-centered context cannot decide command versus result.	OPEN
G745-F09	BEST_EXTERNAL_EXACT_CONTEXT_PER_RANKED_SURFACE	dsheedy	QUANTITY_REFERENT_OR_PART_NAME	QUALIFIED_MATERIAL_OR_PREPARATION_WHOLE	vollständig angefeuchteter oder eingeweichter Stoff; abgemessene Portion als Rivale	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	MOIST|MATERIAL|END_STAGE	AMOUNT|MIDDLE_STAGE	dshedy|dsheey|sheedy	dshedy=bis zur Mittelstufe angefeuchtete Drogenportion || dsheey=abgemessene, vollständig angefeuchtete Droge || sheedy=feucht am Ende des Grades	f104r	f104r.21	1	FIRST	1	1	OPEN	OPEN	0	NONE	⟦dsheedy⟧ qokaiin chear olkchedy charaiin	⟦dsheedy: offene Inhaltsform⟧; [qokaiin:?]; [chear:?]; [olkchedy:?]; [charaiin:?]	ANALOGY_COHERENT_CONTEXT_OPEN	The first-position occurrence is compatible with a moist material entry, but its line supplies no clean quantity or carrier anchor beyond the whole-neighbor deck.	OPEN
G745-F10	BEST_EXTERNAL_EXACT_CONTEXT_PER_RANKED_SURFACE	alom	DESCRIPTIVE_LEMMA_OR_ATTRIBUTE	MATERIAL_OR_PREPARATION_WHOLE	Rohstoff-/Drogenstoff der Klasse I; Maßlesung offen	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	MATERIAL	AMOUNT	alam|alol	alam=ein Maß Rohdroge I || alol=Drogenstoff aus Rohdroge I	f58r	f58r.30	3	MIDDLE	1	1	OPEN	OPEN	0	NONE	ytor ar ⟦alom⟧ qokalor chdy	[ytor:?]; [ar:?]; ⟦alom: offene Inhaltsform⟧; [qokalor:?]; [chdy:?]	ANALOGY_COHERENT_WITH_MEASURE_RIVAL	The two closest wholes share raw material, while one is a measure and the other a substance form; the local context cannot choose.	OPEN
