exercise_id	surface	component_recipe	abstract_core_de	workshop_scene_prompt_de	workshop_reading_de	diagram_scene_prompt_de	diagram_reading_de	apprentice_decision_de
P934-X01	daiin	AIIN	SOLLWERT	Die Karte steht in einem laufenden Arbeitsfeld.	Sollmaß	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	verzeichneter Sollwert	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X02	chedy	CHD+Y	WECHSEL → REFERENT	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsgut umsetzen; dieser Arbeitsgegenstand	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X03	dy	Y	REFERENT	Die Karte steht in einem laufenden Arbeitsfeld.	dieser Arbeitsgegenstand	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	dieser Bildplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X04	ol	OL	FORTSETZUNG	Die Karte steht in einem laufenden Arbeitsfeld.	im selben Arbeitsgang fortfahren	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	dieselbe Reihe fortführen	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X05	chey	Y	REFERENT	Die Karte steht in einem laufenden Arbeitsfeld.	dieser Arbeitsgegenstand	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	dieser Bildplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X06	aiin	AIIN	SOLLWERT	Die Karte steht in einem laufenden Arbeitsfeld.	Sollmaß	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	verzeichneter Sollwert	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X07	s	S	AUSWAHL	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsvariante auswählen	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Bildklasse auswählen	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X08	dal	AL	ZIEL	Die Karte steht in einem laufenden Arbeitsfeld.	Ziel- oder Anschlussstelle	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Zielplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X09	shey	SH+E+Y	HALTEN → GRAD_1 → REFERENT	Die Karte steht in einem laufenden Arbeitsfeld.	Arbeitsgegenstand halten; kurz oder direkt; dieser Arbeitsgegenstand	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	Bezug festhalten; erster Grad; dieser Bildplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
P934-X10	y	Y	REFERENT	Die Karte steht in einem laufenden Arbeitsfeld.	dieser Arbeitsgegenstand	Dieselbe Karte steht unmittelbar an Figur, Ring oder Station.	dieser Bildplatz	Oberfläche und Rezept bleiben gleich; nur die registergebundene Expansion wechselt.
