reader_id	gdt744_field_id	manual_coherence	manual_information_gain	manual_note
G744-R01	G744-F0011	COHERENT_ROLE_ONLY	1	Quality-description channel is clearer than the inherited open status field; lemma and carrier remain visibly open.
G744-R02	G744-F0037	COHERENT_TWO_LAYER	1	The target contributes amount/portion level III while the surrounding field contributes hot material/preparation context; neither layer is collapsed into a substance name.
G744-R03	G744-F0020	COHERENT_ROLE_ONLY	1	The hot descriptive channel narrows the field while both visible content candidates remain unidentified.
G744-R04	G744-F0028	COHERENT_PROCESS_PASS	1	PASS is correctly rendered as a processing section rather than an unsupported imperative; the ingredient remains open.
G744-R05	G744-F0064	COHERENT_OPEN_TARGET_AXIS	1	The target axis remains open while the field supplies a hot material/preparation/part description.
G744-R06	G744-F0081	COHERENT_PROCESS_FIELD	1	A process field is supported without inventing the processed substance.
G744-R07	G744-F0075	COHERENT_CHANNEL_WITH_QUALITY_CONFLICT	1	The recipe channel is useful, but dry and moist anchors compete and are explicitly left uncollapsed.
G744-R08	G744-F0073	COHERENT_QUANTITY_PART	1	The part/portion field is concrete at role level and does not invent its referent.
G744-R09	G744-F0088	COHERENT_CHANNEL_WITH_QUALITY_CONFLICT	1	The descriptive channel holds, but hot and cold anchors compete and are explicitly flagged.
G744-R10	G744-F0092	COHERENT_ROLE_ONLY	1	A cold descriptive degree field is locally readable while the lemma stays open.
G744-R11	G744-F0106	COHERENT_QUANTITY_PART	1	The field and inherited target both support a material-part quantity reading without naming the material.
G744-R12	G744-F0126	COHERENT_TWO_LAYER	1	The target supplies an entry/status role while the surrounding field supplies a quantity referent slot; the unusual combination remains explicit.
G744-R13	G744-F0135	COHERENT_ROLE_ONLY	1	The field is a hot/dry preparation description with a visible open lemma candidate.
G744-R14	G744-F0169	COHERENT_ROLE_ONLY	1	The entry-level target and hot/dry preparation description combine without a literal plant or drug name.
G744-R15	G744-F0196	COHERENT_CHANNEL_WITH_QUALITY_CONFLICT	1	The quality-description channel is useful, but dry and moist anchors compete and are explicitly flagged.
G744-R16	G744-F0151	COHERENT_QUANTITY_PART	1	The amount/material context supports a quantity field while the actual referent remains open.
G744-R17	G744-F0156	COHERENT_CENSORED_TEMPLATE	1	The recurrent descriptive template is useful, with the open radius-five boundary stated in the card.
G744-R18	G744-F0134	PROVISIONAL_WINDOW_ONLY	0	The process-pass reading is plausible, but complete-boundary recurrence is absent and no renderer licence is granted.
G744-R19	G744-F0048	PROVISIONAL_WINDOW_ONLY	0	The quantity reading is plausible, but complete-boundary recurrence is absent and no renderer licence is granted.
G744-R20	G744-F0002	OPEN_CONTROL	0	No strong historical channel anchor survives; the renderer correctly adds nothing.
