pair_support_id	target_matrix_cell_id	target_frame	target_action_recipe	target_register	ordered_action_pair	ordered_reading_de	pair_status	pair_exact_recipe_type_count	pair_event_count	pair_clean_recipe_type_count	pair_register_count	pair_registers	pair_attested_in_target_register	licensed_grades	licensed_arguments	endpoint_license	guard
G501-P001	G498-M480	CH+@ACTION	CH+CHD	PHARMA	CH+CHD	NEHMEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P002	G498-M476	CH+@ACTION	CH+CHD	SOURCE_SECTION_T	CH+CHD	NEHMEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P003	G498-M455	CH+@ACTION	CH+OK	PHARMA	CH+OK	NEHMEN → SETZEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P004	G498-M451	CH+@ACTION	CH+OK	SOURCE_SECTION_T	CH+OK	NEHMEN → SETZEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P005	G498-M495	CH+@ACTION	CH+P	PHARMA	CH+P	NEHMEN → EINSETZEN	PAIR_ATTESTED	19	25	18	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	YES	E|EEE	Y|AIIN|OR	CLOSE_SLOT_ATTESTED	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P006	G498-M491	CH+@ACTION	CH+P	SOURCE_SECTION_T	CH+P	NEHMEN → EINSETZEN	PAIR_ATTESTED	19	25	18	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	YES	E|EEE	Y|AIIN|OR	CLOSE_SLOT_ATTESTED	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P007	G498-M465	CH+@ACTION	CH+SH	PHARMA	CH+SH	NEHMEN → HALTEN	PAIR_ATTESTED	3	3	3	2	HERBAL|BIOLOGICAL	NO	E	Y|OR	CLOSE_SLOT_ATTESTED	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P008	G498-M461	CH+@ACTION	CH+SH	SOURCE_SECTION_T	CH+SH	NEHMEN → HALTEN	PAIR_ATTESTED	3	3	3	2	HERBAL|BIOLOGICAL	NO	E	Y|OR	CLOSE_SLOT_ATTESTED	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P009	G498-M279	@ACTION+CHD+Y	CH+CHD+Y	CELESTIAL	CH+CHD	NEHMEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-P010	G498-M280	@ACTION+CHD+Y	CH+CHD+Y	PHARMA	CH+CHD	NEHMEN → BEARBEITEN	PAIR_ABSENT	0	0	0	0	NONE	NO	NONE	NONE	NO_CLOSE_SLOT	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
