frontier_priority_rank	frontier_tier_rank	frontier_support_tier	frontier_support_reason	source_matrix_cell_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_component_trace_de	current_default_phrase_de	gdt500_editorial_status	component_count	partial_candidate_count	exact_partial_witness_count	same_register_action_partial_count	same_register_action_partial_recipes	same_register_action_partial_event_count	same_register_near_deletion_count	same_register_near_deletion_recipes	same_register_near_deletion_event_count	longest_same_register_action_partial_length	same_register_frame_backbone_count	same_register_frame_backbone_recipes	same_register_frame_backbone_event_count	cross_register_action_partial_count	cross_register_action_partial_event_count	cross_register_near_deletion_count	cross_register_near_deletion_event_count	longest_cross_register_action_partial_length	ordered_action_pair	ordered_pair_attested	ordered_pair_attested_in_target_register	ordered_pair_event_count	ordered_pair_register_count	all_component_value_cells_old	evidence_status_retained	working_root_meaning_changed	current_phrase_changed	surface_prediction_made	occurrence_prediction_made	guard
1	1	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M239	@ACTION+CH+E+Y	SH	SH+CH+E+Y	CELESTIAL	HALTEN · NEHMEN · GRAD I · POSTEN	POSITION HALTEN · POSITION AUFNEHMEN · GRAD I · POSITIONSPOSTEN	Halte den Positionsposten und nimm den Positionsposten auf; auf Grad I.	UNCHANGED	4	10	15	2	SH+E|SH+E+Y	5	1	SH+E+Y	4	3	1	CH+E	1	3	42	1	40	3	SH+CH	YES	NO	2	2	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
2	2	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M240	@ACTION+CH+E+Y	SH	SH+CH+E+Y	PHARMA	HALTEN · NEHMEN · GRAD I · POSTEN	ANSATZ HALTEN · DROGENPOSTEN NEHMEN · GRAD I · DROGENPOSTEN	Halte den Drogenposten und nimm den Drogenposten; auf Grad I.	UNCHANGED	4	10	15	1	SH+E+Y	1	1	SH+E+Y	1	3	2	E+Y|CH+E+Y	2	3	46	1	43	3	SH+CH	YES	YES	2	2	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
3	3	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M235	@ACTION+CH+E+Y	CH	CH+CH+E+Y	PHARMA	NEHMEN · NEHMEN · GRAD I · POSTEN	DROGENPOSTEN NEHMEN · DROGENPOSTEN NEHMEN · GRAD I · DROGENPOSTEN	Nimm den Drogenposten zweimal; auf Grad I.	REPEATED_ACTION_COMPRESSED	4	7	7	1	CH+E+Y	1	1	CH+E+Y	1	3	1	E+Y	1	2	5	1	4	3	CH+CH	YES	NO	7	3	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
4	4	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M365	@ACTION+OR+Y	OK	OK+OR+Y	PHARMA	SETZEN · EINHEIT · POSTEN	ANSATZ ANSETZEN · ANSATZEINHEIT · DROGENPOSTEN	Setze die Ansatzeinheit und den Drogenposten als Ansatz an.	UNCHANGED	3	3	10	2	OK+OR|OK+Y	9	2	OK+OR|OK+Y	9	2	1	OR+Y	1	2	59	2	59	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
5	5	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M370	@ACTION+OR+Y	CH	CH+OR+Y	PHARMA	NEHMEN · EINHEIT · POSTEN	DROGENPOSTEN NEHMEN · ANSATZEINHEIT · DROGENPOSTEN	Nimm die Ansatzeinheit und den Drogenposten.	UNCHANGED	3	3	5	1	CH+OR	7	1	CH+OR	7	2	1	OR+Y	1	1	16	1	16	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
6	6	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M207	@ACTION+AL+Y	CHD	CHD+AL+Y	HERBAL	BEARBEITEN · ZIELORT · POSTEN	MATERIAL BEARBEITEN · ZIELSTELLE · PFLANZENPOSTEN	Bearbeite den Pflanzenposten; zur Zielstelle.	UNCHANGED	3	3	10	1	CHD+Y	7	1	CHD+Y	7	2	0	NONE	0	2	102	2	102	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
7	7	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M197	@ACTION+AL+Y	K	K+AL+Y	HERBAL	GEBEN · ZIELORT · POSTEN	MATERIAL ZUGEBEN · ZIELSTELLE · PFLANZENPOSTEN	Gib den Pflanzenposten zu; zur Zielstelle.	UNCHANGED	3	3	10	2	K+AL|K+Y	4	2	K+AL|K+Y	4	2	0	NONE	0	2	8	2	8	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
8	8	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M364	@ACTION+OR+Y	OK	OK+OR+Y	CELESTIAL	SETZEN · EINHEIT · POSTEN	POSITION SETZEN · POSITIONSEINHEIT · POSITIONSPOSTEN	Setze die Positionseinheit und den Positionsposten.	UNCHANGED	3	3	10	1	OK+OR	3	1	OK+OR	3	2	0	NONE	0	2	65	2	65	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
9	9	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M380	@ACTION+OR+Y	K	K+OR+Y	PHARMA	GEBEN · EINHEIT · POSTEN	ZUTAT ZUGEBEN · ANSATZEINHEIT · DROGENPOSTEN	Gib die Ansatzeinheit und den Drogenposten zu.	UNCHANGED	3	3	9	2	K+OR|K+Y	2	2	K+OR|K+Y	2	2	1	OR+Y	1	2	9	2	9	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
10	10	A_SAME_REGISTER_NEAR_DELETION	EXACT_ACTION_RETAINING_N_MINUS_ONE_RECIPE_SAME_REGISTER	G498-M389	@ACTION+OR+Y	CHD	CHD+OR+Y	CELESTIAL	BEARBEITEN · EINHEIT · POSTEN	EINTRAG BEARBEITEN · POSITIONSEINHEIT · POSITIONSPOSTEN	Bearbeite die Positionseinheit und den Positionsposten.	UNCHANGED	3	3	8	1	CHD+Y	2	1	CHD+Y	2	2	0	NONE	0	2	106	2	106	2	NONE	NO	NO	0	0	YES	COMPOSED_WORKING	NO	NO	NO	NO	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
