partial_candidate_id	target_matrix_cell_id	target_frame	target_action_root	target_action_recipe	target_register	partial_recipe	partial_component_count	removed_component_count	removal_position_sets	removed_token_sets	near_single_deletion	contiguous_in_target	contains_target_action_root	same_register_exact_cell_count	same_register_event_count	same_register_clause_form_count	same_register_page_count	same_register_pages	cross_register_exact_cell_count	cross_registers	cross_register_event_count	cross_register_page_count	cross_register_pages	guard
G501-C0001	G498-M279	@ACTION+CHD+Y	CH	CH+CHD+Y	CELESTIAL	CH+CHD	2	1	3	Y	YES	YES	YES	0	0	0	0	NONE	0	NONE	0	0	NONE	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0002	G498-M279	@ACTION+CHD+Y	CH	CH+CHD+Y	CELESTIAL	CH+Y	2	1	2	CHD	YES	NO	YES	0	0	0	0	NONE	0	NONE	0	0	NONE	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0003	G498-M279	@ACTION+CHD+Y	CH	CH+CHD+Y	CELESTIAL	CHD+Y	2	1	1	CH	YES	YES	NO	1	2	1	1	f72r	4	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	105	12	f1r|f55v|f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0004	G498-M280	@ACTION+CHD+Y	CH	CH+CHD+Y	PHARMA	CH+CHD	2	1	3	Y	YES	YES	YES	0	0	0	0	NONE	0	NONE	0	0	NONE	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0005	G498-M280	@ACTION+CHD+Y	CH	CH+CHD+Y	PHARMA	CH+Y	2	1	2	CHD	YES	NO	YES	0	0	0	0	NONE	0	NONE	0	0	NONE	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0006	G498-M280	@ACTION+CHD+Y	CH	CH+CHD+Y	PHARMA	CHD+Y	2	1	1	CH	YES	YES	NO	1	1	1	1	f89r	4	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	106	12	f1r|f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f95v	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0007	G498-M276	@ACTION+CHD+Y	CH	CH+CHD+Y	SOURCE_SECTION_T	CH+CHD	2	1	3	Y	YES	YES	YES	0	0	0	0	NONE	0	NONE	0	0	NONE	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0008	G498-M276	@ACTION+CHD+Y	CH	CH+CHD+Y	SOURCE_SECTION_T	CH+Y	2	1	2	CHD	YES	NO	YES	0	0	0	0	NONE	0	NONE	0	0	NONE	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0009	G498-M276	@ACTION+CHD+Y	CH	CH+CHD+Y	SOURCE_SECTION_T	CHD+Y	2	1	1	CH	YES	YES	NO	1	1	1	1	f1r	4	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	106	12	f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0010	G498-M369	@ACTION+OR+Y	CH	CH+OR+Y	CELESTIAL	CH+OR	2	1	3	Y	YES	YES	YES	0	0	0	0	NONE	3	HERBAL|PHARMA|SOURCE_SECTION_T	23	10	f1r|f10r|f13r|f17r|f18r|f24v|f56r|f88r|f88v|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0011	G498-M369	@ACTION+OR+Y	CH	CH+OR+Y	CELESTIAL	CH+Y	2	1	2	OR	YES	NO	YES	0	0	0	0	NONE	0	NONE	0	0	NONE	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0012	G498-M369	@ACTION+OR+Y	CH	CH+OR+Y	CELESTIAL	OR+Y	2	1	1	CH	YES	YES	NO	0	0	0	0	NONE	2	BIOLOGICAL|PHARMA	3	3	f75r|f82r|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0013	G498-M370	@ACTION+OR+Y	CH	CH+OR+Y	PHARMA	CH+OR	2	1	3	Y	YES	YES	YES	1	7	1	3	f88r|f88v|f89r	2	HERBAL|SOURCE_SECTION_T	16	7	f1r|f10r|f13r|f17r|f18r|f24v|f56r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0014	G498-M370	@ACTION+OR+Y	CH	CH+OR+Y	PHARMA	CH+Y	2	1	2	OR	YES	NO	YES	0	0	0	0	NONE	0	NONE	0	0	NONE	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0015	G498-M370	@ACTION+OR+Y	CH	CH+OR+Y	PHARMA	OR+Y	2	1	1	CH	YES	YES	NO	1	1	1	1	f89r	1	BIOLOGICAL	2	2	f75r|f82r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0016	G498-M207	@ACTION+AL+Y	CHD	CHD+AL+Y	HERBAL	CHD+AL	2	1	3	Y	YES	YES	YES	0	0	0	0	NONE	2	BIOLOGICAL|CELESTIAL	2	2	f72r|f83r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0017	G498-M207	@ACTION+AL+Y	CHD	CHD+AL+Y	HERBAL	CHD+Y	2	1	2	AL	YES	NO	YES	1	7	1	3	f55v|f56r|f95v	4	BIOLOGICAL|CELESTIAL|PHARMA|SOURCE_SECTION_T	100	10	f1r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0018	G498-M207	@ACTION+AL+Y	CHD	CHD+AL+Y	HERBAL	AL+Y	2	1	1	CHD	YES	YES	NO	0	0	0	0	NONE	3	BIOLOGICAL|CELESTIAL|PHARMA	9	7	f71v|f72r|f75r|f76r|f77r|f81r|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0019	G498-M206	@ACTION+AL+Y	CHD	CHD+AL+Y	SOURCE_SECTION_T	CHD+AL	2	1	3	Y	YES	YES	YES	0	0	0	0	NONE	2	BIOLOGICAL|CELESTIAL	2	2	f72r|f83r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0020	G498-M206	@ACTION+AL+Y	CHD	CHD+AL+Y	SOURCE_SECTION_T	CHD+Y	2	1	2	AL	YES	NO	YES	1	1	1	1	f1r	4	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	106	12	f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0021	G498-M206	@ACTION+AL+Y	CHD	CHD+AL+Y	SOURCE_SECTION_T	AL+Y	2	1	1	CHD	YES	YES	NO	0	0	0	0	NONE	3	BIOLOGICAL|CELESTIAL|PHARMA	9	7	f71v|f72r|f75r|f76r|f77r|f81r|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0022	G498-M389	@ACTION+OR+Y	CHD	CHD+OR+Y	CELESTIAL	CHD+OR	2	1	3	Y	YES	YES	YES	0	0	0	0	NONE	1	BIOLOGICAL	1	1	f76r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0023	G498-M389	@ACTION+OR+Y	CHD	CHD+OR+Y	CELESTIAL	CHD+Y	2	1	2	OR	YES	NO	YES	1	2	1	1	f72r	4	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	105	12	f1r|f55v|f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0024	G498-M389	@ACTION+OR+Y	CHD	CHD+OR+Y	CELESTIAL	OR+Y	2	1	1	CHD	YES	YES	NO	0	0	0	0	NONE	2	BIOLOGICAL|PHARMA	3	3	f75r|f82r|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0025	G498-M390	@ACTION+OR+Y	CHD	CHD+OR+Y	PHARMA	CHD+OR	2	1	3	Y	YES	YES	YES	0	0	0	0	NONE	1	BIOLOGICAL	1	1	f76r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0026	G498-M390	@ACTION+OR+Y	CHD	CHD+OR+Y	PHARMA	CHD+Y	2	1	2	OR	YES	NO	YES	1	1	1	1	f89r	4	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	106	12	f1r|f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f95v	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0027	G498-M390	@ACTION+OR+Y	CHD	CHD+OR+Y	PHARMA	OR+Y	2	1	1	CHD	YES	YES	NO	1	1	1	1	f89r	1	BIOLOGICAL	2	2	f75r|f82r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0028	G498-M197	@ACTION+AL+Y	K	K+AL+Y	HERBAL	K+AL	2	1	3	Y	YES	YES	YES	1	1	1	1	f55v	2	BIOLOGICAL|CELESTIAL	4	3	f71v|f75r|f76r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0029	G498-M197	@ACTION+AL+Y	K	K+AL+Y	HERBAL	K+Y	2	1	2	AL	YES	NO	YES	1	3	1	2	f11r|f13r	3	BIOLOGICAL|PHARMA|SOURCE_SECTION_T	4	4	f1r|f76r|f81v|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0030	G498-M197	@ACTION+AL+Y	K	K+AL+Y	HERBAL	AL+Y	2	1	1	K	YES	YES	NO	0	0	0	0	NONE	3	BIOLOGICAL|CELESTIAL|PHARMA	9	7	f71v|f72r|f75r|f76r|f77r|f81r|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0031	G498-M196	@ACTION+AL+Y	K	K+AL+Y	SOURCE_SECTION_T	K+AL	2	1	3	Y	YES	YES	YES	0	0	0	0	NONE	3	BIOLOGICAL|CELESTIAL|HERBAL	5	4	f55v|f71v|f75r|f76r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0032	G498-M196	@ACTION+AL+Y	K	K+AL+Y	SOURCE_SECTION_T	K+Y	2	1	2	AL	YES	NO	YES	1	1	1	1	f1r	3	BIOLOGICAL|HERBAL|PHARMA	6	5	f11r|f13r|f76r|f81v|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0033	G498-M196	@ACTION+AL+Y	K	K+AL+Y	SOURCE_SECTION_T	AL+Y	2	1	1	K	YES	YES	NO	0	0	0	0	NONE	3	BIOLOGICAL|CELESTIAL|PHARMA	9	7	f71v|f72r|f75r|f76r|f77r|f81r|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0034	G498-M379	@ACTION+OR+Y	K	K+OR+Y	CELESTIAL	K+OR	2	1	3	Y	YES	YES	YES	0	0	0	0	NONE	3	BIOLOGICAL|PHARMA|SOURCE_SECTION_T	4	3	f1r|f76r|f88r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0035	G498-M379	@ACTION+OR+Y	K	K+OR+Y	CELESTIAL	K+Y	2	1	2	OR	YES	NO	YES	0	0	0	0	NONE	4	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	7	6	f1r|f11r|f13r|f76r|f81v|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0036	G498-M379	@ACTION+OR+Y	K	K+OR+Y	CELESTIAL	OR+Y	2	1	1	K	YES	YES	NO	0	0	0	0	NONE	2	BIOLOGICAL|PHARMA	3	3	f75r|f82r|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0037	G498-M380	@ACTION+OR+Y	K	K+OR+Y	PHARMA	K+OR	2	1	3	Y	YES	YES	YES	1	1	1	1	f88r	2	BIOLOGICAL|SOURCE_SECTION_T	3	2	f1r|f76r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0038	G498-M380	@ACTION+OR+Y	K	K+OR+Y	PHARMA	K+Y	2	1	2	OR	YES	NO	YES	1	1	1	1	f89r	3	BIOLOGICAL|HERBAL|SOURCE_SECTION_T	6	5	f1r|f11r|f13r|f76r|f81v	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0039	G498-M380	@ACTION+OR+Y	K	K+OR+Y	PHARMA	OR+Y	2	1	1	K	YES	YES	NO	1	1	1	1	f89r	1	BIOLOGICAL	2	2	f75r|f82r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0040	G498-M364	@ACTION+OR+Y	OK	OK+OR+Y	CELESTIAL	OK+OR	2	1	3	Y	YES	YES	YES	1	3	1	1	f72r	3	BIOLOGICAL|HERBAL|PHARMA	6	5	f17r|f56r|f81r|f88r|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0041	G498-M364	@ACTION+OR+Y	OK	OK+OR+Y	CELESTIAL	OK+Y	2	1	2	OR	YES	NO	YES	0	0	0	0	NONE	4	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	59	18	f1r|f10r|f13r|f17r|f18r|f55v|f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0042	G498-M364	@ACTION+OR+Y	OK	OK+OR+Y	CELESTIAL	OR+Y	2	1	1	OK	YES	YES	NO	0	0	0	0	NONE	2	BIOLOGICAL|PHARMA	3	3	f75r|f82r|f89r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0043	G498-M365	@ACTION+OR+Y	OK	OK+OR+Y	PHARMA	OK+OR	2	1	3	Y	YES	YES	YES	1	2	1	2	f88r|f89r	3	BIOLOGICAL|CELESTIAL|HERBAL	7	4	f17r|f56r|f72r|f81r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0044	G498-M365	@ACTION+OR+Y	OK	OK+OR+Y	PHARMA	OK+Y	2	1	2	OR	YES	NO	YES	1	7	1	3	f88r|f88v|f89r	3	BIOLOGICAL|HERBAL|SOURCE_SECTION_T	52	15	f1r|f10r|f13r|f17r|f18r|f55v|f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f95v	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0045	G498-M365	@ACTION+OR+Y	OK	OK+OR+Y	PHARMA	OR+Y	2	1	1	OK	YES	YES	NO	1	1	1	1	f89r	1	BIOLOGICAL	2	2	f75r|f82r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0046	G498-M222	@ACTION+AL+Y	P	P+AL+Y	HERBAL	P+AL	2	1	3	Y	YES	YES	YES	0	0	0	0	NONE	0	NONE	0	0	NONE	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
G501-C0047	G498-M222	@ACTION+AL+Y	P	P+AL+Y	HERBAL	P+Y	2	1	2	AL	YES	NO	YES	0	0	0	0	NONE	1	BIOLOGICAL	1	1	f75r	PARTIAL_SUPPORT_RANKING_ONLY__CURRENT_PHRASES_AND_COMPOSED_LABELS_RETAINED
