master_card_id	master_form	registered_surfaces	concrete_default_de	curriculum_layer	occurrence_count	event_ids	records	pages	value_invariant	learning_rule
MC006	chokcheo	chokcheo	Auszug einsetzen	HERBAL_LOCAL_OPERATION_SIGN	1	E092	H5	f56r	YES	learn or decompose one Herbal-specific work operation
MC010	chodaly	chodaly	Zielzugabe	HERBAL_LOCAL_NOUN_SIGN	1	E076	H5	f56r	YES	learn one new pictured-material/container/preparation sign
MC013	qotchor	qotchor|otchor	Folgeansatz	HERBAL_LOCAL_NOUN_SIGN	2	E024|E080	H2|H5	f10r|f56r	YES	learn one new pictured-material/container/preparation sign
MC014	chair	chair	Zuguss	HERBAL_LOCAL_NOUN_SIGN	1	E006	H1	f10r	YES	learn one new pictured-material/container/preparation sign
MC015	qokokchy	qokokchy	erneut einsetzen	HERBAL_LOCAL_OPERATION_SIGN	1	E090	H5	f56r	YES	learn or decompose one Herbal-specific work operation
MC019	oldy	oldy	fertig	COMMON_BIOLOGICAL_HERBAL_CORE	1	E067	H4	f55v	YES	reuse known card and keep the same short value
MC021	oltchy	oltchy	Folgebereitung	HERBAL_LOCAL_OPERATION_SIGN	1	E070	H4	f55v	YES	learn or decompose one Herbal-specific work operation
MC026	choky	oky|choky	einsetzen	COMMON_BIOLOGICAL_HERBAL_CORE	3	E008|E081|E085	H1|H5	f10r|f56r	YES	reuse known card and keep the same short value
MC027	oykchor	oykchor	Zubereitungsgefäß	HERBAL_LOCAL_NOUN_SIGN	1	E032	H2	f10r	YES	learn one new pictured-material/container/preparation sign
MC032	cheeky	cheeky	länger bearbeiten	COMMON_BIOLOGICAL_HERBAL_CORE	1	E066	H4	f55v	YES	reuse known card and keep the same short value
MC034	cho	cho|sho	weitere Zutat	HERBAL_LOCAL_NOUN_SIGN	4	E075|E078|E088|E094	H5	f56r	YES	learn one new pictured-material/container/preparation sign
MC037	tchody	tchody	kalt stellen; Schluss	HERBAL_LOCAL_OPERATION_SIGN	1	E045	H3	f11r	YES	learn or decompose one Herbal-specific work operation
MC039	aiin	daiin|taiin|chaiin|aiin	Sollmaß	COMMON_BIOLOGICAL_HERBAL_CORE	9	E009|E022|E030|E051|E057|E061|E068|E077|E100	H1|H2|H3|H4|H5	f10r|f11r|f55v|f56r	YES	reuse known card and keep the same short value
MC040	okal	okal	dorthin einsetzen	COMMON_BIOLOGICAL_HERBAL_CORE	1	E069	H4	f55v	YES	reuse known card and keep the same short value
MC041	okchol	okchol	weiter einsetzen	HERBAL_LOCAL_OPERATION_SIGN	1	E053	H3	f11r	YES	learn or decompose one Herbal-specific work operation
MC047	ykain	ykain	erste Portion	HERBAL_LOCAL_NOUN_SIGN	1	E058	H4	f55v	YES	learn one new pictured-material/container/preparation sign
MC048	kaiiin	kaiiin	Bearbeitungsstufe	HERBAL_LOCAL_OPERATION_SIGN	1	E036	H2	f10r	YES	learn or decompose one Herbal-specific work operation
MC049	schoal	schoal	Sudansatz	HERBAL_LOCAL_NOUN_SIGN	1	E040	H3	f11r	YES	learn one new pictured-material/container/preparation sign
MC053	otol	otol	Fortgang	HERBAL_LOCAL_OPERATION_SIGN	1	E026	H2	f10r	YES	learn or decompose one Herbal-specific work operation
