card_no	joint_tuple_id	surfaces	events	event_ids	records	drawer	small_value_de
HERC03	4d4559019a961b834aa1	char|dar	2	E003|E031	H1|H2	BIOLOGICAL_EXACT_CARD_TRANSFER	dasselbe
HERC04	80ebbbbf238eee9f0aef	chty	1	E004	H1	BIOLOGICAL_EXACT_CARD_TRANSFER	dies fuellen
HERC08	276a7c2d74d1143446f4	choky|oky	3	E008|E081|E085	H1|H5	BIOLOGICAL_EXACT_CARD_TRANSFER	verwende dies
HERC09	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|taiin	9	E009|E022|E030|E051|E057|E061|E068|E077|E100	H1|H2|H3|H4|H5	BIOLOGICAL_EXACT_CARD_TRANSFER	Mass
HERC13	dcda95c81a5460feb191	chol	3	E013|E027|E029	H1|H2	BIOLOGICAL_EXACT_CARD_TRANSFER	fortsetzen
HERC14	e0b630cb1b5df5e7105b	cthy	3	E014|E016|E054	H1|H2|H3	BIOLOGICAL_EXACT_CARD_TRANSFER	bereit
HERC16	7a4bb8136330ee4e6e56	chor|or|shor	5	E017|E025|E033|E034|E071	H2|H4	BIOLOGICAL_EXACT_CARD_TRANSFER	Ansatz
HERC19	b921a237be883a820352	chy|dy|shy|y	9	E020|E021|E023|E035|E037|E048|E050|E055|E072	H2|H3|H4	BIOLOGICAL_EXACT_CARD_TRANSFER	dies
HERC22	dec401773c1f0347793d	cholor	1	E028	H2	BIOLOGICAL_EXACT_CARD_TRANSFER	weiterer Ansatz
HERC31	b5df9126607030b95175	shey	1	E044	H3	BIOLOGICAL_EXACT_CARD_TRANSFER	Klarauszug
HERC38	b5fcea1eaed06b2f2291	qokaiin	1	E056	H4	BIOLOGICAL_EXACT_CARD_TRANSFER	bemessen
HERC42	6f7ff8287eddf4da9fdb	chedy	1	E062	H4	BIOLOGICAL_EXACT_CARD_TRANSFER	dies umsetzen
HERC46	2c1a5fd92b9e3c762242	cheeky	1	E066	H4	BIOLOGICAL_EXACT_CARD_TRANSFER	dies länger wärmen
HERC47	1b1ffdd869fb1429ad03	oldy	1	E067	H4	BIOLOGICAL_EXACT_CARD_TRANSFER	fortsetzen; Schluss
HERC48	308e8ea2d5d190c498e8	okal	1	E069	H4	BIOLOGICAL_EXACT_CARD_TRANSFER	an die Stelle setzen
HERC55	dd0ecaf5e27d81befffc	dal	1	E082	H5	BIOLOGICAL_EXACT_CARD_TRANSFER	Stelle
HERC65	faf321940aed922846a9	otchey	1	E098	H5	BIOLOGICAL_EXACT_CARD_TRANSFER	nächster Posten
