order	event_id	record_unit_id	page	locus	field_id	statement_id	surface	joint_tuple_id	picture_owner	previous_herbal_value_de	small_value_de	lexicon_source	value_changed
1	E001	H1	f10r	f10r.2	F001	H1-S001	dchey	65f320e75510b2f38182	F10R_PICTURED_PLANT	Wurzelteil	Wurzelteil	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	NO
2	E002	H1	f10r	f10r.2	F001	H1-S001	cthoor	dedc383b600397a301ee	F10R_PICTURED_PLANT	säubern	säubern	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	NO
3	E003	H1	f10r	f10r.2	F001	H1-S001	char	4d4559019a961b834aa1	F10R_PICTURED_PLANT	aus demselben Vorrat	dasselbe	BIOLOGICAL_EXACT_CARD_TRANSFER	YES
4	E004	H1	f10r	f10r.2	F001	H1-S001	chty	80ebbbbf238eee9f0aef	F10R_PICTURED_PLANT	zerkleinern	dies fuellen	BIOLOGICAL_EXACT_CARD_TRANSFER	YES
5	E005	H1	f10r	f10r.2	F001	H1-S001	os	df1098831679a8ad1b39	F10R_PICTURED_PLANT	Gefäß	Gefäß	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	NO
6	E006	H1	f10r	f10r.2	F001	H1-S001	chair	12efe866f335461823a6	F10R_PICTURED_PLANT	Wasserzulauf	Wasserzulauf	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	NO
7	E007	H1	f10r	f10r.2	F001	H1-S001	otytchol	62ff059766b21c7de083	F10R_PICTURED_PLANT	auffangen	auffangen	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	NO
8	E008	H1	f10r	f10r.2	F001	H1-S001	oky	276a7c2d74d1143446f4	F10R_PICTURED_PLANT	Posten ansetzen	verwende dies	BIOLOGICAL_EXACT_CARD_TRANSFER	YES
9	E009	H1	f10r	f10r.2	F001	H1-S001	daiin	2f1c5e56e8f0ff459065	F10R_PICTURED_PLANT	Sollmaß	Mass	BIOLOGICAL_EXACT_CARD_TRANSFER	YES
10	E010	H1	f10r	f10r.2	F001	H1-S001	etyd	a6939862e33ece5a0483	F10R_PICTURED_PLANT	Wurzelteil	Wurzelteil	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	NO
11	E011	H1	f10r	f10r.5	F002	H1-S002	qokchy	9ad66e67803a12e745de	F10R_PICTURED_PLANT	Posten ansetzen	Posten ansetzen	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	NO
12	E012	H1	f10r	f10r.5	F002	H1-S002	qotchol	e8a6105b5c3a6220b440	F10R_PICTURED_PLANT	sanft wärmen	sanft wärmen	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	NO
13	E013	H1	f10r	f10r.5	F002	H1-S002	chol	dcda95c81a5460feb191	F10R_PICTURED_PLANT	mit Vorigem fortsetzen	fortsetzen	BIOLOGICAL_EXACT_CARD_TRANSFER	YES
14	E014	H1	f10r	f10r.5	F002	H1-S002	cthy	e0b630cb1b5df5e7105b	F10R_PICTURED_PLANT	gebrauchsfertig	bereit	BIOLOGICAL_EXACT_CARD_TRANSFER	YES
