card_no	joint_tuple_id	surfaces	events	event_ids	records	drawer	small_value_de
HERC01	65f320e75510b2f38182	dchey	1	E001	H1	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Wurzelteil
HERC02	dedc383b600397a301ee	cthoor	1	E002	H1	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	säubern
HERC05	df1098831679a8ad1b39	os	1	E005	H1	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Gefäß
HERC06	12efe866f335461823a6	chair	1	E006	H1	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Wasserzulauf
HERC07	62ff059766b21c7de083	otytchol	1	E007	H1	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	auffangen
HERC10	a6939862e33ece5a0483	etyd	1	E010	H1	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Wurzelteil
HERC11	9ad66e67803a12e745de	chokchy|okchy|qokchy	3	E011|E091|E095	H1|H5	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Posten ansetzen
HERC12	e8a6105b5c3a6220b440	qotchol	1	E012	H1	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	sanft wärmen
HERC15	7249edc4df3419c26999	ycheor	1	E015	H2	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Pflanzenspitzen
HERC17	f3c23f42baf625639e1e	cthaiin	1	E018	H2	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Kraut zerstoßen
HERC18	af816c04e65874a0f2fa	qoctholy	1	E019	H2	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	abpressen
HERC20	10488b911aae52b3b334	otchor|qotchor	2	E024|E080	H2|H5	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	nächster Ansatz
HERC21	497cbd9c7401810ff56b	otol	1	E026	H2	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	danach fortsetzen
HERC23	27d97af8c96eb056c2e6	oykchor	1	E032	H2	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	glasiertes Gefäß
HERC24	409de02322e7b2ca0c62	kaiiin	1	E036	H2	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	weiche Zielstufe
HERC25	834825c61d048a6b5628	chodaiin	1	E038	H2	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Geschwür
HERC26	953ad19b79517fc8a211	tshol	1	E039	H3	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Blütenkraut
HERC27	428a5e3662aa57b4b256	schoal	1	E040	H3	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Weinsud
HERC28	bdad9f9ea8b80f141496	cfhy	1	E041	H3	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	auswringen
HERC29	a8af08e69edab8e54f15	shfydaiin	1	E042	H3	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Standzeit
HERC30	deb377381ceaf55ea310	cphy	1	E043	H3	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	nachseihen
HERC32	2e2027b1951d79911e24	tchody	1	E045	H3	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	abkühlen; Schluss
HERC33	577c03a928d674d420d7	shoyty	1	E046	H3	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Blütenanteil zurückhalten
HERC34	d665560c8ff80799a82c	dchol|schol	2	E047|E083	H3|H5	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	voriger Posten
HERC35	b2812c8283c3a62438bd	kchy	1	E049	H3	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Trank
HERC36	a48efd6c4491a046ba78	qotchy	1	E052	H3	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	zurückbehaltene Blüten
HERC37	322281bd391aa621f568	okchol	1	E053	H3	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Vorigen fortsetzen
HERC39	403c1592f918c8f23b88	ykain	1	E058	H4	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	eine Portion des laufenden Postens
HERC40	d929a14ec45749b2e805	ykan	1	E059	H4	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	diese Portion
HERC41	97cc9ac109148723c472	ody	1	E060	H4	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Kühllager; Schluss
HERC43	e026af581c99322fbd46	talam	1	E063	H4	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	verwahren
HERC44	f7dc90b2c31fd341f0a4	ykaiin	1	E064	H4	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Sollmaß des Postens
HERC45	807591efc3d3f7ddbfab	cheoar	1	E065	H4	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Auszug entnehmen
HERC49	204b04837409088c48f9	oltchy	1	E070	H4	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	sanft wärmen
HERC50	6afeb5c9ab9f6cbdea0d	orain	1	E073	H4	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Ansatzportion
HERC51	b9d7b6d68209a9019e7a	chochor	1	E074	H5	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Zutatenansatz
HERC52	2cc054357a929df85f64	cho|sho	4	E075|E078|E088|E094	H5	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Zutat
HERC53	0ec6a45e2950e8e7061d	chodaly	1	E076	H5	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	Blütebeginn
HERC54	893c570f3fa3fce99711	kchol	1	E079	H5	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	auflegen
HERC56	c10aec6d4dd877ec8bd8	choy	1	E084	H5	HERBAL_LOCAL_CARD_PENDING_REANALYSIS	waschen
