field_id	record_unit_id	loci	events	event_ids	statement_ids	picture_owner	card_sequence_de
F001	H1	f10r.2	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	H1-S001	F10R_PICTURED_PLANT	Wurzelteil > säubern > dasselbe > dies fuellen > Gefäß > Wasserzulauf > auffangen > verwende dies > Mass > Wurzelteil
F002	H1	f10r.5	4	E011|E012|E013|E014	H1-S002	F10R_PICTURED_PLANT	Posten ansetzen > sanft wärmen > fortsetzen > bereit
F003	H2	f10r.6	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	H2-S001	F10R_PICTURED_PLANT	Pflanzenspitzen > bereit > Ansatz > Kraut zerstoßen > abpressen > dies > dies > Mass > dies
F004	H2	f10r.8	8	E024|E025|E026|E027|E028|E029|E030|E031	H2-S002	F10R_PICTURED_PLANT	nächster Ansatz > Ansatz > danach fortsetzen > fortsetzen > weiterer Ansatz > fortsetzen > Mass > dasselbe
F005	H2	f10r.9	7	E032|E033|E034|E035|E036|E037|E038	H2-S003	F10R_PICTURED_PLANT	glasiertes Gefäß > Ansatz > Ansatz > dies > weiche Zielstufe > dies > Geschwür
F006	H3	f11r.1	7	E039|E040|E041|E042|E043|E044|E045	H3-S001	F11R_PICTURED_PLANT	Blütenkraut > Weinsud > auswringen > Standzeit > nachseihen > Klarauszug > abkühlen; Schluss
F007	H3	f11r.1	1	E046	H3-S002	F11R_PICTURED_PLANT	Blütenanteil zurückhalten
F008	H3	f11r.4	5	E047|E048|E049|E050|E051	H3-S003	F11R_PICTURED_PLANT	voriger Posten > dies > Trank > dies > Mass
F009	H3	f11r.7	4	E052|E053|E054|E055	H3-S004	F11R_PICTURED_PLANT	zurückbehaltene Blüten > Vorigen fortsetzen > bereit > dies
F010	H4	f55v.5	5	E056|E057|E058|E059|E060	H4-S001	F55V_PICTURED_PLANT	bemessen > Mass > eine Portion des laufenden Postens > diese Portion > Kühllager; Schluss
F011	H4	f55v.5	3	E061|E062|E063	H4-S002	F55V_PICTURED_PLANT	Mass > dies umsetzen > verwahren
F012	H4	f55v.11	4	E064|E065|E066|E067	H4-S003	F55V_PICTURED_PLANT	Sollmaß des Postens > Auszug entnehmen > dies länger wärmen > fortsetzen; Schluss
F013	H4	f55v.11	6	E068|E069|E070|E071|E072|E073	H4-S004	F55V_PICTURED_PLANT	Mass > an die Stelle setzen > sanft wärmen > Ansatz > dies > Ansatzportion
F014	H5	f56r.5	4	E074|E075|E076|E077	H5-S001	F56R_PICTURED_PLANT	Zutatenansatz > Zutat > Blütebeginn > Mass
F015	H5	f56r.7	5	E078|E079|E080|E081|E082	H5-S001	F56R_PICTURED_PLANT	Zutat > auflegen > nächster Ansatz > verwende dies > Stelle
F016	H5	f56r.8	4	E083|E084|E085|E086	H5-S002	F56R_PICTURED_PLANT	voriger Posten > waschen > verwende dies > auftragen; Schluss
F017	H5	f56r.12	4	E087|E088|E089|E090	H5-S003	F56R_PICTURED_PLANT	Pflanzenteil > Zutat > grob zerreiben > Posten erneut ansetzen
F018	H5	f56r.13	3	E091|E092|E093	H5-S004	F56R_PICTURED_PLANT	Posten ansetzen > Auszug zugeben > abseihen
F019	H5	f56r.18	4	E094|E095|E096|E097	H5-S005	F56R_PICTURED_PLANT	Zutat > Posten ansetzen > Gebrauchsauszug > gebrauchen
F020	H5	f56r.19	3	E098|E099|E100	H5-S006	F56R_PICTURED_PLANT	nächster Posten > je Gabe > Mass
