statement_id	record_unit_id	page	picture_owner	events	event_ids	field_ids	card_sequence_de	literal_workshop_reading_de	previous_fluent_reading_de	transferred_events
H1-S001	H1	f10r	F10R_PICTURED_PLANT	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	F001	Wurzelteil > säubern > dasselbe > dies fuellen > Gefäß > Wasserzulauf > auffangen > verwende dies > Mass > Wurzelteil	Wurzelteil; säubern; dasselbe; dies fuellen; Gefäß; Wasserzulauf; auffangen; verwende dies; Mass; Wurzelteil.	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel; Säubere ihn; Aus demselben Vorrat; Zerschneide ihn; Gib die Stücke in ein Gefäß; Wasser zulaufen lassen; Auffangen; Posten ansetzen; Sollmaß; Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	4
H1-S002	H1	f10r	F10R_PICTURED_PLANT	4	E011|E012|E013|E014	F002	Posten ansetzen > sanft wärmen > fortsetzen > bereit	Posten ansetzen; sanft wärmen; fortsetzen; bereit.	Posten ansetzen; Anwärmen; Fortsetzen; Bereit	2
H2-S001	H2	f10r	F10R_PICTURED_PLANT	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	F003	Pflanzenspitzen > bereit > Ansatz > Kraut zerstoßen > abpressen > dies > dies > Mass > dies	Pflanzenspitzen; bereit; Ansatz; Kraut zerstoßen; abpressen; dies; dies; Mass; dies.	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze; Bereit; Ansatz; Zerstoße das Kraut; Abpressen; Dieser Arbeitsposten; Dieser Arbeitsposten; Sollmaß; Dieser Arbeitsposten	6
H2-S002	H2	f10r	F10R_PICTURED_PLANT	8	E024|E025|E026|E027|E028|E029|E030|E031	F004	nächster Ansatz > Ansatz > danach fortsetzen > fortsetzen > weiterer Ansatz > fortsetzen > Mass > dasselbe	nächster Ansatz; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Mass; dasselbe.	Folgeansatz; Ansatz; Danach fortsetzen; Fortsetzen; Fortsetzungsansatz; Fortsetzen; Sollmaß; Aus demselben Vorrat	6
H2-S003	H2	f10r	F10R_PICTURED_PLANT	7	E032|E033|E034|E035|E036|E037|E038	F005	glasiertes Gefäß > Ansatz > Ansatz > dies > weiche Zielstufe > dies > Geschwür	glasiertes Gefäß; Ansatz; Ansatz; dies; weiche Zielstufe; dies; Geschwür.	Gib sie in ein glasiertes Gefäß; Ansatz; Ansatz; Dieser Arbeitsposten; Weiche Zielstufe; Dieser Arbeitsposten; Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung	4
H3-S001	H3	f11r	F11R_PICTURED_PLANT	7	E039|E040|E041|E042|E043|E044|E045	F006	Blütenkraut > Weinsud > auswringen > Standzeit > nachseihen > Klarauszug > abkühlen; Schluss	Blütenkraut; Weinsud; auswringen; Standzeit; nachseihen; Klarauszug; abkühlen; Schluss.	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze; Weinsud bereiten; Auswringen; Standzeit einhalten; Nachseihen; Klarauszug; Abkühlen; Schluss	1
H3-S002	H3	f11r	F11R_PICTURED_PLANT	1	E046	F007	Blütenanteil zurückhalten	Blütenanteil zurückhalten.	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück	0
H3-S003	H3	f11r	F11R_PICTURED_PLANT	5	E047|E048|E049|E050|E051	F008	voriger Posten > dies > Trank > dies > Mass	voriger Posten; dies; Trank; dies; Mass.	Fortsetzungsposten; Dieser Arbeitsposten; Trank; Dieser Arbeitsposten; Sollmaß	3
H3-S004	H3	f11r	F11R_PICTURED_PLANT	4	E052|E053|E054|E055	F009	zurückbehaltene Blüten > Vorigen fortsetzen > bereit > dies	zurückbehaltene Blüten; Vorigen fortsetzen; bereit; dies.	Nimm die zurückbehaltenen Blüten; Fortsetzung einsetzen; Bereit; Dieser Arbeitsposten	2
H4-S001	H4	f55v	F55V_PICTURED_PLANT	5	E056|E057|E058|E059|E060	F010	bemessen > Mass > eine Portion des laufenden Postens > diese Portion > Kühllager; Schluss	bemessen; Mass; eine Portion des laufenden Postens; diese Portion; Kühllager; Schluss.	Auf Sollmaß einstellen; Sollmaß; Eine Portion des laufenden Postens; Diese Portion; Kühl; Schluss	2
H4-S002	H4	f55v	F55V_PICTURED_PLANT	3	E061|E062|E063	F011	Mass > dies umsetzen > verwahren	Mass; dies umsetzen; verwahren.	Sollmaß; Den laufenden Posten umsetzen oder durcharbeiten; Verwahren	2
H4-S003	H4	f55v	F55V_PICTURED_PLANT	4	E064|E065|E066|E067	F012	Sollmaß des Postens > Auszug entnehmen > dies länger wärmen > fortsetzen; Schluss	Sollmaß des Postens; Auszug entnehmen; dies länger wärmen; fortsetzen; Schluss.	Sollmaß des Postens; Auszug daraus entnehmen; Länger wärmen; Fortsetzen; Schluss	2
H4-S004	H4	f55v	F55V_PICTURED_PLANT	6	E068|E069|E070|E071|E072|E073	F013	Mass > an die Stelle setzen > sanft wärmen > Ansatz > dies > Ansatzportion	Mass; an die Stelle setzen; sanft wärmen; Ansatz; dies; Ansatzportion.	Sollmaß; An die Stelle setzen; Anwärmen; Ansatz; Dieser Arbeitsposten; Ansatzportion	4
