master_card_id	master_form	registered_surfaces	semantic_atoms	current_spoken_default_de	teaching_layer	drawer	event_count	records	previous_default_de	period_revision	pre_formula_default_de	formula_revision
MC001	chdal	chdal	CHD+AL	übertragen · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B5	übertragen · Zielstelle	UNCHANGED	übertragen · Zielstelle	NONE
MC002	okeey	okeey|qokeey	OK+EE+Y	lange einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	7	B1|B2|B3|B4	länger einwirken	SHORTENED_ACTIVE_CARD	lange einwirken	NONE
MC003	sheedy	sheedy	SHED+EE+CLOSE	absetzen · länger; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	1	B3	absetzen · länger; schließen	UNCHANGED	absetzen · länger; schließen	NONE
MC004	ldy	ldy	L+CLOSE	abziehen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	B2|B3	abziehen; schließen	SHORTENED_ACTIVE_CARD	abziehen; Schluss	NONE
MC005	okchedy	okchedy|qokchedy	OK+CHD+CLOSE	einführen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	B1|B3	einsetzen, übertragen; schließen	SHORTENED_ACTIVE_CARD	einführen; Schluss	NONE
MC006	chokcheo	chokcheo	OK+CHEO	einsetzen · Auszug	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	1	H5	einsetzen · Auszug	UNCHANGED	einsetzen · Auszug	NONE
MC007	okey	okey|qokey	OK+E+Y	kurz einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	B1|B2	kurz einwirken	UNCHANGED	kurz einwirken	NONE
MC008	lchy	lchy	L+Y	abführen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B2	abführen · Posten	UNCHANGED	abführen · Posten	NONE
MC009	chary	chary	AR+Y	Ausgang · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B3	Ausgang · Posten	UNCHANGED	Ausgang · Posten	NONE
MC010	chodaly	chodaly	HO+AL+Y	Zutat · Zielstelle · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	1	H5	Zutat · Zielstelle · Posten	UNCHANGED	Zutat · Zielstelle · Posten	NONE
MC011	lchedar	lchedar	L+CHD+AR	abführen · übertragen · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B2	abführen · übertragen · Ausgang	UNCHANGED	abführen · übertragen · Ausgang	NONE
MC012	dl	dl	LOCAL_WHOLE	Zusatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	B1	Zusatz	UNCHANGED	Zusatz	NONE
MC013	otchor	otchor|qotchor	OT+OR	Folgeansatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	H2|H5	nächster Arbeitsansatz	SHORTENED_ACTIVE_CARD	Folgeansatz	NONE
MC014	chair	chair	AIR	Flüssigkeitslauf	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	H1	Flüssigkeitslauf	UNCHANGED	Flüssigkeitslauf	NONE
MC015	qokokchy	qokokchy	OK+OK+Y	einsetzen · einsetzen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D8_LOCAL_OPERATION	1	H5	einsetzen · einsetzen · Posten	UNCHANGED	einsetzen · einsetzen · Posten	NONE
MC016	rol	rol	OL	weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION	1	B1	weiter	UNCHANGED	weiter	NONE
MC017	okain	okain|qokain	OK+AIN	Anteil zugeben	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	7	B1|B2|B3|B4	einen Anteil zugeben	SHORTENED_ACTIVE_CARD	Anteil zugeben	NONE
MC018	qotedaiin	qotedaiin	OT+E+AIIN	danach · kurz · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	1	B3	danach · kurz · Sollmaß	UNCHANGED	danach · kurz · Sollmaß	NONE
MC019	oldy	oldy	OL+CLOSE	fertig	REVISED_SHARED_17	ACTIVE_CORE	2	B4|H4	fortsetzen; abschließen	SHORTENED_ACTIVE_CARD	fertig	NONE
MC020	solkeey	solkeey	SOLK+EE+Y	auffangen · länger · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	1	B6	auffangen · länger · Posten	UNCHANGED	auffangen · länger · Posten	NONE
MC021	oltchy	oltchy	OL+CTH+Y	weiter · bereitstellen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	1	H4	weiter · bereitstellen · Posten	UNCHANGED	weiter · bereitstellen · Posten	NONE
MC022	chckhal	chckhal	CKH+AL	Durchgang · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	1	B4	Durchgang · Zielstelle	UNCHANGED	Durchgang · Zielstelle	NONE
MC023	kair	kair	AIR	Flüssigkeitslauf	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B1	Flüssigkeitslauf	UNCHANGED	Flüssigkeitslauf	NONE
MC024	qokol	qokol	OK+OL	einsetzen · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION	1	B4	einsetzen · weiter	UNCHANGED	einsetzen · weiter	NONE
MC025	dchedy	dchedy|schedy|tchedy	CHD+CLOSE	überführen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	4	B1|B2|B3	übertragen; schließen	SHORTENED_ACTIVE_CARD	überführen; Schluss	NONE
MC026	choky	choky|oky|qoky	OK+Y	einsetzen	REVISED_SHARED_17	ACTIVE_CORE	10	B1|B2|B3|B4|H1|H5	diesen Posten einsetzen	SHORTENED_ACTIVE_CARD	einsetzen	NONE
MC027	oykchor	oykchor	Y+KCH+OR	Posten · bearbeiten · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	1	H2	Posten · bearbeiten · Ansatz	UNCHANGED	Posten · bearbeiten · Ansatz	NONE
MC028	olchedy	olchedy|qolchedy	OL+CHD+CLOSE	weiterführen; Schluss	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	3	B1|B2|B3	weiter übertragen; schließen	SHORTENED_ACTIVE_CARD	weiterführen; Schluss	NONE
MC029	lar	lar	L+AR	abführen · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B2	abführen · Ausgang	UNCHANGED	abführen · Ausgang	NONE
MC030	lo	lo	L	abführen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B3	abführen	UNCHANGED	abführen	NONE
MC031	dalchdy	dalchdy	AL+CHD+CLOSE	Zielstelle · übertragen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B3	Zielstelle · übertragen; schließen	UNCHANGED	Zielstelle · übertragen; schließen	NONE
MC032	cheeky	cheeky	CHK+EE+Y	länger bearbeiten	REVISED_SHARED_17	ACTIVE_CORE	2	B4|H4	länger bearbeiten	UNCHANGED	länger bearbeiten	NONE
MC033	oiiin	oiiin|soiiin	IIN	Arbeitsstufe	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE	2	B1|B3	Arbeitsstufe	UNCHANGED	Arbeitsstufe	NONE
MC034	cho	cho|sho	HO	weitere Zutat	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	4	H5	weitere Zutat	UNCHANGED	weitere Zutat	NONE
MC035	chckhy	chckhy|shckhy	CKH+Y	durchleiten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	4	B1|B2	durchführen	SHORTENED_ACTIVE_CARD	durchleiten	NONE
MC036	solkaiin	solkaiin	SOLK+AIIN	auffangen · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	1	B2	auffangen · Sollmaß	UNCHANGED	auffangen · Sollmaß	NONE
MC037	tchody	tchody	HO+CLOSE	Zutat; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	1	H3	Zutat; schließen	UNCHANGED	Zutat; schließen	NONE
MC038	lshedy	lshedy	WASH+CLOSE	waschen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	2	B1	waschen; schließen	UNCHANGED	waschen; schließen	NONE
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	AIIN	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE	20	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	Sollmaß	UNCHANGED	Sollmaß	NONE
