statement_id	record_unit_id	page	visible_surface_sequence	revised_literal_chain_de	shared_skeleton_de	formula_expansion_de	spoken_clause_de	previous_clause_de
H1-S001	H1	f10r	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzel · Posten | bereitstellen · Ansatz | davon | Anteil | Gefäß | Flüssigkeitslauf | danach · Teil · weiter | einsetzen | Sollmaß | kurz · Teil	davon | Anteil | einsetzen | Sollmaß	KEINE KLAMMERFORMEL	Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.	Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.
H1-S002	H1	f10r	qokchy qotchol chol cthy	weiterbearbeiten | danach · weiter | weiter | bereit	weiter | bereit	KEINE KLAMMERFORMEL	weiterbearbeiten; danach · weiter; weiter; bereit.	weiterbearbeiten; danach · weiter; weiter; bereit.
H2-S001	H2	f10r	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Posten · Auszug · Ansatz | bereit | Ansatz | bereitstellen · Sollmaß | bereitstellen · weiter · Posten | dies | dies | Sollmaß | dies	bereit | Ansatz | dies | dies | Sollmaß | dies	zwei Posten unter demselben Sollmaß	Posten · Auszug · Ansatz; bereit; Ansatz; bereitstellen · Sollmaß; bereitstellen · weiter · Posten; dies; dies; Sollmaß; dies.	Posten · Auszug · Ansatz; bereit; Ansatz; bereitstellen · Sollmaß; bereitstellen · weiter · Posten; dies; dies; Sollmaß; dies.
H2-S002	H2	f10r	qotchor chor otol chol cholor chol daiin dar	Folgeansatz | Ansatz | danach · weiter | weiter | derselbe Ansatz | weiter | Sollmaß | davon	Ansatz | weiter | derselbe Ansatz | weiter | Sollmaß | davon	Fortsetzung mit demselben Ansatz	Folgeansatz; Ansatz; danach · weiter; weiter; derselbe Ansatz; weiter; Sollmaß; davon.	Folgeansatz; Ansatz; danach · weiter; weiter; damit weiter; weiter; Sollmaß; davon.
H2-S003	H2	f10r	oykchor shor chor chy kaiiin dy chodaiin	Posten · bearbeiten · Ansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zutat · Sollmaß	Ansatz | Ansatz | dies | dies	KEINE KLAMMERFORMEL	Posten · bearbeiten · Ansatz; Ansatz; Ansatz; dies; Arbeitsstufe; dies; Zutat · Sollmaß.	Posten · bearbeiten · Ansatz; Ansatz; Ansatz; dies; Arbeitsstufe; dies; Zutat · Sollmaß.
H3-S001	H3	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	Zutat · abführen | Zutat · Zielstelle | auswringen · Posten | halten · Sollmaß | nachseihen · Posten | Klarauszug | Zutat; schließen	Klarauszug	KEINE KLAMMERFORMEL	Zutat · abführen; Zutat · Zielstelle; auswringen · Posten; halten · Sollmaß; nachseihen · Posten; Klarauszug; Zutat; schließen.	Zutat · abführen; Zutat · Zielstelle; auswringen · Posten; halten · Sollmaß; nachseihen · Posten; Klarauszug; Zutat; schließen.
H3-S002	H3	f11r	shoyty	Zutat · Posten · Teil	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	Zutat · Posten · Teil.	Zutat · Posten · Teil.
H3-S003	H3	f11r	dchol chy kchy dy daiin	vom vorigen | dies | bearbeiten · Posten | dies | Sollmaß	dies | dies | Sollmaß	KEINE KLAMMERFORMEL	vom vorigen; dies; bearbeiten · Posten; dies; Sollmaß.	vom vorigen; dies; bearbeiten · Posten; dies; Sollmaß.
H3-S004	H3	f11r	qotchy okchol cthy dy	danach · Posten | einsetzen · weiter | bereit | dies	bereit | dies	KEINE KLAMMERFORMEL	danach · Posten; einsetzen · weiter; bereit; dies.	danach · Posten; einsetzen · weiter; bereit; dies.
H4-S001	H4	f55v	qokaiin chaiin ykain ykan ody	bemessen | Sollmaß | Posten · Anteil | Posten · Anteil | kühlen	bemessen | Sollmaß	KEINE KLAMMERFORMEL	bemessen; Sollmaß; Posten · Anteil; Posten · Anteil; kühlen.	bemessen; Sollmaß; Posten · Anteil; Posten · Anteil; kühlen.
H4-S002	H4	f55v	daiin chedy talam	Sollmaß | überführen | Zielstelle · verwahren	Sollmaß | überführen	KEINE KLAMMERFORMEL	Sollmaß; überführen; Zielstelle · verwahren.	Sollmaß; überführen; Zielstelle · verwahren.
H4-S003	H4	f55v	ykaiin cheoar cheeky oldy	Posten · Sollmaß | Auszug · Ausgang | länger bearbeiten | fertig	länger bearbeiten | fertig	KEINE KLAMMERFORMEL	Posten · Sollmaß; Auszug · Ausgang; länger bearbeiten; fertig.	Posten · Sollmaß; Auszug · Ausgang; länger bearbeiten; fertig.
H4-S004	H4	f55v	aiin okal oltchy or y orain	Sollmaß | dorthin einsetzen | weiter · bereitstellen · Posten | Ansatz | dies | Ansatz · Anteil	Sollmaß | dorthin einsetzen | Ansatz | dies	KEINE KLAMMERFORMEL	Sollmaß; dorthin einsetzen; weiter · bereitstellen · Posten; Ansatz; dies; Ansatz · Anteil.	Sollmaß; dorthin einsetzen; weiter · bereitstellen · Posten; Ansatz; dies; Ansatz · Anteil.
H5-S001	H5	f56r	chochor cho chodaly daiin sho kchol otchor choky dal	Zutat · Ansatz | weitere Zutat | Zutat · Zielstelle · Posten | Sollmaß | weitere Zutat | bearbeiten · weiter | Folgeansatz | einsetzen | dorthin	Sollmaß | einsetzen | dorthin	KEINE KLAMMERFORMEL	Zutat · Ansatz; weitere Zutat; Zutat · Zielstelle · Posten; Sollmaß; weitere Zutat; bearbeiten · weiter; Folgeansatz; einsetzen; dorthin.	Zutat · Ansatz; weitere Zutat; Zutat · Zielstelle · Posten; Sollmaß; weitere Zutat; bearbeiten · weiter; Folgeansatz; einsetzen; dorthin.
H5-S002	H5	f56r	schol choy choky cheeckhody	vom vorigen | Zutat · Posten | einsetzen | länger · Durchgang · Zutat; schließen	einsetzen	KEINE KLAMMERFORMEL	vom vorigen; Zutat · Posten; einsetzen; länger · Durchgang · Zutat; schließen.	vom vorigen; Zutat · Posten; einsetzen; länger · Durchgang · Zutat; schließen.
H5-S003	H5	f56r	sh cho kchey qokokchy	halten | weitere Zutat | bearbeiten · kurz · Posten | einsetzen · einsetzen · Posten	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	halten; weitere Zutat; bearbeiten · kurz · Posten; einsetzen · einsetzen · Posten.	halten; weitere Zutat; bearbeiten · kurz · Posten; einsetzen · einsetzen · Posten.
H5-S004	H5	f56r	okchy chokcheo kchal	weiterbearbeiten | einsetzen · Auszug | bearbeiten · Zielstelle	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	weiterbearbeiten; einsetzen · Auszug; bearbeiten · Zielstelle.	weiterbearbeiten; einsetzen · Auszug; bearbeiten · Zielstelle.
H5-S005	H5	f56r	sho chokchy kchoar sotodan	weitere Zutat | weiterbearbeiten | Auszug · Ausgang | danach · anwenden	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	weitere Zutat; weiterbearbeiten; Auszug · Ausgang; danach · anwenden.	weitere Zutat; weiterbearbeiten; Auszug · Ausgang; danach · anwenden.
H5-S006	H5	f56r	otchey keol daiin	das nächste | kurz · weiter | Sollmaß	das nächste | Sollmaß	KEINE KLAMMERFORMEL	das nächste; kurz · weiter; Sollmaß.	das nächste; kurz · weiter; Sollmaß.
B1-S001	B1	f81v	qokedy	kurz einwirken; Schluss	KEINE GEMEINSAME KARTE	KEINE KLAMMERFORMEL	kurz einwirken; Schluss.	kurz einwirken; Schluss.
