scope	scope_id	axis	n	state_counts_json	secure_state_count	mobile
GLOBAL	ALL	CONTACT_GAP_STATE	27	"{""CLEAR_GAP"":18,""CONTACT"":8,""UNCERTAIN"":1}"	2	1
GLOBAL	ALL	BROAD_CLOSED_FORM	27	"{""PRESENT"":27}"	1	0
GLOBAL	ALL	FORK_OR_BRANCH	27	"{""ABSENT"":2,""PRESENT"":24,""UNCERTAIN"":1}"	2	1
GLOBAL	ALL	COLORED_FILL	27	"{""PRESENT"":27}"	1	0
FOLIO	f100	CONTACT_GAP_STATE	10	"{""CLEAR_GAP"":9,""CONTACT"":1}"	2	1
FOLIO	f100	BROAD_CLOSED_FORM	10	"{""PRESENT"":10}"	1	0
FOLIO	f100	FORK_OR_BRANCH	10	"{""ABSENT"":1,""PRESENT"":9}"	2	1
FOLIO	f100	COLORED_FILL	10	"{""PRESENT"":10}"	1	0
FOLIO	f89	CONTACT_GAP_STATE	3	"{""CONTACT"":2,""UNCERTAIN"":1}"	1	0
FOLIO	f89	BROAD_CLOSED_FORM	3	"{""PRESENT"":3}"	1	0
FOLIO	f89	FORK_OR_BRANCH	3	"{""ABSENT"":1,""PRESENT"":1,""UNCERTAIN"":1}"	2	1
FOLIO	f89	COLORED_FILL	3	"{""PRESENT"":3}"	1	0
FOLIO	f99	CONTACT_GAP_STATE	14	"{""CLEAR_GAP"":9,""CONTACT"":5}"	2	1
FOLIO	f99	BROAD_CLOSED_FORM	14	"{""PRESENT"":14}"	1	0
FOLIO	f99	FORK_OR_BRANCH	14	"{""PRESENT"":14}"	1	0
FOLIO	f99	COLORED_FILL	14	"{""PRESENT"":14}"	1	0
ARRAY	F100R_L2	CONTACT_GAP_STATE	6	"{""CLEAR_GAP"":5,""CONTACT"":1}"	2	1
ARRAY	F100R_L2	BROAD_CLOSED_FORM	6	"{""PRESENT"":6}"	1	0
ARRAY	F100R_L2	FORK_OR_BRANCH	6	"{""ABSENT"":1,""PRESENT"":5}"	2	1
ARRAY	F100R_L2	COLORED_FILL	6	"{""PRESENT"":6}"	1	0
ARRAY	F100V_L1	CONTACT_GAP_STATE	4	"{""CLEAR_GAP"":4}"	1	0
ARRAY	F100V_L1	BROAD_CLOSED_FORM	4	"{""PRESENT"":4}"	1	0
ARRAY	F100V_L1	FORK_OR_BRANCH	4	"{""PRESENT"":4}"	1	0
ARRAY	F100V_L1	COLORED_FILL	4	"{""PRESENT"":4}"	1	0
ARRAY	F89R2_L4	CONTACT_GAP_STATE	3	"{""CONTACT"":2,""UNCERTAIN"":1}"	1	0
ARRAY	F89R2_L4	BROAD_CLOSED_FORM	3	"{""PRESENT"":3}"	1	0
ARRAY	F89R2_L4	FORK_OR_BRANCH	3	"{""ABSENT"":1,""PRESENT"":1,""UNCERTAIN"":1}"	2	1
ARRAY	F89R2_L4	COLORED_FILL	3	"{""PRESENT"":3}"	1	0
ARRAY	F99V_L1	CONTACT_GAP_STATE	8	"{""CLEAR_GAP"":4,""CONTACT"":4}"	2	1
ARRAY	F99V_L1	BROAD_CLOSED_FORM	8	"{""PRESENT"":8}"	1	0
ARRAY	F99V_L1	FORK_OR_BRANCH	8	"{""PRESENT"":8}"	1	0
ARRAY	F99V_L1	COLORED_FILL	8	"{""PRESENT"":8}"	1	0
ARRAY	F99V_L2	CONTACT_GAP_STATE	6	"{""CLEAR_GAP"":5,""CONTACT"":1}"	2	1
ARRAY	F99V_L2	BROAD_CLOSED_FORM	6	"{""PRESENT"":6}"	1	0
ARRAY	F99V_L2	FORK_OR_BRANCH	6	"{""PRESENT"":6}"	1	0
ARRAY	F99V_L2	COLORED_FILL	6	"{""PRESENT"":6}"	1	0
