axis	state	operational_definition
COMPONENT_SELECTION	SINGLE_NEAREST_COMPONENT	One visible non-writing contour cluster is mechanically nearest the localized inscription in the context box.
COMPONENT_SELECTION	UNCERTAIN_COMPONENT	Tie, clipping, fading, or writing/component ambiguity prevents a unique nearest-component selection.
BROAD_CLOSED_FORM	PRESENT	Selected component contains at least one visibly closed broad lobe oval or blade-like outline.
BROAD_CLOSED_FORM	ABSENT	Context is sufficient and selected component contains no visibly closed broad lobe oval or blade-like outline.
BROAD_CLOSED_FORM	UNCERTAIN	Context or component selection does not support a secure binary call.
FORK_OR_BRANCH	PRESENT	One continuous selected component visibly divides into at least two arms within the context box.
FORK_OR_BRANCH	ABSENT	Context is sufficient and no such visible division occurs in the selected component.
FORK_OR_BRANCH	UNCERTAIN	Context or component selection does not support a secure binary call.
COLORED_FILL	PRESENT	Colored wash or fill is visibly present inside or on the selected component beyond outline ink alone.
COLORED_FILL	ABSENT	Context is sufficient and selected component is visible as unfilled linework.
COLORED_FILL	UNCERTAIN	Context or component selection does not support a secure binary call.
