hypothesis_family	oracle_endpoints	promoted_endpoints	transfer_to_voynich	frozen_signature	semantic_gloss
STATE_TRANSITION_FINGERPRINTS	ALL_HIDDEN_CLASSES		NO	before/after recurrence-state delta; downstream novelty/return/closure horizon	UNASSIGNED
LOCAL_VALENCY_PREDICATE_HEAD	PREDICATE_HEAD_WITH_DEPENDENTS;PARENTED_DEPENDENT;HIGH_VALENCY_HEAD	PREDICATE_HEAD_WITH_DEPENDENTS	YES	local dependent density and repeated-entity attachment; parent links hidden	UNASSIGNED
REF_ANAPHORA_ELLIPSIS_RECOVERY	REF		NO	previous-record overlap, omitted/recovered identities, recurrence horizon	UNASSIGNED
LONG_DISTANCE_CORRELATIVE_PAIRS	ALTERNATIVE		NO	separated recurrent endpoint pair, scope length, paired completion	UNASSIGNED
NEXT_RESUME_LOCAL_RESET	REF;CLOSER		NO	record-boundary reset/resumption and following-state delta	UNASSIGNED
UNTIL_STATE_GATING	TIME		NO	bounded horizon and intermediate-state closure	UNASSIGNED
AND_VARIABLE_ARITY_CHAINS	PARENTED_DEPENDENT		NO	homogeneous repeated chain and variable arity	UNASSIGNED
OR_BRANCH_RECONVERGENCE	ALTERNATIVE		NO	shared predecessor, alternative paths, shared downstream reconvergence	UNASSIGNED
POLARITY_NEGATION_INVERSE_TRANSITION	EXCLUSION		NO	inverse transition-vector similarity	UNASSIGNED
COMPOSITIONAL_POINTER_RELATION_PARADIGMS	REF;PARENTED_DEPENDENT		NO	cross-identity pointer/relation combination	UNASSIGNED
EXCLUDE_WITHOUT	EXCLUSION		NO	expected-identity deficit inside bounded scope	UNASSIGNED
LIKE_AS_SAME_COMPARISON	ANALOGY;COMPARISON		NO	symmetric repeated-entity relation and shared-state path	UNASSIGNED
FUNCTION_WORD_INFORMATION_BOTTLENECK	ANY_FUNCTIONAL_CLASS		NO	structural-state information minus local opaque-identity information	UNASSIGNED
SCOPE_LENGTH_HORIZON	ALTERNATIVE;TIME;REF		NO	downstream affected-span length and closure	UNASSIGNED
LATENT_PROCEDURAL_AUTOMATON	ANY_FUNCTIONAL_CLASS		NO	anonymous ordered state path; oracle names hidden until evaluation	UNASSIGNED
