target	n	positives	positive_collections	structure_gain_vs_nuisance_bits	combined_gain_vs_identity_bits	combined_gain_vs_best_aggregate_baseline_bits	positive_gain_folds	pooled_auc	pooled_average_precision	prevalence	ap_over_prevalence	local_p	max_family_p	promoted
ALTERNATIVE	27349	486	6	53.621058895	-365.172050147	-365.172050147	0	0.838032762	0.364812593	0.017770302	20.529340752	0.000975610	0.375609756	NO
TIME	27349	275	6	-284.471759463	-319.910373470	-319.910373470	0	0.845743316	0.164522571	0.010055212	16.361919221	0.000975610	0.019512195	NO
REF	27349	113	6	-48.500215203	-110.163207604	-110.163207604	2	0.803757910	0.181877474	0.004131778	44.019177372	0.000975610	0.000975610	NO
CLOSER	27349	600	6	-1283.867204421	615.054502129	589.001242840	5	0.988706930	0.816131608	0.021938645	37.200638897	0.000975610	0.000975610	NO
EXCLUSION	27349	231	6	31.532000529	-129.591742274	-129.591742274	0	0.853337937	0.199419684	0.008446378	23.610081927	0.000975610	0.000975610	NO
ANALOGY	27349	148	6	43.564682824	-63.509984688	-63.509984688	2	0.842212677	0.138527068	0.005411532	25.598491783	0.000975610	0.000975610	NO
COMPARISON	27349	185	6	8.380163037	-238.645061053	-421.673779802	0	0.714981076	0.022643104	0.006764416	3.347385195	0.000975610	0.987317073	NO
PREDICATE_HEAD_WITH_DEPENDENTS	27349	7315	6	845.704661904	3409.024092502	2239.560971154	5	0.903595828	0.752479872	0.267468646	2.813338621	0.000975610	0.000975610	YES
HIGH_VALENCY_HEAD	27349	2413	6	92.487903724	-2979.094928245	-4104.315670840	0	0.855318708	0.341065357	0.088229917	3.865642949	0.000975610	1.000000000	NO
PARENTED_DEPENDENT	27349	11502	6	569.811016970	4358.717968741	-708.032461781	2	0.913182529	0.888285229	0.420563823	2.112129433	0.000975610	1.000000000	NO
ANY_FUNCTIONAL_CLASS	27349	2038	6	348.254202794	-1763.768644067	-1763.768644067	0	0.801413459	0.454706009	0.074518264	6.101940454	0.000975610	1.000000000	NO
