target	observed_gain_bits	local_p	max_family_p	null_worlds
ALTERNATIVE	-365.172050147	0.000975610	0.375609756	1024
TIME	-319.910373470	0.000975610	0.019512195	1024
REF	-110.163207604	0.000975610	0.000975610	1024
CLOSER	589.001242840	0.000975610	0.000975610	1024
EXCLUSION	-129.591742274	0.000975610	0.000975610	1024
ANALOGY	-63.509984688	0.000975610	0.000975610	1024
COMPARISON	-421.673779802	0.000975610	0.987317073	1024
PREDICATE_HEAD_WITH_DEPENDENTS	2239.560971154	0.000975610	0.000975610	1024
HIGH_VALENCY_HEAD	-4104.315670840	0.000975610	1.000000000	1024
PARENTED_DEPENDENT	-708.032461781	0.000975610	1.000000000	1024
ANY_FUNCTIONAL_CLASS	-1763.768644067	0.000975610	1.000000000	1024
