surface	target_occurrences	allowed_occurrences	pages	loci	ordinal_surface_all_readers_exact_occurrences	zl_surface_split_normalized_all_readers_occurrences	section_counts	language_counts	structural_parse	working_default_de	basis	confidence
aiin	1	432	101	387	338	338	B:32|C:15|H:107|P:18|S:221|T:39	A:68|B:364	a+III	Menge III	INHERITED_VALUE	MEDIUM
chedy	1	470	74	420	296	296	B:163|C:5|H:63|P:1|S:198|T:40	A:1|B:469	ch+e+d+y	getrockneter Zustand	PRODUCTIVE_QUALITY	MEDIUM
cheecthy	1	1	1	1	1	1	H:1	A:1	ch+ee+cth+y	trockenes Blatt-/Krautgut, Bindungsstufe II	HERBAL_SECTION_SPECIALIZATION	MEDIUM
cheo	1	54	30	53	36	36	H:11|P:3|S:38|T:2	A:13|B:41	ch+e+o	trocken angesetzte Zubereitung	BOUNDARY_CTH_SHELL	MEDIUM
cheocthey	1	1	1	1	1	1	T:1	B:1	ch+e+o+cth+ey	trockene Drogenzubereitung, Form I	INHERITED_CTH	MEDIUM
cheody	1	69	42	69	54	56	C:2|H:15|P:14|S:34|T:4	A:21|B:48	ch+e+o+d+y	getrockneter Ansatz	O_STATE_TRANSFER	LOW_MEDIUM
chep	1	5	4	5	3	3	H:1|S:3|T:1	A:1|B:4	ch+e+p_terminal	trockenes Pulver	TERMINAL_P_PULVERFORM_HYPOTHESIS	LOW
chety	1	18	17	18	16	16	B:4|H:10|S:3|T:1	A:5|B:13	ch+e+t+y	trocken-kalte gebundene Form	REVERSED_QUALITY_CORE	LOW_MEDIUM
chocthy	2	17	15	17	14	16	H:13|S:3|T:1	A:12|B:5	ch+o+cth+y	trockene Blatt-/Krautzubereitung	HERBAL_SECTION_SPECIALIZATION	MEDIUM
chol	1	343	125	297	303	303	B:9|C:4|H:216|P:30|S:72|T:12	A:245|B:98	ch+ol	trockenes Material	INHERITED_OL	MEDIUM
chor	2	190	97	176	176	176	H:152|P:14|S:19|T:5	A:163|B:27	ch+or	Pflanzenteil	INHERITED_OR	LOW_MEDIUM
chy	2	162	96	153	114	114	B:12|C:2|H:119|P:3|S:21|T:5	A:112|B:50	ch+y	trocken, Grundform	PRODUCTIVE_QUALITY	MEDIUM
ctheey	1	10	9	10	9	9	H:6|P:2|S:2	A:8|B:2	cth+eey	CTH-Drogenmaterial, Form II	INHERITED_CTH	MEDIUM
cthy	1	92	50	88	85	85	H:90|S:1|T:1	A:87|B:5	cth+y	Blatt-/Krautgut	HERBAL_SECTION_SPECIALIZATION	MEDIUM
daiin	1	721	169	638	602	605	B:66|C:7|H:448|P:47|S:129|T:24	A:435|B:286	d+a+III	Grad III	INHERITED_VALUE	MEDIUM
daiir	1	14	14	14	8	8	H:8|P:1|S:3|T:2	A:8|B:6	d+a+III; IT2a/RF1b daiin	Maß III	TWO_READER_TARGET_LOCUS_NORMALIZATION	MEDIUM
daltedy	1	1	1	1	1	1	B:1	B:1	d+al+t+e+d+y	abgekühltes Material	L_CARRIER_STATE_TRANSFER	LOW
dolshedy	1	2	2	2	2	2	B:2	B:2	d+ol+sh+e+d+y	eingeweichtes Material	L_CARRIER_STATE_TRANSFER	LOW
dory	1	4	4	4	4	4	H:2|P:1|S:1	A:4	d+or+y	abgemessene Portion	R_CARRIER_STATE_TRANSFER	LOW
ety	1	6	6	6	6	6	B:1|H:4|S:1	A:3|B:3	e+t+y	gekühlt	LEADING_E_COLD_HYPOTHESIS	LOW
kaiin	1	74	42	72	44	44	B:7|C:1|H:23|S:36|T:7	A:15|B:59	k+a+III	heiß, Grad III	INHERITED_VALUE	MEDIUM
lkealy	1	1	1	1	1	1	S:1	B:1	l+k+e+al+y	erwärmte Flüssigkeit	LIQUOR_HEAD_HYPOTHESIS	LOW
oaiin	1	22	19	22	17	19	H:13|P:1|S:8	A:11|B:11	o+a+III	Ansatzmenge III	O_VALUE_TRANSFER	LOW_MEDIUM
okaiin	1	200	84	184	177	178	B:29|H:58|P:5|S:98|T:10	A:33|B:167	o+k+a+III	heiß, Grad III, im Ansatzrahmen	INHERITED_VALUE	MEDIUM
ol	1	463	108	417	376	376	B:193|C:4|H:85|P:22|S:117|T:42	A:75|B:388	o+l	Material	INHERITED_OL	LOW_MEDIUM
olkam	1	11	9	11	9	10	B:2|H:1|S:4|T:4	A:1|B:10	ol+k+a+m	heißes Material [terminal-M]	OL_K_PLUS_TERMINAL_M	LOW_MEDIUM
olor	1	26	17	25	22	22	B:16|H:5|S:4|T:1	A:2|B:24	o+l+o+r	Zutat	DIRECT_OL_OR_COMPOUND	LOW_MEDIUM
oraiin	1	26	22	26	21	23	B:1|C:1|H:6|P:2|S:10|T:6	A:4|B:22	o+r+a+III	Portion III	DIRECT_OR_VALUE	LOW_MEDIUM
otedy	1	131	49	122	75	75	B:37|C:2|H:22|S:60|T:10	B:131	o+t+e+d+y	gekühlter Ansatz	O_STATE_TRANSFER	LOW_MEDIUM
oty	1	101	66	99	92	92	B:16|C:1|H:51|P:1|S:26|T:6	A:42|B:59	o+t+y	kalter Ansatz, Grundform	O_QUALITY_TRANSFER	LOW_MEDIUM
paiin	1	7	7	7	6	6	B:1|H:3|S:2|T:1	A:2|B:5	p+a+III	Pulver, Menge III	PULVIS_HEAD_HYPOTHESIS	LOW
posaiin	1	1	1	1	0	0	H:1	A:1	posa+III; IT2a p+or+a+III	Salzpulver-Zubereitung III	CROSS_READER_LEARNED_POSA_FORK	LOW
qokaiin	2	261	67	247	241	241	B:77|C:3|H:34|P:2|S:125|T:20	A:22|B:239	qo+k+a+III	heiß, Grad III	INHERITED_VALUE	MEDIUM
qokain	2	273	45	243	256	256	B:154|C:1|H:7|P:1|S:102|T:8	A:4|B:269	qo+k+a+II	heiß, Grad II	INHERITED_VALUE	MEDIUM
qokal	1	180	54	170	158	158	B:97|C:4|H:13|P:1|S:51|T:14	A:14|B:166	qo+k+a+l	heiße Substanz	A_L_MATERIAL_POLARITY	LOW_MEDIUM
qokar	2	153	62	144	132	132	B:42|C:2|H:30|P:4|S:51|T:24	A:15|B:138	qo+k+a+r	heiße Portion	A_R_PART_POLARITY	LOW_MEDIUM
qokchy	1	64	50	62	58	59	B:4|H:43|P:1|S:14|T:2	A:39|B:25	qo+k+ch+y	heiß-trocken	PRODUCTIVE_QUALITY	MEDIUM
qokeedy	2	292	52	251	201	202	B:134|C:1|H:11|S:136|T:10	B:292	qo+k+ee+d+y	heißer Zustand, Bindungsstufe II	PRODUCTIVE_QUALITY	MEDIUM
qokeeedy	1	4	4	4	1	1	B:1|S:3	B:4	qo+k+eee+d+y	heißer Zustand, Bindungsstufe III	PRODUCTIVE_QUALITY	LOW_MEDIUM
qokeeo	1	17	11	15	14	14	P:3|S:13|T:1	A:3|B:14	qo+k+ee+o	heißer Ansatz, Bindungsstufe II	TERMINAL_O_E_LADDER	LOW_MEDIUM
qotaiin	1	79	40	78	77	77	B:13|C:4|H:14|S:42|T:6	A:13|B:66	qo+t+a+III	kalt, Grad III	INHERITED_VALUE	MEDIUM
qotainol	1	1	1	1	0	1	B:1	B:1	qotain+ol; IT2a/RF1b qotain | ol	kaltes Material, Grad II	TWO_READER_BOUNDARY_NORMALIZATION	MEDIUM
qotchy	1	61	47	61	55	55	B:4|H:49|P:1|S:7	A:48|B:13	qo+t+ch+y	kalt-trocken	PRODUCTIVE_QUALITY	MEDIUM
qoteey	1	40	28	38	38	38	B:6|C:2|H:8|P:1|S:22|T:1	A:9|B:31	qo+t+ee+y	kalt, Bindungsstufe II	PRODUCTIVE_QUALITY	MEDIUM
qotol	1	43	31	40	40	40	B:6|H:21|P:3|S:9|T:4	A:22|B:21	qo+t+ol	kaltes Material	INHERITED_OL	MEDIUM
qoty	1	86	53	85	77	78	B:26|C:2|H:32|S:20|T:6	A:30|B:56	qo+t+y	kalt, Grundform	PRODUCTIVE_QUALITY	MEDIUM
rcheald	1	1	1	1	0	0	B:1	B:1	r+ch+e+al+d; IT2a/RF1b rcheold	getrockneter Wurzelstoff	RADIX_HEAD_PLUS_L_CARRIER	LOW
