check_id	forms	occurrences_by_form	pages_by_form	ordinal_surface_all_readers_exact_by_form	zl_same_line_cooccurrences	composition_rule_de	working_diagnosis_de	status
P_DRY_MOIST	chep|shep|chepy|shepy	chep:5|shep:1|chepy:6|shepy:1	chep:4|shep:1|chepy:6|shepy:1	chep:3|shep:0|chepy:6|shepy:1	NONE	terminales p trägt ch/sh-Qualität	separate terminal-p-Pulverform besitzt trockene und feuchte Formen; kein Beleg für initiales p	MULTIPLE_LISTED_FORMS_ATTESTED
DAL_THERMAL	dalkedy|daltedy	dalkedy:2|daltedy:1	dalkedy:2|daltedy:1	dalkedy:2|daltedy:1	NONE	dal trägt k/t	daltedy ist eine kalte, nicht isolierte dal-Form	MULTIPLE_LISTED_FORMS_ATTESTED
DAL_MOISTURE	dalchedy|dalshedy	dalchedy:5|dalshedy:3	dalchedy:4|dalshedy:2	dalchedy:4|dalshedy:1	NONE	dal trägt ch/sh	dal besitzt trockene und feuchte Zustände	MULTIPLE_LISTED_FORMS_ATTESTED
DOL_MOISTURE	dolchedy|dolshedy	dolchedy:1|dolshedy:2	dolchedy:1|dolshedy:2	dolchedy:1|dolshedy:2	NONE	dol trägt ch/sh	dolshedy=befeuchtet hat einen trockenen Gegenkörper	MULTIPLE_LISTED_FORMS_ATTESTED
TERMINAL_O_THERMAL	qokeeo|qoteeo	qokeeo:17|qoteeo:5	qokeeo:11|qoteeo:5	qokeeo:14|qoteeo:2	NONE	terminales o unter k/t	qokeeo=heißer Ansatz hat eine kalte Gegenform	MULTIPLE_LISTED_FORMS_ATTESTED
OLK_M_THERMAL	olkam|oltam	olkam:11|oltam:1	olkam:9|oltam:1	olkam:9|oltam:1	NONE	OL-M-Schluss unter k/t	olkam=heißes Material [terminal-M] hat eine seltene kalte Gegenform	MULTIPLE_LISTED_FORMS_ATTESTED
R_ROOT_DRY_MOIST	rcheald|rsheald	rcheald:1|rsheald:0	rcheald:1|rsheald:0	rcheald:0|rsheald:0	NONE	initiales r unter ch/sh	nur die trockene Wurzelhypothese ist belegt	ONE_SIDED_ONLY
L_LIQUID_HOT_COLD	lkealy|ltealy	lkealy:1|ltealy:0	lkealy:1|ltealy:0	lkealy:1|ltealy:0	NONE	initiales l unter k/t	nur die heiße Flüssigkeitshypothese ist belegt	ONE_SIDED_ONLY
P_CARRIER_VALUE	pol|por|paiin|polaiin|poraiin	pol:16|por:7|paiin:7|polaiin:8|poraiin:2	pol:12|por:6|paiin:7|polaiin:5|poraiin:2	pol:13|por:5|paiin:6|polaiin:8|poraiin:2	NONE	p mit L/R und Wert	Pulver besitzt Material-, Portions- und Wertformen	MULTIPLE_LISTED_FORMS_ATTESTED
S_CARRIER_VALUE	sol|sor|saiin|solaiin|soraiin	sol:57|sor:43|saiin:109|solaiin:1|soraiin:8	sol:37|sor:37|saiin:64|solaiin:1|soraiin:7	sol:49|sor:34|saiin:89|solaiin:1|soraiin:6	sol~saiin:3|sor~saiin:1	s mit L/R und Wert	Salz besitzt Material-, Portions- und Wertformen	MULTIPLE_LISTED_FORMS_ATTESTED
