prefix	occupied_cells	al_surface	ar_surface	ol_surface	or_surface	al_occurrences	ar_occurrences	ol_occurrences	or_occurrences	al_pages	ar_pages	ol_pages	or_pages	al_ordinal_surface_all_readers_exact	ar_ordinal_surface_all_readers_exact	ol_ordinal_surface_all_readers_exact	or_ordinal_surface_all_readers_exact	zl_same_line_pairs	working_polarity_de
BARE	4	al	ar	ol	or	204	321	463	321	63	90	108	114	167	242	376	235	al~ar:39|al~ol:20|al~or:17|ar~ol:36|ar~or:48|ol~or:53	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
k	4	kal	kar	kol	kor	25	57	30	20	21	42	27	20	14	42	20	13	al~or:1	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
t	4	tal	tar	tol	tor	20	40	34	17	13	33	25	17	14	33	27	12	al~ar:2|al~ol:1	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
ch	4	chal	char	chol	chor	42	75	343	190	26	51	125	97	35	55	303	176	al~ar:4|al~ol:4|al~or:3|ar~ol:4|ar~or:3|ol~or:32	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
sh	4	shal	shar	shol	shor	15	29	163	91	12	25	86	62	11	24	146	77	ar~ol:1|ol~or:11	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
ok	4	okal	okar	okol	okor	123	119	53	24	64	55	41	20	102	91	50	16	al~ar:11|al~ol:3|al~or:1|ar~ol:2|ar~or:1	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
ot	4	otal	otar	otol	otor	119	123	58	33	57	58	48	29	109	110	56	24	al~ar:12|al~ol:2|al~or:1|ar~ol:2|ar~or:4	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
qok	4	qokal	qokar	qokol	qokor	180	153	88	29	54	62	51	25	158	132	82	21	al~ar:16|al~ol:3|ar~ol:1|ar~or:2	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
qot	4	qotal	qotar	qotol	qotor	57	61	43	26	36	36	31	22	54	53	40	22	al~ar:3|ar~ol:2|ar~or:1	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
p	4	pal	par	pol	por	2	6	16	7	1	6	12	6	2	4	13	5	NONE	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
s	4	sal	sar	sol	sor	37	62	57	43	28	44	37	37	33	45	49	34	al~ar:2|al~ol:1|ar~ol:3	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
r	4	ral	rar	rol	ror	16	14	20	12	14	10	15	10	12	11	14	10	NONE	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
l	4	lal	lar	lol	lor	6	8	35	38	6	7	23	28	6	5	31	30	ar~or:1|ol~or:1	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
d	4	dal	dar	dol	dor	191	245	76	60	87	110	57	44	147	195	64	48	al~ar:19|al~ol:9|al~or:3|ar~ol:9|ar~or:2|ol~or:5	L=Substanz/Material; R=Teil/Portion; a/o bleiben verschiedene Trägervokale
