edition_id	line_id	page	locus	position	token_index	surface	structural_parse	working_default_de	basis	confidence	live_rival_de	allowed_occurrences	allowed_pages	ordinal_surface_all_readers_exact	zl_surface_split_normalized_all_readers
G634-T001	G634-L01	f29r	f29r.1	1	1	posaiin	posa+III; IT2a p+or+a+III	Salzpulver-Zubereitung III	CROSS_READER_LEARNED_POSA_FORK	LOW	IT2a Pulverportion III; Samenpulver III	1	1	0	0
G634-T002	G634-L01	f29r	f29r.1	2	2	she	sh+e	feucht, attributiv gebunden	INHERITED_E_SHELL	MEDIUM	Feuchtestufe I	22	21	1	1
G634-T003	G634-L01	f29r	f29r.1	3	3	aiin	a+III	Menge III	INHERITED_VALUE	MEDIUM	Grad oder Klasse III	432	101	1	1
G634-T004	G634-L01	f29r	f29r.1	4	4	chep	ch+e+p_terminal	trockenes Pulver	TERMINAL_P_PULVERFORM_HYPOTHESIS	LOW	trockenes p-Drogengut; nicht vom initialen p abgeleitet	5	4	0	0
G634-T005	G634-L01	f29r	f29r.1	5	5	oty	o+t+y	kalter Ansatz, Grundform	O_QUALITY_TRANSFER	LOW_MEDIUM	kalte o-Rahmenform	101	66	0	0
G634-T006	G634-L01	f29r	f29r.1	6	6	chy	ch+y	trocken, Grundform	PRODUCTIVE_QUALITY	MEDIUM	trockene Grundstufe	162	96	1	1
G634-T007	G634-L01	f29r	f29r.1	7	7	qotchy	qo+t+ch+y	kalt-trocken	PRODUCTIVE_QUALITY	MEDIUM	qo-Rahmen, kalt-trocken	61	47	1	1
G634-T008	G634-L01	f29r	f29r.1	8	8	qoty	qo+t+y	kalt, Grundform	PRODUCTIVE_QUALITY	MEDIUM	qo-Rahmen, kalt	86	53	1	1
G634-T009	G634-L01	f29r	f29r.1	9	9	cheecthy	ch+ee+cth+y	trockenes Blatt-/Krautgut, Bindungsstufe II	HERBAL_SECTION_SPECIALIZATION	MEDIUM	global trockenes CTH-Drogenmaterial	1	1	1	1
G634-T010	G634-L02	f82v	f82v.36	1	1	saiin	s+a+III	Salz, Menge III	SAL_HEAD_HYPOTHESIS	LOW	Samen, Menge III	109	64	0	1
G634-T011	G634-L02	f82v	f82v.36	2	2	shey	sh+e+y	feucht, attributiv gebunden	PRODUCTIVE_QUALITY	MEDIUM	Feuchteform I	232	76	1	1
G634-T012	G634-L02	f82v	f82v.36	3	3	qokeedy	qo+k+ee+d+y	heißer Zustand, Bindungsstufe II	PRODUCTIVE_QUALITY	MEDIUM	heiße Grad-II-Form	292	52	1	1
G634-T013	G634-L02	f82v	f82v.36	4	4	qokar	qo+k+a+r	heiße Portion	A_R_PART_POLARITY	LOW_MEDIUM	heißer Teil; heiße R-Form	153	62	1	1
