window_id	word	observed_rows	mask
ZL3b|f103r|f103r.1-f103r.4	ain	1,9	257
ZL3b|f103r|f103r.1-f103r.4	ar	1,3,7	69
ZL3b|f103r|f103r.1-f103r.4	chain	12	2048
ZL3b|f103r|f103r.1-f103r.4	chal	9,10	768
ZL3b|f103r|f103r.1-f103r.4	chalal	14	8192
ZL3b|f103r|f103r.1-f103r.4	chckhey	8	128
ZL3b|f103r|f103r.1-f103r.4	chckhy	1,5,7,13	4177
ZL3b|f103r|f103r.1-f103r.4	chcthy	4,7	72
ZL3b|f103r|f103r.1-f103r.4	chdaly	10	512
ZL3b|f103r|f103r.1-f103r.4	cheal	3,15	16388
ZL3b|f103r|f103r.1-f103r.4	chechy	11	1024
ZL3b|f103r|f103r.1-f103r.4	checkhy	4,13	4104
ZL3b|f103r|f103r.1-f103r.4	checthy	6	32
ZL3b|f103r|f103r.1-f103r.4	chedal	8	128
ZL3b|f103r|f103r.1-f103r.4	chedaraly	1	1
ZL3b|f103r|f103r.1-f103r.4	chedy	1,3,4,6,9,12	2349
ZL3b|f103r|f103r.1-f103r.4	cheedalaiin	11	1024
ZL3b|f103r|f103r.1-f103r.4	cheey	9	256
ZL3b|f103r|f103r.1-f103r.4	cheol	14	8192
ZL3b|f103r|f103r.1-f103r.4	cheolshy	14	8192
ZL3b|f103r|f103r.1-f103r.4	cheoty	1	1
ZL3b|f103r|f103r.1-f103r.4	chep	1,7	65
ZL3b|f103r|f103r.1-f103r.4	chepy	7	64
ZL3b|f103r|f103r.1-f103r.4	chety	3	4
ZL3b|f103r|f103r.1-f103r.4	chey	2,3,4,6,12	2094
ZL3b|f103r|f103r.1-f103r.4	chol	3,10	516
ZL3b|f103r|f103r.1-f103r.4	choldy	11	1024
ZL3b|f103r|f103r.1-f103r.4	chpchy	10	512
ZL3b|f103r|f103r.1-f103r.4	chsky	13	4096
ZL3b|f103r|f103r.1-f103r.4	chty	10	512
ZL3b|f103r|f103r.1-f103r.4	daiin	3,7	68
ZL3b|f103r|f103r.1-f103r.4	dain	1,2,8	131
ZL3b|f103r|f103r.1-f103r.4	dal	14	8192
ZL3b|f103r|f103r.1-f103r.4	daldy	1	1
ZL3b|f103r|f103r.1-f103r.4	dalkain	9	256
ZL3b|f103r|f103r.1-f103r.4	dalkar	7	64
ZL3b|f103r|f103r.1-f103r.4	daloky	1	1
ZL3b|f103r|f103r.1-f103r.4	dalshy	7	64
ZL3b|f103r|f103r.1-f103r.4	dar	3	4
ZL3b|f103r|f103r.1-f103r.4	daroal	3	4
ZL3b|f103r|f103r.1-f103r.4	deshedy	9	256
ZL3b|f103r|f103r.1-f103r.4	dshol	5	16
ZL3b|f103r|f103r.1-f103r.4	eeal	1	1
ZL3b|f103r|f103r.1-f103r.4	eekain	4	8
ZL3b|f103r|f103r.1-f103r.4	eeokal	1	1
ZL3b|f103r|f103r.1-f103r.4	kaiin	10	512
ZL3b|f103r|f103r.1-f103r.4	kain	12	2048
ZL3b|f103r|f103r.1-f103r.4	kar	1	1
ZL3b|f103r|f103r.1-f103r.4	key	3	4
ZL3b|f103r|f103r.1-f103r.4	l	3	4
ZL3b|f103r|f103r.1-f103r.4	lchedy	7	64
ZL3b|f103r|f103r.1-f103r.4	lkaiin	3	4
ZL3b|f103r|f103r.1-f103r.4	lkar	2,6	34
ZL3b|f103r|f103r.1-f103r.4	lkeedy	9	256
