case_id	edition	page	physical_leaf	source_model	direction	status	known_support_assignment_count	upper_solver_result	independent_confirmation_leaves	unknown_slots	plants_with_empty_upper_domain	unsat_core
ZL3b|f103r|f103r.1-f103r.4|MATERIAL|ORIGINAL	ZL3b	f103r	103	MATERIAL	ORIGINAL	CONTRADICTED	0	unsat	0	64	1	plant_17
ZL3b|f103r|f103r.1-f103r.4|MATERIAL|REVERSED	ZL3b	f103r	103	MATERIAL	REVERSED	CONTRADICTED	0	unsat	0	64	1	plant_17
ZL3b|f103r|f103r.1-f103r.4|PLANT_IDENTITY|ORIGINAL	ZL3b	f103r	103	PLANT_IDENTITY	ORIGINAL	CONTRADICTED	0	unsat	0	64	2	plant_11
ZL3b|f103r|f103r.1-f103r.4|PLANT_IDENTITY|REVERSED	ZL3b	f103r	103	PLANT_IDENTITY	REVERSED	CONTRADICTED	0	unsat	0	64	1	plant_17
ZL3b|f103r|f103r.5-f103r.7|MATERIAL|ORIGINAL	ZL3b	f103r	103	MATERIAL	ORIGINAL	CONTRADICTED	0	unsat	0	67	1	plant_17
ZL3b|f103r|f103r.5-f103r.7|MATERIAL|REVERSED	ZL3b	f103r	103	MATERIAL	REVERSED	UNKNOWN_COMPLETION_ONLY	0	sat	0	67	0	
ZL3b|f103r|f103r.5-f103r.7|PLANT_IDENTITY|ORIGINAL	ZL3b	f103r	103	PLANT_IDENTITY	ORIGINAL	CONTRADICTED	0	unsat	0	67	1	plant_17
ZL3b|f103r|f103r.5-f103r.7|PLANT_IDENTITY|REVERSED	ZL3b	f103r	103	PLANT_IDENTITY	REVERSED	UNKNOWN_COMPLETION_ONLY	0	sat	0	67	0	
ZL3b|f103r|f103r.8-f103r.12|MATERIAL|ORIGINAL	ZL3b	f103r	103	MATERIAL	ORIGINAL	CONTRADICTED	0	unsat	0	67	1	plant_17
ZL3b|f103r|f103r.8-f103r.12|MATERIAL|REVERSED	ZL3b	f103r	103	MATERIAL	REVERSED	UNKNOWN_COMPLETION_ONLY	0	sat	0	67	0	
ZL3b|f103r|f103r.8-f103r.12|PLANT_IDENTITY|ORIGINAL	ZL3b	f103r	103	PLANT_IDENTITY	ORIGINAL	CONTRADICTED	0	unsat	0	67	1	plant_17
ZL3b|f103r|f103r.8-f103r.12|PLANT_IDENTITY|REVERSED	ZL3b	f103r	103	PLANT_IDENTITY	REVERSED	UNKNOWN_COMPLETION_ONLY	0	sat	0	67	0	
ZL3b|f103r|f103r.13-f103r.15|MATERIAL|ORIGINAL	ZL3b	f103r	103	MATERIAL	ORIGINAL	CONTRADICTED	0	unsat	0	55	1	plant_17
ZL3b|f103r|f103r.13-f103r.15|MATERIAL|REVERSED	ZL3b	f103r	103	MATERIAL	REVERSED	CONTRADICTED	0	unsat	0	55	1	plant_17
