decision_id	reading_id	surface	expected_old_meaning_de	new_meaning_de	dispatch_class	head_role	index_value	practical_rationale_de	strongest_rival_de	source_evidence	open_slot_de	component_export_credit	historical_confirmation
G729-D001	arain#GLOBAL	arain	erste Drogenfraktion in Menge II	zwei Teile des Drogenanteils I	INDEXED_SHARE_AMOUNT	AR_INDEXED_SHARE_WITH_LOCAL_AMOUNT	II über Anteil I	Die Ganzform erhält beide sichtbaren Ebenen: AR bezeichnet Anteil I und AIN liefert innerhalb dieses Anteils die Zweiteilung.	Drogenanteil I, Wertstufe II	GDT665:ACCEPTED_WHOLE_SURFACE_DEFAULTS:arain|GDT724:AR_INDEXED_SHARE	genaue Teilungs- oder Maßeinheit; Stoffidentität des Anteils	0	H0_NONE
G729-D002	chorain#GLOBAL	chorain	Blüten-/Pflanzenteil, Menge/Klasse II	Blütenteil, Wertstufe II	OPEN_VALUE	CHOR_PLANT_PART_VALUE	II	Der sichtbare CHOR-Teilkopf bleibt konkret; GDT627 lässt die Sachachse Menge, Stärke, Größe, Reife oder Klasse offen.	Blütenteil: zwei Portionen	GDT627:HEAD_ROLE_ATLAS:chora|GDT627:REPORT:ATTACHMENT_IN_PLANT_PART_LISTS	genaue Pflanzenidentität und Sachachse der Wertstufe	0	H0_NONE
G729-D003	choraiin#GLOBAL	choraiin	Blüten-/Pflanzenteil, Menge/Klasse III	Blütenteil, Wertstufe III	OPEN_VALUE	CHOR_PLANT_PART_VALUE	III	Der sichtbare CHOR-Teilkopf bleibt konkret; GDT627 lässt die Sachachse Menge, Stärke, Größe, Reife oder Klasse offen.	Blütenteil: drei Portionen	GDT627:HEAD_ROLE_ATLAS:chora|GDT627:REPORT:ATTACHMENT_IN_PLANT_PART_LISTS	genaue Pflanzenidentität und Sachachse der Wertstufe	0	H0_NONE
G729-D004	cthan#GLOBAL	cthan	Blatt-/Krautgut, Menge/Klasse I	Blattgut, Wertstufe I	OPEN_VALUE	CTH_PLANT_PART_VALUE	I	Der sichtbare CTH-Teilkopf erlaubt Blattgut als praktischen Default; ohne lokalen Mengen- oder Qualitätskopf bleibt die Achse offen.	Blattgut: eine Portion	GDT627:HEAD_ROLE_ATLAS:ctha|GDT627:REPORT:ATTACHMENT_IN_PLANT_PART_LISTS	Blatt gegenüber allgemeinem Krautgut und Sachachse der Wertstufe	0	H0_NONE
G729-D005	cthain#GLOBAL	cthain	Blatt-/Krautgut, Menge/Klasse II	Blattgut, Wertstufe II	OPEN_VALUE	CTH_PLANT_PART_VALUE	II	Der sichtbare CTH-Teilkopf erlaubt Blattgut als praktischen Default; ohne lokalen Mengen- oder Qualitätskopf bleibt die Achse offen.	Blattgut: zwei Portionen	GDT627:HEAD_ROLE_ATLAS:ctha|GDT627:REPORT:ATTACHMENT_IN_PLANT_PART_LISTS	Blatt gegenüber allgemeinem Krautgut und Sachachse der Wertstufe	0	H0_NONE
G729-D006	cthaiin#GLOBAL	cthaiin	Blatt-/Krautgut, Menge/Klasse III	Blattgut, Wertstufe III	OPEN_VALUE	CTH_PLANT_PART_VALUE	III	Der sichtbare CTH-Teilkopf erlaubt Blattgut als praktischen Default; ohne lokalen Mengen- oder Qualitätskopf bleibt die Achse offen.	Blattgut: drei Portionen	GDT627:HEAD_ROLE_ATLAS:ctha|GDT627:REPORT:ATTACHMENT_IN_PLANT_PART_LISTS	Blatt gegenüber allgemeinem Krautgut und Sachachse der Wertstufe	0	H0_NONE
G729-D007	dan#GLOBAL	dan	Grad-/Maßwert I	Wertstufe I	OPEN_VALUE	NAKED_D_VALUE	I	Die nackte D-Reihe trägt den Index, aber kein sichtbarer äußerer Kopf entscheidet global zwischen Grad, Menge und Klasse.	ein Maß oder Qualitätsgrad I	GDT686:REPORT:HEAD_DEPENDENT_AXIS	lokale Achse und absolute Einheit	0	H0_NONE
G729-D008	daiiin#GLOBAL	daiiin	Grad-/Maßwert IV	Wertstufe IV	OPEN_VALUE	NAKED_D_VALUE	IV	Die nackte D-Reihe trägt den Index, aber kein sichtbarer äußerer Kopf entscheidet global zwischen Grad, Menge und Klasse.	vier Portionen oder Qualitätsgrad IV	GDT686:REPORT:HEAD_DEPENDENT_AXIS	lokale Achse und absolute Einheit	0	H0_NONE
G729-D009	olain#GLOBAL	olain	Drogenstoff, Menge II	zwei Portionen Drogenstoff	CARDINAL_AMOUNT	OL_MATERIAL_AMOUNT	II	Der gelernte OL-Ganzformkopf bezeichnet Drogenstoff und die eigene praktische Quelllinie realisiert AIN bereits als zwei Teile.	Drogenstoff, Qualitätsstufe II oder Zwei-Maß-Zeichen	GDT663:FAMILY_COMPOSITION_ATLAS:olain|GDT665:INHERITED_OL_RENDER_REVISIONS	genaue Stoffidentität und absolute Einheit	0	H0_NONE
G729-D010	olaiin#GLOBAL	olaiin	Drogenstoff, Menge III	drei Portionen Drogenstoff	CARDINAL_AMOUNT	OL_MATERIAL_AMOUNT	III	Der gelernte OL-Ganzformkopf bezeichnet Drogenstoff und die eigene praktische Quelllinie realisiert AIIN bereits als drei Teile.	Drogenstoff, Qualitätsstufe III oder Drei-Maß-Zeichen	GDT663:FAMILY_COMPOSITION_ATLAS:olaiin|GDT665:INHERITED_OL_RENDER_REVISIONS	genaue Stoffidentität und absolute Einheit	0	H0_NONE
