id	x	y	width	height	location	observation	label_neighborhood	attachment_limit
U1	510	135	250	485	oben links	Helle lange Wurzelstränge mit braunen Abschnitten; schmale verzweigte obere Formen, teilweise grünlich.	f88r.1	Nähe links; keine Verweislinie
U2	685	130	200	465	oben zweites	Brauner verdickter gegabelter Unterteil; heller dünner verzweigter Stängel.	f88r.2	Text links vom Stängel; Nähe allein
U3	835	145	235	440	oben Mitte	Kurzer brauner Queransatz; mehrere dünne Wurzelstränge; aufgefächerte obere Striche und grüne Farbfläche.	f88r.3	Text links; Nachbarzeichnung nahe
U4	1090	150	195	470	oben rechts der Mitte	Zwei braune längliche Lappen um hellen Mittelstreifen; dünne seitliche Fortsätze, obere Stängel.	f88r.4	Text links; keine präzise Teilbindung
U5	1220	135	495	530	oben rechts	Heller gezackter Ansatz; lange geschwungene helle Wurzeln; links grüne Fläche, rechts langes grünes Blatt.	f88r.5 / f88r.6	Zwei Texte in Nähe von Ansatz und rechtem Blatt; Ganzes/Teil offen
M1	385	875	430	615	mittlere Reihe links	Lange verschlungene braun-helle Wurzelzüge; oben rechts gelappte grüne Blattgruppe.	f88r.12 / f88r.13	Texte links der Wurzel und nahe Blattgruppe; Ganzes/Teil offen
M2	655	900	270	435	mittlere Reihe links der Mitte	Kleiner brauner Ansatz mit langen dünnen abwärts gerichteten Strängen und gebogenen oberen Linien.	f88r.14	Text oberhalb; Verbindung zum nahen M3 nicht sicher auszuschließen
M3	900	925	95	285	mittlere Reihe schmal aufrecht	Grüner länglicher gerandeter Körper auf hellem gegliedertem Schaft.	f88r.15	Text rechts oben; Objektabgrenzung zu M2 provisorisch
M4	935	880	425	450	mittlere Reihe Mitte	Breiter heller Ansatz mit langen hell-braunen Wurzelzügen; zwei auffällige breite, unterschiedlich gegliederte grüne Blattflächen.	f88r.16	Text unter rechter Blattfläche; Ansatz weiter links
M5	1165	880	685	590	mittlere Reihe rechts	Heller punktierter/lappiger verdickter Unterteil; brauner auslaufender Teil; verzweigter oberer Trieb mit mehreren grünen Blättern.	f88r.17	Text rechts oben am verzweigten Blattbereich
L1	480	1600	595	360	untere beschriftete Reihe links	Heller offener Ansatz; mehrere lange rötlich-helle Wurzelstränge; längliche gezähnte grüne Blätter.	f88r.23 / f88r.24	Zwei Textgruppen links; keine sichere Ganzes/Teil-Zuweisung
L2	1090	1630	785	725	untere beschriftete Reihe rechts	Dicke seitlich auslaufende gewellte helle Wurzelzüge; links rundliche bis tief gelappte grüne Endformen.	f88r.25	Text oben nahe Wurzelzügen; gesamte Bild/Textgrenze teilweise eng
F1	115	2390	1750	305	ganz unten	Seitlich liegender heller Ansatz; sehr lange bandförmige grüne Blätter links; fächernde helle/rötliche Wurzelstränge rechts.		Kein eigener eindeutig abgegrenzter Beschriftungstext in unmittelbarer Nähe
V1	165	205	255	730	Gefäß oben links	Rot-grün-helle mehrstufige Form, oben offene grüne Ovalfläche, unten ausladender Fuß.		Benachbarte Texte nicht als Gefäßnamen gebunden
V2	195	965	230	750	Gefäß Mitte links	Rot-grün-helle gestufte Form, konischer oberer Aufbau, breiter unterer Auslauf und Fuß.		Benachbarte Texte nicht als Gefäßnamen gebunden
V3	190	1720	250	770	Gefäß unten links	Rot-grün-helle gestufte Form, schmaler hoher Abschluss, runder Sockel.		Benachbarte Texte nicht als Gefäßnamen gebunden
