shol	paragraph	grammar	chol	timing	target	target_form	source_object	source_form	witness_actions	current_moisture_origin	state_before_target	target_object	later_target_requirements	later_source_requirements	alias_simulation	row_status
A	f21r.8-f21r.12	B	D	O	f21r.11:9	shody	f21r.11:4	tchol	f21r.11:3	f21r.11:3	"{""PHYSICAL:moisture"":""wet""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	B	D	I	f21r.11:9	shody	f21r.11:4	tchol	f21r.11:3	f21r.11:3	"{""PHYSICAL:moisture"":""wet""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	B	H	O	f21r.11:9	shody	f21r.10:9	otaiin	f21r.11:1	f21r.11:1	"{""CONSTITUTION:thermal"":""cold"",""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	B	H	O	f21r.11:9	shody	f21r.11:4	tchol	f21r.11:3	f21r.11:3	"{""PHYSICAL:moisture"":""wet""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	B	H	I	f21r.11:9	shody	f21r.10:9	otaiin	f21r.11:1	f21r.11:1	"{""CONSTITUTION:thermal"":""cold"",""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	B	H	I	f21r.11:9	shody	f21r.11:4	tchol	f21r.11:3	f21r.11:3	"{""PHYSICAL:moisture"":""wet""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	J	D	O	f21r.11:9	shody	f21r.11:4	tchol	f21r.11:1;f21r.11:3	f21r.11:3	"{""PHYSICAL:moisture"":""wet""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	J	D	I	f21r.11:9	shody	f21r.11:4	tchol	f21r.11:1;f21r.11:3	f21r.11:3	"{""PHYSICAL:moisture"":""wet""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	J	H	O	f21r.11:9	shody	f21r.11:4	tchol	f21r.11:1;f21r.11:3	f21r.11:3	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	J	H	I	f21r.11:9	shody	f21r.11:4	tchol	f21r.11:1;f21r.11:3	f21r.11:3	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	M	D	O	f21r.11:9	shody	f21r.11:4	tchol	f21r.11:1;f21r.11:3	f21r.11:3	"{""PHYSICAL:moisture"":""wet""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	M	D	I	f21r.11:9	shody	f21r.11:4	tchol	f21r.11:1;f21r.11:3	f21r.11:3	"{""PHYSICAL:moisture"":""wet""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	M	H	O	f21r.11:9	shody	f21r.11:4	tchol	f21r.11:1;f21r.11:3	f21r.11:3	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
A	f21r.8-f21r.12	M	H	I	f21r.11:9	shody	f21r.11:4	tchol	f21r.11:1;f21r.11:3	f21r.11:3	"{""PHYSICAL:moisture"":""wet"",""PHYSICAL:thermal"":""hot""}"	f21r.11:9	0	0	NOT_RUN_NO_TARGET_FUTURE_CAPACITY	recorded
