shol	paragraph	grammar	chol	timing	target	target_form	operation	operation_form	patient	patient_form	object	effect	action_status	action_debts	current_moisture	current_moisture_origin	first_target	eligible	reasons	row_status
Q	f6v|f6v.6-f6v.21	B	D	O	f6v.18:1	ytchocthol	f6v.7:1	ychos	f6v.6:2	shocthol	f6v.6:2		NO_STATE_TRANSITION_MODELLED	UNREAD_BETWEEN:f6v.6:3;IMPLICIT_SUBJECT_CONTINUATION	wet	f6v.6:2	True	False	NO_APPLIED_EFFECT;NOT_WETTING_EFFECT	recorded
Q	f6v|f6v.6-f6v.21	B	D	O	f6v.18:1	ytchocthol	f6v.7:2	ychol	f6v.7:4	cthol	f6v.7:4	"{""axis"":""moisture"",""value"":""dry""}"	ASSUMED_EFFECT_APPLIED		dry	f6v.14:2	True	False	NOT_WETTING_EFFECT;CURRENT_NOT_WET	recorded
Q	f6v|f6v.6-f6v.21	B	D	O	f6v.18:1	ytchocthol	f6v.8:3	okchey	f6v.8:2	chor	f6v.8:2		NO_STATE_TRANSITION_MODELLED				True	False	NO_APPLIED_EFFECT;NOT_WETTING_EFFECT;CURRENT_NOT_WET	recorded
Q	f6v|f6v.6-f6v.21	B	D	O	f6v.18:1	ytchocthol	f6v.8:4	qokom	f6v.8:2	chor	f6v.8:2	"{""axis"":""thermal"",""value"":""warm""}"	ASSUMED_EFFECT_APPLIED				True	False	NOT_WETTING_EFFECT;CURRENT_NOT_WET	recorded
Q	f6v|f6v.6-f6v.21	B	D	O	f6v.18:1	ytchocthol	f6v.9:1	oeeo	f6v.9:3	chor	f6v.8:2		NO_STATE_TRANSITION_MODELLED				True	False	NO_APPLIED_EFFECT;NOT_WETTING_EFFECT;CURRENT_NOT_WET	recorded
Q	f6v|f6v.6-f6v.21	B	D	O	f6v.18:1	ytchocthol	f6v.10:1	qokchod	f6v.9:4	cthom	f6v.9:4	"{""axis"":""moisture"",""value"":""dry""}"	ASSUMED_EFFECT_APPLIED	IMPLICIT_SUBJECT_CONTINUATION	dry	f6v.10:1	True	False	NOT_WETTING_EFFECT;CURRENT_NOT_WET	recorded
Q	f6v|f6v.6-f6v.21	B	D	O	f6v.18:1	ytchocthol	f6v.10:2	ychear	f6v.10:3	kchdy	f6v.10:3		NO_STATE_TRANSITION_MODELLED	MISSING_COINGREDIENT			True	False	NO_APPLIED_EFFECT;NOT_WETTING_EFFECT;CURRENT_NOT_WET	recorded
Q	f6v|f6v.6-f6v.21	B	D	O	f6v.18:1	ytchocthol	f6v.12:3	qokam	f6v.12:4	cthy	f6v.12:4	"{""axis"":""thermal"",""value"":""warm""}"	ASSUMED_EFFECT_APPLIED				True	False	NOT_WETTING_EFFECT;CURRENT_NOT_WET	recorded
Q	f6v|f6v.6-f6v.21	B	D	O	f6v.18:1	ytchocthol	f6v.14:1	qokor	f6v.13:4	chor	f6v.8:2	"{""axis"":""thermal"",""value"":""hot""}"	ASSUMED_EFFECT_APPLIED	IMPLICIT_SUBJECT_CONTINUATION			True	False	NOT_WETTING_EFFECT;CURRENT_NOT_WET	recorded
Q	f6v|f6v.6-f6v.21	B	D	O	f6v.18:1	ytchocthol	f6v.14:2	chol	f6v.14:3	cthol	f6v.7:4	"{""axis"":""moisture"",""value"":""dry""}"	ASSUMED_EFFECT_APPLIED		dry	f6v.14:2	True	False	NOT_WETTING_EFFECT;CURRENT_NOT_WET	recorded
