page	locus	record	line	event_index	surface	exact_tuple_id	default_English	source_class	confidence	inheritance_context_rule	ledger_scope	source_event_serial
f10r	f10r.2	1	f10r.2	1	dchey	65f320e75510b2f38182	the pictured simple is called local-name-65F32	HERBAL_CLAUSE_HEAD	.16	CONTEXT_DEFAULT: page/register and field ecology select this low-confidence expansion. Physical-line entry does not itself start a new sentence.	GDT327_PROSE	1
f10r	f10r.2	1	f10r.2	2	cthoor	dedc383b600397a301ee	kept in a covered jar	HERBAL_PHRASE	.16	CONTEXT_DEFAULT: page/register and field ecology select this low-confidence expansion.	GDT327_PROSE	2
f10r	f10r.2	1	f10r.2	3	char	4d4559019a961b834aa1	of the same	PROSE_REFERENCE	.29	Ordinary resumptive phrase; no privileged topic ownership.	GDT327_PROSE	3
f10r	f10r.2	1	f10r.2	4	chty	80ebbbbf238eee9f0aef	until evenly joined	PORTABLE_TECHNICAL_PHRASE	.24	Fixed exact-card default across all selected occurrences.	GDT327_PROSE	4
f10r	f10r.2	1	f10r.2	5	os	df1098831679a8ad1b39	pounded to powder	HERBAL_PHRASE	.16	CONTEXT_DEFAULT: page/register and field ecology select this low-confidence expansion.	GDT327_PROSE	5
f10r	f10r.2	1	f10r.2	6	chair	12efe866f335461823a6	a reddish stem	HERBAL_PHRASE	.16	CONTEXT_DEFAULT: page/register and field ecology select this low-confidence expansion.	GDT327_PROSE	6
f10r	f10r.2	1	f10r.2	7	otytchol	62ff059766b21c7de083	drunk for stomach pain	HERBAL_PHRASE	.16	CONTEXT_DEFAULT: page/register and field ecology select this low-confidence expansion.	GDT327_PROSE	7
f10r	f10r.2	1	f10r.2	8	oky	276a7c2d74d1143446f4	use the lesser portion	QUANTITY_INSTRUCTION	.29	Portable open card; lesser is a relative, not numeric, measure.	GDT327_PROSE	8
f10r	f10r.2	1	f10r.2	9	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	REFERENCE_STANDARD	.48	The active measure may be inherited; no numeral is supplied.	GDT327_PROSE	9
f10r	f10r.2	1	f10r.2	10	etyd	a6939862e33ece5a0483	and keep the root	HERBAL_CLAUSE_END	.16	CONTEXT_DEFAULT: page/register and field ecology select this low-confidence expansion.	GDT327_PROSE	10
f10r	f10r.5	1	f10r.5	1	qokchy	9ad66e67803a12e745de	use the fresh preparation	FRESH_PREPARATION	.26	Herbal-open instruction crossing two dossiers. Physical-line entry does not itself start a new sentence.	GDT327_PROSE	11
f10r	f10r.5	1	f10r.5	2	qotchol	e8a6105b5c3a6220b440	applied while warm	HERBAL_PHRASE	.16	CONTEXT_DEFAULT: page/register and field ecology select this low-confidence expansion.	GDT327_PROSE	12
f10r	f10r.5	1	f10r.5	3	chol	dcda95c81a5460feb191	with it; likewise under the same heading	CONTINUING_RELATION	.59	Missing left argument is inherited at field entry; line-final use carries the relation onward.	GDT327_PROSE	13
f10r	f10r.5	1	f10r.5	4	cthy	e0b630cb1b5df5e7105b	when prepared and ready	READINESS_CONDITION	.38	Same readiness phrase in Herbal and application registers.	GDT327_PROSE	14
f10r	f10r.6	2	f10r.6	1	ycheor	7249edc4df3419c26999	it is found in	HERBAL_CLAUSE_HEAD	.16	CONTEXT_DEFAULT: page/register and field ecology select this low-confidence expansion. Physical-line entry does not itself start a new sentence.	GDT327_PROSE	15
f10r	f10r.6	2	f10r.6	2	cthy	e0b630cb1b5df5e7105b	when prepared and ready	READINESS_CONDITION	.38	Same readiness phrase in Herbal and application registers.	GDT327_PROSE	16
f10r	f10r.6	2	f10r.6	3	chor	7a4bb8136330ee4e6e56	the prepared liquid	WORKING_LIQUID	.28	Portable Herbal/Biological material phrase.	GDT327_PROSE	17
f10r	f10r.6	2	f10r.6	4	cthaiin	f3c23f42baf625639e1e	the expressed juice	HERBAL_PHRASE	.16	CONTEXT_DEFAULT: page/register and field ecology select this low-confidence expansion.	GDT327_PROSE	18
f10r	f10r.6	2	f10r.6	5	qoctholy	af816c04e65874a0f2fa	boiled gently	HERBAL_PHRASE	.16	CONTEXT_DEFAULT: page/register and field ecology select this low-confidence expansion.	GDT327_PROSE	19
f10r	f10r.6	2	f10r.6	6	dy	b921a237be883a820352	this portion	CURRENT_PORTION	.43	Refers to the locally active portion, preparation, or rubric entry.	GDT327_PROSE	20
f10r	f10r.6	2	f10r.6	7	chy	b921a237be883a820352	this portion	CURRENT_PORTION	.43	Refers to the locally active portion, preparation, or rubric entry.	GDT327_PROSE	21
f10r	f10r.6	2	f10r.6	8	taiin	2f1c5e56e8f0ff459065	in the stated or usual measure	REFERENCE_STANDARD	.48	The active measure may be inherited; no numeral is supplied.	GDT327_PROSE	22
f10r	f10r.6	2	f10r.6	9	shy	b921a237be883a820352	this portion	CURRENT_PORTION	.43	Refers to the locally active portion, preparation, or rubric entry.	GDT327_PROSE	23
f10r	f10r.8	2	f10r.8	1	qotchor	10488b911aae52b3b334	gathered before flowering	HERBAL_PHRASE	.24	Fixed exact-card default across all selected occurrences. Physical-line entry does not itself start a new sentence.	GDT327_PROSE	24
f10r	f10r.8	2	f10r.8	2	chor	7a4bb8136330ee4e6e56	the prepared liquid	WORKING_LIQUID	.28	Portable Herbal/Biological material phrase.	GDT327_PROSE	25
f10r	f10r.8	2	f10r.8	3	otol	497cbd9c7401810ff56b	a handful	HERBAL_PHRASE	.16	CONTEXT_DEFAULT: page/register and field ecology select this low-confidence expansion.	GDT327_PROSE	26
f10r	f10r.8	2	f10r.8	4	chol	dcda95c81a5460feb191	with it; likewise under the same heading	CONTINUING_RELATION	.59	Missing left argument is inherited at field entry; line-final use carries the relation onward.	GDT327_PROSE	27
f10r	f10r.8	2	f10r.8	5	cholor	dec401773c1f0347793d	from the foregoing batch	PORTABLE_TECHNICAL_PHRASE	.24	Fixed exact-card default across all selected occurrences.	GDT327_PROSE	28
