namespace	form_id	surface_variants	events	pages	primary_default_English	source_class	confidence	polysemy_rule	assignment_basis
GDT327_EXACT	00d8ebe3c68294eeac39	chdal	1	f83r	the green herbal liquor	MEDIUM|CONTEXT_DEFAULT	0.23	NONE	Biological application context default; singleton forced concrete
GDT327_EXACT	0275fbf14e07935b0a45	okeey|qokeey	7	f81v|f82r|f83r	mix it thoroughly	ACTION	0.40	NONE	fixed recurrent-card default
GDT327_EXACT	03626ca94cb17800d767	sheedy	1	f83r	hold the member immersed	COMMITTED_APPLICATION|CONTEXT_DEFAULT	0.27	NONE	exact committed-card context default; singleton forced concrete
GDT327_EXACT	04a3877f0fc81b7597c9	ldy	2	f82r|f83r	seal the inlet after filling	COMMITTED_APPARATUS	0.27	NONE	exact committed-card context default
GDT327_EXACT	07913ef9b1fb773cd325	okchedy|qokchedy	2	f81v|f83r	finish the pouring at this station	COMMITTED_APPLICATION	0.27	NONE	exact committed-card context default
GDT327_EXACT	087a47b5423438cd6b6a	chokcheo	1	f56r	its common local name	PLANT_ALIAS|CONTEXT_DEFAULT	0.24	NONE	Herbal article context default; singleton forced concrete
GDT327_EXACT	08bd5ca0c2ad137a056d	okey|qokey	2	f81v|f82r	immerse the affected member	BATH_ACTION	0.28	NONE	Biological application context default
GDT327_EXACT	0ab57b7166de99db3a55	lchy	1	f82r	fill the lower basin	BATH_ACTION|CONTEXT_DEFAULT	0.23	NONE	Biological application context default; singleton forced concrete
GDT327_EXACT	0bdc8b6db811b4e67a63	chary	1	f83r	then repeat once	SEQUENCE|CONTEXT_DEFAULT	0.23	NONE	Biological application context default; singleton forced concrete
GDT327_EXACT	0ec6a45e2950e8e7061d	chodaly	1	f56r	it eases pain of the chest	VIRTUE|CONTEXT_DEFAULT	0.24	NONE	Herbal article context default; singleton forced concrete
GDT327_EXACT	0f15effeca7ab10bb026	lchedar	1	f82r	apply the warm cloth	APPLICATION|CONTEXT_DEFAULT	0.23	NONE	Biological application context default; singleton forced concrete
GDT327_EXACT	0f18de177ed7c878bf95	dl	2	f81v	let the green liquor flow	FLOW_ACTION	0.28	NONE	Biological application context default
GDT327_EXACT	10488b911aae52b3b334	otchor|qotchor	2	f10r|f56r	boil it	ACTION	0.38	NONE	fixed recurrent-card default
GDT327_EXACT	12efe866f335461823a6	chair	1	f10r	its common local name	PLANT_ALIAS|CONTEXT_DEFAULT	0.24	NONE	Herbal article context default; singleton forced concrete
GDT327_EXACT	1322bc176443fc2a8a86	qokokchy	1	f56r	mix the powder with honey	PREPARATION|CONTEXT_DEFAULT	0.24	NONE	Herbal article context default; singleton forced concrete
GDT327_EXACT	1496a731803a9f48d2e1	rol	1	f81v	draw off the spent liquor	FLOW_ACTION|CONTEXT_DEFAULT	0.23	NONE	Biological application context default; singleton forced concrete
GDT327_EXACT	1645e612504fcef59ced	okain|qokain	7	f81v|f82r|f83r	add the measured ingredient	ACTION	0.39	NONE	fixed recurrent-card default
