lexicon_key	domain	exact_tuple_or_surface_id	surface_realizations	occurrences	pages	default_English	source_class	confidence	sense_rule
PROSE:00d8ebe3c68294eeac39	BIOLOGICAL	00d8ebe3c68294eeac39	chdal	1	f83r	use for the person shown	PICTURE_OWNED_APPLICATION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:0275fbf14e07935b0a45	BIOLOGICAL	0275fbf14e07935b0a45	okeey|qokeey	7	f81v|f82r|f83r	warm it gently	HEATING_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:03626ca94cb17800d767	BIOLOGICAL	03626ca94cb17800d767	sheedy	1	f83r	retain the prepared liquor for the next washing	COMMITTED_STORAGE	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:04a3877f0fc81b7597c9	BIOLOGICAL	04a3877f0fc81b7597c9	ldy	2	f82r|f83r	hold the usual measure until ready	COMMITTED_DURATION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:07913ef9b1fb773cd325	BIOLOGICAL	07913ef9b1fb773cd325	okchedy|qokchedy	2	f81v|f83r	end this course after one immersion	COMMITTED_DURATION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:087a47b5423438cd6b6a	HERBAL	087a47b5423438cd6b6a	chokcheo	1	f56r	is cooling in the second degree	QUALITY_DEGREE	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:08bd5ca0c2ad137a056d	BIOLOGICAL	08bd5ca0c2ad137a056d	okey|qokey	2	f81v|f82r	immerse the limbs	APPLICATION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:0ab57b7166de99db3a55	BIOLOGICAL	0ab57b7166de99db3a55	lchy	1	f82r	the preparation is ready	RESULT	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:0bdc8b6db811b4e67a63	BIOLOGICAL	0bdc8b6db811b4e67a63	chary	1	f83r	do not let the liquor boil	CAUTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:0ec6a45e2950e8e7061d	HERBAL	0ec6a45e2950e8e7061d	chodaly	1	f56r	wash the afflicted place	APPLICATION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:0f15effeca7ab10bb026	BIOLOGICAL	0f15effeca7ab10bb026	lchedar	1	f82r	seat the patient in the lower basin	PATIENT_PLACEMENT	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:0f18de177ed7c878bf95	BIOLOGICAL	0f18de177ed7c878bf95	dl	2	f81v	retain the same proportion	PROPORTION_REFERENCE	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:10488b911aae52b3b334	HERBAL	10488b911aae52b3b334	otchor|qotchor	2	f10r|f56r	drink one small cup	DOSE	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:12efe866f335461823a6	HERBAL	12efe866f335461823a6	chair	1	f10r	it opens an obstruction	INDICATION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:1322bc176443fc2a8a86	HERBAL	1322bc176443fc2a8a86	qokokchy	1	f56r	gather it before flowering	COLLECTION_TIME	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:1496a731803a9f48d2e1	BIOLOGICAL	1496a731803a9f48d2e1	rol	1	f81v	use the usual measure	MEASURE_REFERENCE	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:1645e612504fcef59ced	BIOLOGICAL	1645e612504fcef59ced	okain|qokain	7	f81v|f82r|f83r	the preparation is ready	RESULT	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:1779decef17481ec2853	BIOLOGICAL	1779decef17481ec2853	qotedaiin	1	f83r	use for the person shown	PICTURE_OWNED_APPLICATION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:1b1ffdd869fb1429ad03	HERBAL_AND_BIO	1b1ffdd869fb1429ad03	oldy	2	f55v|f83r	use the usual prescribed measure	MEASURE_REFERENCE	0.30	CROSS_REGISTER_DEFAULT
PROSE:1bfd786e6b8b63734a59	BIOLOGICAL	1bfd786e6b8b63734a59	solkeey	1	f83r	allow it to cool	COOLING_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:204b04837409088c48f9	HERBAL	204b04837409088c48f9	oltchy	1	f55v	wash the sore place	APPLICATION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:21ed2873b71e57269c08	BIOLOGICAL	21ed2873b71e57269c08	chckhal	1	f83r	allow it to cool	COOLING_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:22fb87a5a83e5c3fb510	BIOLOGICAL	22fb87a5a83e5c3fb510	kair	1	f81v	open the upper outlet	APPARATUS_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:232195d6ff2f326322f7	BIOLOGICAL	232195d6ff2f326322f7	qokol	1	f83r	allow it to cool	COOLING_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:259b2b3b0bf859882e2c	BIOLOGICAL	259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	f81v|f82r|f83r	finish with the ordinary warm bath	COMMITTED_APPLICATION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:276a7c2d74d1143446f4	HERBAL_AND_BIO	276a7c2d74d1143446f4	choky|oky|qoky	10	f10r|f56r|f81v|f82r|f83r	bind this addition to the current preparation	RELATION	0.30	CROSS_REGISTER_DEFAULT
PROSE:27d97af8c96eb056c2e6	HERBAL	27d97af8c96eb056c2e6	oykchor	1	f10r	has a narrow divided leaf	LEAF_DESCRIPTION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:28ffbc88b97772a75f1e	BIOLOGICAL	28ffbc88b97772a75f1e	olchedy|qolchedy	3	f81v|f82r|f83r	finish with the ordinary warm bath	COMMITTED_APPLICATION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:29e0eb222ef2fb99523a	BIOLOGICAL	29e0eb222ef2fb99523a	lar	1	f82r	keep the body below the marked level	LEVEL_CONDITION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:2b7fa918d1b2f5c656e3	BIOLOGICAL	2b7fa918d1b2f5c656e3	lo	1	f83r	admit warm water through the upper channel	FLOW_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:2bc2ed2630dbdaaa6b59	BIOLOGICAL	2bc2ed2630dbdaaa6b59	dalchdy	1	f83r	complete the local rinsing	COMMITTED_APPLICATION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:2c1a5fd92b9e3c762242	HERBAL_AND_BIO	2c1a5fd92b9e3c762242	cheeky	2	f55v|f83r	repeat the preceding direction	REPETITION	0.30	CROSS_REGISTER_DEFAULT
PROSE:2c82523794dcb7d2b343	BIOLOGICAL	2c82523794dcb7d2b343	oiiin|soiiin	2	f81v|f83r	let the liquor return through the side conduit	FLOW_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:2cc054357a929df85f64	HERBAL	2cc054357a929df85f64	cho|sho	4	f56r	repeat for three days	DURATION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:2cc8bb3c2af19607888f	BIOLOGICAL	2cc8bb3c2af19607888f	chckhy|shckhy	4	f81v|f82r	warm it gently	HEATING_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:2d2e37ccb2dacc53ee5a	BIOLOGICAL	2d2e37ccb2dacc53ee5a	solkaiin	1	f82r	seat the patient in the lower basin	PATIENT_PLACEMENT	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:2e2027b1951d79911e24	HERBAL	2e2027b1951d79911e24	tchody	1	f11r	it cools a fever	INDICATION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:2e7e89e0bd12b999c280	BIOLOGICAL	2e7e89e0bd12b999c280	lshedy	2	f81v	leave the mixture to settle	COMMITTED_RESULT	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:2f1c5e56e8f0ff459065	HERBAL_AND_BIO	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	in the stated or usual measure	ACTIVE_STANDARD_REFERENCE	0.61	GLOBAL_CORE_DEFAULT
PROSE:308e8ea2d5d190c498e8	HERBAL_AND_BIO	308e8ea2d5d190c498e8	okal|qokal	6	f55v|f81v|f82r|f83r	continue the same prescription	CONTINUATION	0.30	CROSS_REGISTER_DEFAULT
PROSE:322281bd391aa621f568	HERBAL	322281bd391aa621f568	okchol	1	f11r	it opens an obstruction	INDICATION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:342c3f0777337648f4b3	BIOLOGICAL	342c3f0777337648f4b3	cheedar	1	f83r	retain the same proportion	PROPORTION_REFERENCE	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:348e81ba084c5acdb32b	BIOLOGICAL	348e81ba084c5acdb32b	shecthedchy	1	f83r	close the lower outlet	APPARATUS_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:3ae9a121ba0045b913e8	BIOLOGICAL	3ae9a121ba0045b913e8	qokar	1	f82r	open the upper outlet	APPARATUS_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:3b70942557b3a40e8030	BIOLOGICAL	3b70942557b3a40e8030	olkeedy|solkeedy	3	f81v|f83r	close the outlet when the basin is full	COMMITTED_APPARATUS_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:3e9c7f217843b588489d	BIOLOGICAL	3e9c7f217843b588489d	raly	1	f83r	apply before sleep	APPLICATION_TIME	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:403c1592f918c8f23b88	HERBAL	403c1592f918c8f23b88	ykain	1	f55v	cut the fresh stalks	PREPARATION_ACTION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:409de02322e7b2ca0c62	HERBAL	409de02322e7b2ca0c62	kaiiin	1	f10r	keep the herb after drying	STORAGE	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:428a5e3662aa57b4b256	HERBAL	428a5e3662aa57b4b256	schoal	1	f11r	has a broad soft leaf	LEAF_DESCRIPTION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:42cdc187d5b9ffc60063	BIOLOGICAL	42cdc187d5b9ffc60063	solkey	1	f83r	mix with clean spring water	WATER_MEDIUM	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:433713294b25b0a12f66	BIOLOGICAL	433713294b25b0a12f66	lchedal	1	f81v	the course is complete	CLOSURE	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:43eb9aa12959b4d5cdc9	BIOLOGICAL	43eb9aa12959b4d5cdc9	qekey	1	f83r	repeat the washing	REPETITION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:497cbd9c7401810ff56b	HERBAL	497cbd9c7401810ff56b	otol	1	f10r	bruise it well in a mortar	PREPARATION_ACTION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:4a7a6326ac95a8809302	BIOLOGICAL	4a7a6326ac95a8809302	qokaly	1	f82r	seat the patient in the lower basin	PATIENT_PLACEMENT	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:4d4559019a961b834aa1	HERBAL_AND_BIO	4d4559019a961b834aa1	char|dar|sar	5	f10r|f81v|f82r|f83r	bind this addition to the current preparation	RELATION	0.30	CROSS_REGISTER_DEFAULT
PROSE:4da0f0f7b5fc7ac20067	BIOLOGICAL	4da0f0f7b5fc7ac20067	ral	1	f81v	let the liquor return through the side conduit	FLOW_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:4de12cf322dfb76ded1e	BIOLOGICAL	4de12cf322dfb76ded1e	otchedy|qotchedy	2	f83r	seal the vessel after straining	COMMITTED_APPARATUS_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:4eab1841ed655c20a348	BIOLOGICAL	4eab1841ed655c20a348	sheckhal	1	f81v	use the usual measure	MEASURE_REFERENCE	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:53cd0637c6820ba5e91f	BIOLOGICAL	53cd0637c6820ba5e91f	dain	2	f83r	keep the body below the marked level	LEVEL_CONDITION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:54d0e228ca346110af05	BIOLOGICAL	54d0e228ca346110af05	otaiin|sotaiin	3	f82r|f83r	apply before sleep	APPLICATION_TIME	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:54e32e9c1414b20640e9	BIOLOGICAL	54e32e9c1414b20640e9	sshkchdy	1	f81v	finish with the ordinary warm bath	COMMITTED_APPLICATION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:577c03a928d674d420d7	HERBAL	577c03a928d674d420d7	shoyty	1	f11r	is moist in the first degree	QUALITY_DEGREE	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:5d5e0b288cf36864ed9d	BIOLOGICAL	5d5e0b288cf36864ed9d	oteey	2	f82r	retain the same proportion	PROPORTION_REFERENCE	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:5e8441397e7c0faf042b	BIOLOGICAL	5e8441397e7c0faf042b	chedchy	1	f83r	let the liquor return through the side conduit	FLOW_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:5eff216ba51fbfb21f22	BIOLOGICAL	5eff216ba51fbfb21f22	ls	1	f82r	open the upper outlet	APPARATUS_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:5fca8fc3dee57e1d8c1f	BIOLOGICAL	5fca8fc3dee57e1d8c1f	lcheey	1	f82r	apply before sleep	APPLICATION_TIME	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:601b77449028deed39de	BIOLOGICAL	601b77449028deed39de	otchdy	1	f83r	end this course after one immersion	COMMITTED_DURATION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
PROSE:61a075bc54793c1c781f	HERBAL	61a075bc54793c1c781f	sotodan	1	f56r	mix it with honey	MIXING_MEDIUM	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:62ff059766b21c7de083	HERBAL	62ff059766b21c7de083	otytchol	1	f10r	the pictured medicinal simple	PLANT_NAME	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT
PROSE:65df3cd9e59060042d47	BIOLOGICAL	65df3cd9e59060042d47	pchedy	1	f82r	close the outlet when the basin is full	COMMITTED_APPARATUS_ACTION	0.20	BIO_STENCIL_CONTEXT_DEFAULT
