page	locus	record	line	event_index	surface	exact_tuple_id	default_English	source_class	confidence	inheritance_context_rule	field_ordinal	within_field_position	closure	scope
f10r	f10r.2	1	f10r.2	1	dchey	65f320e75510b2f38182	wash the sore place	APPLICATION|CONTEXT_DEFAULT	0.24	Herbal article context default; singleton forced concrete	1	FIRST	OPEN	PROSE_GDT327
f10r	f10r.2	1	f10r.2	2	cthoor	dedc383b600397a301ee	keep the remainder dry	STORAGE|CONTEXT_DEFAULT	0.24	Herbal article context default; singleton forced concrete	1	MIDDLE	OPEN	PROSE_GDT327
f10r	f10r.2	1	f10r.2	3	char	4d4559019a961b834aa1	then continue	SEQUENCE	0.35	fixed recurrent-card default	1	MIDDLE	OPEN	PROSE_GDT327
f10r	f10r.2	1	f10r.2	4	chty	80ebbbbf238eee9f0aef	finely dried	PREPARATION	0.33	fixed recurrent-card default	1	MIDDLE	OPEN	PROSE_GDT327
f10r	f10r.2	1	f10r.2	5	os	df1098831679a8ad1b39	drink a small draught	APPLICATION|CONTEXT_DEFAULT	0.24	Herbal article context default; singleton forced concrete	1	MIDDLE	OPEN	PROSE_GDT327
f10r	f10r.2	1	f10r.2	6	chair	12efe866f335461823a6	its common local name	PLANT_ALIAS|CONTEXT_DEFAULT	0.24	Herbal article context default; singleton forced concrete	1	MIDDLE	OPEN	PROSE_GDT327
f10r	f10r.2	1	f10r.2	7	otytchol	62ff059766b21c7de083	the fresh root	PLANT_PART|CONTEXT_DEFAULT	0.24	Herbal article context default; singleton forced concrete	1	MIDDLE	OPEN	PROSE_GDT327
f10r	f10r.2	1	f10r.2	8	oky	276a7c2d74d1143446f4	apply it to the affected place	ACTION	0.43	fixed recurrent-card default	1	MIDDLE	OPEN	PROSE_GDT327
f10r	f10r.2	1	f10r.2	9	daiin	2f1c5e56e8f0ff459065	according to the stated measure or duration	REFERENCE	0.58	fixed recurrent-card default	1	MIDDLE	OPEN	PROSE_GDT327
f10r	f10r.2	1	f10r.2	10	etyd	a6939862e33ece5a0483	it draws out corrupted matter	VIRTUE|CONTEXT_DEFAULT	0.24	Herbal article context default; singleton forced concrete	1	LAST	OPEN	PROSE_GDT327
f10r	f10r.5	1	f10r.5	11	qokchy	9ad66e67803a12e745de	bruise it well	ACTION	0.40	fixed recurrent-card default	1	FIRST	OPEN	PROSE_GDT327
