domain	page	locus	record	line	event_index	surface	exact_tuple_id	default_English	source_class	confidence	inheritance_context_rule	assignment_status
PROSE	f10r	f10r.2	1	f10r.2	1	dchey	65f320e75510b2f38182	apply the bruised leaf to swelling	TOPICAL_USE	.24	pictured simple supplies the silent subject; exact card keeps this default	CONTEXT_DEFAULT
PROSE	f10r	f10r.2	1	f10r.2	2	cthoor	dedc383b600397a301ee	it grows beside running water	WATERSIDE_HABITAT	.24	pictured simple supplies the silent subject; exact card keeps this default	CONTEXT_DEFAULT
PROSE	f10r	f10r.2	1	f10r.2	3	char	4d4559019a961b834aa1	then proceed	SEQUENCE	.43	pictured simple supplies the silent subject; exact card keeps this default	COMMON_DECK_DEFAULT
PROSE	f10r	f10r.2	1	f10r.2	4	chty	80ebbbbf238eee9f0aef	its dry quality	DRY_QUALITY	.31	pictured simple supplies the silent subject; exact card keeps this default	COMMON_DECK_DEFAULT
PROSE	f10r	f10r.2	1	f10r.2	5	os	df1098831679a8ad1b39	keep the dried root for winter	STORAGE	.24	pictured simple supplies the silent subject; exact card keeps this default	CONTEXT_DEFAULT
PROSE	f10r	f10r.2	1	f10r.2	6	chair	12efe866f335461823a6	it is drying in the first degree	HUMORAL_QUALITY	.24	pictured simple supplies the silent subject; exact card keeps this default	CONTEXT_DEFAULT
PROSE	f10r	f10r.2	1	f10r.2	7	otytchol	62ff059766b21c7de083	use a small spoonful at dawn	DOSE_TIME	.24	pictured simple supplies the silent subject; exact card keeps this default	CONTEXT_DEFAULT
PROSE	f10r	f10r.2	1	f10r.2	8	oky	276a7c2d74d1143446f4	apply it to the indicated place	LOCAL_APPLICATION	.43	pictured simple supplies the silent subject; exact card keeps this default	COMMON_DECK_DEFAULT
PROSE	f10r	f10r.2	1	f10r.2	9	daiin	2f1c5e56e8f0ff459065	the usual measured portion	MEASURE_STANDARD	.58	pictured simple supplies the silent subject; exact card keeps this default	COMMON_DECK_DEFAULT
PROSE	f10r	f10r.2	1	f10r.2	10	etyd	a6939862e33ece5a0483	reduce the liquor by one half	REDUCTION	.24	pictured simple supplies the silent subject; exact card keeps this default	CONTEXT_DEFAULT
