locus	default_reading
f10r.2	thrives in damp shaded ground; strain the resulting liquor; bind this addition to the current preparation; continue the same prescription; strain the resulting liquor; it opens an obstruction; the pictured medicinal simple; bind this addition to the current preparation; in the stated or usual measure; keep the herb after drying.
f10r.5	drink one small cup; the seed is less strong; with it; likewise under the same heading; prepared and ready for use.
f10r.6	apply it while warm; prepared and ready for use; use the usual prescribed measure; bruise it well in a mortar; has a fibrous bitter root; the current prescribed portion; the current prescribed portion; in the stated or usual measure; the current prescribed portion.
f10r.8	drink one small cup; use the usual prescribed measure; bruise it well in a mortar; with it; likewise under the same heading; repeat the preceding direction; with it; likewise under the same heading; in the stated or usual measure; bind this addition to the current preparation.
f10r.9	has a narrow divided leaf; use the usual prescribed measure; use the usual prescribed measure; the current prescribed portion; keep the herb after drying; the current prescribed portion; keep the herb after drying.
f11r.1	mix it with honey; has a broad soft leaf; is moist in the first degree; has a fibrous bitter root; belongs to the marsh-growing kind; use the usual prescribed measure; it cools a fever; is moist in the first degree.
f11r.4	has a broad soft leaf; the current prescribed portion; take the scraped root; the current prescribed portion; in the stated or usual measure.
f11r.7	bruise it well in a mortar; it opens an obstruction; prepared and ready for use; the current prescribed portion.
f55v.5	take the next entry; in the stated or usual measure; cut the fresh stalks; cut the fresh stalks; give the usual small measure; in the stated or usual measure; bind this addition to the current preparation; apply the warm liquor.
f55v.11	apply the warm liquor; add clean well-water; repeat the preceding direction; use the usual prescribed measure; in the stated or usual measure; continue the same prescription; wash the sore place; use the usual prescribed measure; the current prescribed portion; apply the warm liquor.
f56r.5	use only the inner bark; repeat for three days; wash the afflicted place; in the stated or usual measure.
f56r.7	repeat for three days; grows beside running water; drink one small cup; bind this addition to the current preparation; continue the same prescription.
f56r.8	has a broad soft leaf; drink one small cup; bind this addition to the current preparation; apply it while warm.
f56r.12	avoid an excessive dose; repeat for three days; use only the inner bark; gather it before flowering.
f56r.13	drink one small cup; is cooling in the second degree; gather it before flowering.
f56r.18	repeat for three days; drink one small cup; has a pale hollow stalk; mix it with honey.
f56r.19	continue the same prescription; apply it while warm; in the stated or usual measure.
f67r2.1	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.2	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.3	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.4	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f67r2.5	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f67r2.6	names the celestial influence at this drawn locus.
f67r2.7	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.8	names the celestial influence at this drawn locus.
f67r2.9	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f67r2.10	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.11	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.12	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f67r2.13	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division; refers it to the ruling planet.
f67r2.14	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.15	planetary governor 1 at Conjectured by Robert Firth to be the names of the seven Ptolemaic planets Transcribed clo.
f67r2.16	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division; refers it to the ruling planet.
f67r2.17	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.18	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.19	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division; refers it to the ruling planet.
f67r2.20	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f67r2.21	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.22	planetary governor 2 at Moon at 11:30, red; the Sun? The first @o was retraced in dark ink.
f67r2.23	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f67r2.24	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.25	names the celestial influence at this drawn locus.
f67r2.26	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.27	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division; refers it to the ruling planet.
f67r2.28	planetary governor 3 at Moon at 01:30, red; under its appointed ruler.
f67r2.29	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f67r2.30	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f67r2.31	planetary governor 4 at Moon at 02:30, light yellow.
f67r2.32	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division; refers it to the ruling planet.
f67r2.33	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.34	planetary governor 5 at Moon at 03:30, light yellow; under its appointed ruler.
f67r2.35	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.36	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.37	planetary governor 6 at Moon at 04:30, red.
f67r2.38	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f67r2.39	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.40	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.41	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f67r2.42	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.43	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division; refers it to the ruling planet.
f67r2.44	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.45	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.46	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f67r2.47	planetary governor 7 at Moon at 07:30, red.
f67r2.48	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.49	names the celestial influence at this drawn locus; marks that influence as favorable for washing; assigns the current zodiacal division.
f67r2.50	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f67r2.51	names the celestial influence at this drawn locus.
f67r2.52	zodiacal division 2 at Moon at 09:30, red.
f67r2.53	zodiacal division 3 at Moon at 10:30, yellow, no label above.
f67r2.54	zodiacal division 4 at Moon at 11:30, red; under its appointed ruler.
f67r2.55	zodiacal division 5 at Moon at 00:30, yellow, no label above.
f67r2.56	zodiacal division 6 at Moon at 01:30, red; under its appointed ruler.
f67r2.57	zodiacal division 7 at Moon at 02:30, yellow; under its appointed ruler.
f67r2.58	zodiacal division 8 at Moon at 03:30, yellow; under its appointed ruler; for the favorable interval.
f67r2.59	zodiacal division 9 at Moon at 04:30, red.
f67r2.60	zodiacal division 10 at Moon at 05:30, red, no label above.
f67r2.61	zodiacal division 11 at Moon at 06:30, yellow, no label above.
f67r2.62	zodiacal division 12 at Moon at 07:30, red.
f67r2.63	zodiacal division 1 at Transcribed clockwise from 08:30, at the dotted line emanating from the central star.
f67r2.64	"inner celestial condition 1 at Transcribed clockwise from 08:30 after the ""dotted tail"" emanating from the central ""star""; under its appointed ruler."
f67r2.65	inner celestial condition 2 at 10:30.
f67r2.66	inner celestial condition 3 at 00:30.
f67r2.67	inner celestial condition 4 at 02:30.
f67r2.68	inner celestial condition 5 at 03:30.
f67r2.69	inner celestial condition 6 at 05:30; under its appointed ruler.
f67r2.70	inner celestial condition 7 at 07:00.
f67r2.71	names the celestial influence at this drawn locus.
f67r2.72	for; the; current; zodiacal division; select; its; planetary governor; then; read; the corresponding; inner; condition.
f67r2.73	if; the; marked; hour; falls; under; the same; governor; carry; the rule; forward.
f67r2.74	for; bathing; or; applying; the remedy; choose; a favorable; condition; and; avoid; the contrary; hour; thereafter.
f68r1.1	this; star map; sets forth; the named; celestial stations; around; the central; light; for consultation.
f68r1.2	choose; the station; nearest; the required; celestial light; and; carry; its rule; to the case.
f68r1.3	stars of; the inner; and outer; courses; share; one; appointed; reckoning.
f68r1.4	names the celestial influence at this drawn locus; marks that influence as favorable for washing.
f68r1.5	names the celestial influence at this drawn locus.
f68r1.6	names the celestial influence at this drawn locus.
f68r1.7	names the celestial influence at this drawn locus.
f68r1.8	named star at 11:00 - near border, West of sun.
f68r1.9	named star at 00:30 - East of sun.
f68r1.10	named star at 10:30 - near border.
f68r1.11	named star at 11:00 - second from border.
f68r1.12	named star at 00:00 - South of sun.
f68r1.13	named star at 01:00 - Southeast of sun.
f68r1.14	named star at 09:45 - next to border.
f68r1.15	named star at 10:15 - mid-radius.
f68r1.16	named star at 10:30 - near center.
f68r1.17	named star at 01:30 - halfway to border.
f68r1.18	named star at 02:00 - near border.
f68r1.19	named star at 09:00 - next to border.
f68r1.20	named star at 09:30 - middle of three.
f68r1.21	named star at 09:00 - nearest to center.
f68r1.22	named star at center of diagram.
f68r1.23	named star at 02:00 - midway to border Seven points, no core.
f68r1.24	named star at 02:30 - near border.
f68r1.25	named star at 03:00 - next to border.
f68r1.26	named star at 08:30 - next to border.
f68r1.27	named star at 08:00 - second from border.
f68r1.28	named star at 07:15 - nearest to center.
f68r1.29	named star at 04:30 - near center.
f68r1.30	named star at 03:30 - mid-radius.
f68r1.31	named star at 08:00 - next to border.
f68r1.32	named star at 07:15 - near border.
f68r1.33	named star at 07:00 - Northwest of moon.
f68r1.34	named star at 06:30 - Northeast of moon.
f68r1.35	named star at 04:30 - near border.
f68r1.36	named star at 05:00 - East of moon.
f68r1.37	use; the central star; as; the local; reference.
f69v.1	for; the lunar course; reckon; the mansion; shown; on the long spoke; then; the answering mansion; on the short spoke; observe; the favorable hour; for bathing; the unfavorable hour; for bleeding; carry; the count; forward; one place; each day; when the moon; enters; the next mansion; use; the corresponding rule; for the patient; shown in the register; and; repeat; after the cycle; is complete; the long member; governs; the first interval; the short member; governs; the second interval; do not reverse; the paired order; without a fresh observation; thereafter.
f69v.2	for; the lunar course; reckon; the mansion; shown; on the long spoke; then; the answering mansion; on the short spoke; observe; the favorable hour; for bathing; the unfavorable hour; for bleeding; carry; the count; forward; one place; each day; when the moon; enters; the next mansion; use; the corresponding rule; for the patient; shown in the register; and; repeat; after the cycle; is complete; the long member; governs; the first interval; the short member; governs; the second interval; do not reverse; the paired order.
f69v.3	without a fresh observation; thereafter; for; the lunar course; reckon; the mansion; shown; on the long spoke; then; the answering mansion; on the short spoke; observe; the favorable hour; for bathing; the unfavorable hour; for bleeding; carry; the count; forward; one place; each day; when the moon; enters; the next mansion; use; the corresponding rule; for the patient; shown in the register; and.
f69v.4	lunar mansion on the short spoke at 09:30, short; under its appointed ruler.
f69v.5	lunar mansion on the long spoke at 10:00, long; under its appointed ruler.
f69v.6	lunar mansion on the short spoke at 10:30, short.
f69v.7	lunar mansion on the long spoke at 11:00, long.
f69v.8	lunar mansion on the short spoke at 11:30, short.
f69v.9	lunar mansion on the long spoke at 00:00, long.
f69v.10	lunar mansion on the short spoke at 00:15, short.
f69v.11	lunar mansion on the long spoke at 00:30, long.
f69v.12	lunar mansion on the short spoke at 01:00, short.
f69v.13	lunar mansion on the long spoke at 01:30, long.
f69v.14	lunar mansion on the short spoke at 02:00, short.
f69v.15	lunar mansion on the long spoke at 02:15, long.
f69v.16	lunar mansion on the short spoke at 02:45, short.
f69v.17	lunar mansion on the long spoke at 03:00, long.
f69v.18	lunar mansion on the short spoke at 03:15, short.
f69v.19	lunar mansion on the long spoke at 03:30, long.
f69v.20	lunar mansion on the short spoke at 04:00, short.
f69v.21	lunar mansion on the long spoke at 04:30, long.
f69v.22	lunar mansion on the short spoke at 05:00, short.
f69v.23	lunar mansion on the long spoke at 05:15, long.
f69v.24	lunar mansion on the short spoke at 05:45, short.
f69v.25	lunar mansion on the long spoke at 06:00, long; under its appointed ruler.
f69v.26	lunar mansion on the short spoke at 06:30, short; under its appointed ruler.
f69v.27	lunar mansion on the long spoke at 07:00, long.
f69v.28	lunar mansion on the short spoke at 07:30, short.
f69v.29	lunar mansion on the long spoke at 08:00, long.
f69v.30	lunar mansion on the short spoke at 08:30, short.
f69v.31	lunar mansion on the long spoke at 08:45, long; under its appointed ruler.
f81v.2	use the standard bath configuration; take the next entry; open the upper outlet; continue the same prescription; bind this addition to the current preparation; with it; likewise under the same heading; the preparation is ready; hold until the skin is warmed; continue the same prescription; with it; likewise under the same heading; use the usual measure; retain the same proportion.
f81v.7	repeat the preceding direction; with it; likewise under the same heading; use the usual measure; in the stated or usual measure; rinse the local part; in the stated or usual measure; warm it gently; finish with the ordinary warm bath; with it; likewise under the same heading.
f81v.17	finish with the ordinary warm bath; bind this addition to the current preparation; with it; likewise under the same heading; let the preparation settle until ready; finish with the ordinary warm bath; the preparation is ready; warm it gently; retain the same proportion; let the liquor return through the side conduit.
f81v.18	seal the vessel after straining; the current prescribed portion; with it; likewise under the same heading; rinse the local part; with it; likewise under the same heading; let the preparation settle until ready; use the standard bath configuration; use the standard bath configuration; warm it gently; bind this addition to the current preparation.
f81v.21	mix with clean spring water; immerse the limbs; leave the mixture to settle; leave the mixture to settle; bind this addition to the current preparation; transfer to the next basin; the course is complete; with it; likewise under the same heading; immerse the limbs.
f81v.24	take the prepared bath; end this course after one immersion; continue the same prescription; warm it gently; with it; likewise under the same heading; let the preparation settle until ready; continue the same prescription; warm it gently; complete the local rinsing; do not let the liquor boil.
