construction_id	page	construction_level	visible_sequence	default_reading	confidence	composition_rule
f10r:1:f10r.2:F1	f10r	PROSE_FIELD	dchey cthoor char chty os chair otytchol oky daiin etyd	thrives in damp shaded ground; strain the resulting liquor; bind this addition to the current preparation; continue the same prescription; strain the resulting liquor; it opens an obstruction; the pictured medicinal simple; bind this addition to the current preparation; in the stated or usual measure; keep the herb after drying.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f10r:1:f10r.5:F1	f10r	PROSE_FIELD	qokchy qotchol chol cthy	drink one small cup; the seed is less strong; with it; likewise under the same heading; prepared and ready for use.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f10r:2:f10r.6:F1	f10r	PROSE_FIELD	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	apply it while warm; prepared and ready for use; use the usual prescribed measure; bruise it well in a mortar; has a fibrous bitter root; the current prescribed portion; the current prescribed portion; in the stated or usual measure; the current prescribed portion.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f10r:2:f10r.8:F1	f10r	PROSE_FIELD	qotchor chor otol chol cholor chol daiin dar	drink one small cup; use the usual prescribed measure; bruise it well in a mortar; with it; likewise under the same heading; repeat the preceding direction; with it; likewise under the same heading; in the stated or usual measure; bind this addition to the current preparation.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f10r:2:f10r.9:F1	f10r	PROSE_FIELD	oykchor shor chor chy kaiiin dy chodaiin	has a narrow divided leaf; use the usual prescribed measure; use the usual prescribed measure; the current prescribed portion; keep the herb after drying; the current prescribed portion; keep the herb after drying.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f11r:1:f11r.1:F1	f11r	PROSE_FIELD	tshol schoal cfhy shfydaiin cphy shey tchody	mix it with honey; has a broad soft leaf; is moist in the first degree; has a fibrous bitter root; belongs to the marsh-growing kind; use the usual prescribed measure; it cools a fever.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f11r:1:f11r.1:F2	f11r	PROSE_FIELD	shoyty	is moist in the first degree.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f11r:1:f11r.4:F1	f11r	PROSE_FIELD	dchol chy kchy dy daiin	has a broad soft leaf; the current prescribed portion; take the scraped root; the current prescribed portion; in the stated or usual measure.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f11r:1:f11r.7:F1	f11r	PROSE_FIELD	qotchy okchol cthy dy	bruise it well in a mortar; it opens an obstruction; prepared and ready for use; the current prescribed portion.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f55v:1:f55v.11:F1	f55v	PROSE_FIELD	ykaiin cheoar cheeky oldy	apply the warm liquor; add clean well-water; repeat the preceding direction; use the usual prescribed measure.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f55v:1:f55v.11:F2	f55v	PROSE_FIELD	aiin okal oltchy or y orain	in the stated or usual measure; continue the same prescription; wash the sore place; use the usual prescribed measure; the current prescribed portion; apply the warm liquor.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f55v:1:f55v.5:F1	f55v	PROSE_FIELD	qokaiin chaiin ykain ykan ody	take the next entry; in the stated or usual measure; cut the fresh stalks; cut the fresh stalks; give the usual small measure.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f55v:1:f55v.5:F2	f55v	PROSE_FIELD	daiin chedy talam	in the stated or usual measure; bind this addition to the current preparation; apply the warm liquor.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f56r:1:f56r.12:F1	f56r	PROSE_FIELD	sh cho kchey qokokchy	avoid an excessive dose; repeat for three days; use only the inner bark; gather it before flowering.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f56r:1:f56r.13:F1	f56r	PROSE_FIELD	okchy chokcheo kchal	drink one small cup; is cooling in the second degree; gather it before flowering.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f56r:1:f56r.18:F1	f56r	PROSE_FIELD	sho chokchy kchoar sotodan	repeat for three days; drink one small cup; has a pale hollow stalk; mix it with honey.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f56r:1:f56r.19:F1	f56r	PROSE_FIELD	otchey keol daiin	continue the same prescription; apply it while warm; in the stated or usual measure.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f56r:1:f56r.5:F1	f56r	PROSE_FIELD	chochor cho chodaly daiin	use only the inner bark; repeat for three days; wash the afflicted place; in the stated or usual measure.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f56r:1:f56r.7:F1	f56r	PROSE_FIELD	sho kchol otchor choky dal	repeat for three days; grows beside running water; drink one small cup; bind this addition to the current preparation; continue the same prescription.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f56r:1:f56r.8:F1	f56r	PROSE_FIELD	schol choy choky cheeckhody	has a broad soft leaf; drink one small cup; bind this addition to the current preparation; apply it while warm.	0.18	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f81v:1:f81v.17:F1	f81v	PROSE_FIELD	sshkchdy	finish with the ordinary warm bath.	0.20	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f81v:1:f81v.17:F2	f81v	PROSE_FIELD	chedy ol shedy	bind this addition to the current preparation; with it; likewise under the same heading; let the preparation settle until ready.	0.30	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f81v:1:f81v.17:F3	f81v	PROSE_FIELD	qolchedy	finish with the ordinary warm bath.	0.20	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f81v:1:f81v.17:F4	f81v	PROSE_FIELD	qokain shckhy dl ral	the preparation is ready; warm it gently; retain the same proportion; let the liquor return through the side conduit.	0.20	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f81v:1:f81v.18:F1	f81v	PROSE_FIELD	qokchdy	seal the vessel after straining.	0.20	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f81v:1:f81v.18:F2	f81v	PROSE_FIELD	chey ol cheky ol shedy	the current prescribed portion; with it; likewise under the same heading; rinse the local part; with it; likewise under the same heading; let the preparation settle until ready.	0.20	ordered exact-card meanings; omitted subject supplied by picture/current prescription
f81v:1:f81v.18:F3	f81v	PROSE_FIELD	qokedy	use the standard bath configuration.	0.50	ordered exact-card meanings; omitted subject supplied by picture/current prescription
