page	locus	surface_sequence	complete_default_reading	event_count	continuity_note
f10r	f10r.2	dchey cthoor char chty os chair otytchol oky daiin etyd	the pictured simple is called local-name-65F32; kept in a covered jar; of the same; until evenly joined; pounded to powder; a reddish stem; drunk for stomach pain; use the lesser portion; in the stated or usual measure; and keep the root	10	Physical end is reflow only unless the final group carries a local close.
f10r	f10r.5	qokchy qotchol chol cthy	use the fresh preparation; applied while warm; with it; likewise under the same heading; when prepared and ready	4	Physical end is reflow only unless the final group carries a local close.
f10r	f10r.6	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	it is found in; when prepared and ready; the prepared liquid; the expressed juice; boiled gently; this portion; this portion; in the stated or usual measure; this portion	9	Physical end is reflow only unless the final group carries a local close.
f10r	f10r.8	qotchor chor otol chol cholor chol daiin dar	gathered before flowering; the prepared liquid; a handful; with it; likewise under the same heading; from the foregoing batch; with it; likewise under the same heading; in the stated or usual measure; of the same	8	Physical end is reflow only unless the final group carries a local close.
f10r	f10r.9	oykchor shor chor chy kaiiin dy chodaiin	its flower appears; the prepared liquid; the prepared liquid; this portion; a bitter taste; this portion; and preserve it in oil	7	Physical end is reflow only unless the final group carries a local close.
f11r	f11r.1	tshol schoal cfhy shfydaiin cphy shey tchody shoyty	gather it in spring; shaded woodland; gathered before flowering; strained through cloth; strained through cloth; until it becomes clear; leave the outlet open; close the rubric; its flower appears	8	Physical end is reflow only unless the final group carries a local close.
f11r	f11r.4	dchol chy kchy dy daiin	the pictured simple is called local-name-D6655; this portion; used against swelling; this portion; in the stated or usual measure	5	Physical end is reflow only unless the final group carries a local close.
f11r	f11r.7	qotchy okchol cthy dy	the pictured simple is called local-name-A48EF; applied while warm; when prepared and ready; this portion	4	Physical end is reflow only unless the final group carries a local close.
f55v	f55v.11	ykaiin cheoar cheeky oldy aiin okal oltchy or y orain	for its medicinal use; white wine; while still warm; boil gently; close the rubric; in the stated or usual measure; combine the two portions; kept in a covered jar; the prepared liquid; this portion; and use it fresh	10	Physical end is reflow only unless the final group carries a local close.
f55v	f55v.5	qokaiin chaiin ykain ykan ody daiin chedy talam	take up the next entry; in the stated or usual measure; boiled gently; white wine; steep until clear; close the rubric; in the stated or usual measure; mix until even; wash once; close the rubric	8	Physical end is reflow only unless the final group carries a local close.
f56r	f56r.12	sh cho kchey qokokchy	its seed is; thereafter; the dried leaf; and dry it in shade	4	Physical end is reflow only unless the final group carries a local close.
f56r	f56r.13	okchy chokcheo kchal	use the fresh preparation; drunk for stomach pain; and dry it in shade	3	Physical end is reflow only unless the final group carries a local close.
f56r	f56r.18	sho chokchy kchoar sotodan	thereafter; use the fresh preparation; honey; and use it fresh	4	Physical end is reflow only unless the final group carries a local close.
f56r	f56r.19	otchey keol daiin	mark the following share; a pale flower; in the stated or usual measure	3	Physical end is reflow only unless the final group carries a local close.
f56r	f56r.5	chochor cho chodaly daiin	gather it in spring; thereafter; the lower root; in the stated or usual measure	4	Physical end is reflow only unless the final group carries a local close.
f56r	f56r.7	sho kchol otchor choky dal	thereafter; white wine; gathered before flowering; use the lesser portion; at the indicated place	5	Physical end is reflow only unless the final group carries a local close.
f56r	f56r.8	schol choy choky cheeckhody	the pictured simple is called local-name-D6655; shaded woodland; use the lesser portion; leave the outlet open; close the rubric	4	Physical end is reflow only unless the final group carries a local close.
f67r2	f67r2.1	ykshy s aram	zodiac division 1: Aries; its ruling quality; its application rule	3	Physical end is reflow only unless the final group carries a local close.
f67r2	f67r2.10	lkshy kchy okar	zodiac division 10: Capricorn; its ruling quality; its application rule	3	Physical end is reflow only unless the final group carries a local close.
f67r2	f67r2.11	chky chykchs chy	zodiac division 11: Aquarius; its ruling quality; its application rule	3	Physical end is reflow only unless the final group carries a local close.
f67r2	f67r2.12	ykees ykchos	zodiac division 12: Pisces; its ruling quality	2	Physical end is reflow only unless the final group carries a local close.
f67r2	f67r2.13	opodchol s ain aldy	at night; in the morning; for the sick person; at the affected place	4	Physical end is reflow only unless the final group carries a local close.
f67r2	f67r2.14	soeey doiin oldy	in the morning; for the sick person; at the affected place	3	Physical end is reflow only unless the final group carries a local close.
f67r2	f67r2.15	dolchsody	sevenfold governor 1: Saturn	1	Physical end is reflow only unless the final group carries a local close.
f67r2	f67r2.16	odaeiin okoes oekain y	at the affected place; repeat once; do not overheat; let it settle	4	Physical end is reflow only unless the final group carries a local close.
f67r2	f67r2.17	otchey soraiir dy	repeat once; do not overheat; let it settle	3	Physical end is reflow only unless the final group carries a local close.
f67r2	f67r2.18	qopchy daiin dal	do not overheat; let it settle; then proceed	3	Physical end is reflow only unless the final group carries a local close.
f67r2	f67r2.19	ydchos ain ar amy	let it settle; then proceed; the favourable condition; the adverse condition	4	Physical end is reflow only unless the final group carries a local close.
