page	locus	record	field_ordinal	line	event_index	group_index	surface	exact_tuple_id	default_English	source_class	confidence	inheritance_context_rule
f10r	f10r.2	1	1	f10r.2	1	1	dchey	65f320e75510b2f38182	thrives in damp shaded ground	MOIST_HABITAT	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.2	1	1	f10r.2	2	2	cthoor	dedc383b600397a301ee	strain the resulting liquor	PREPARATION_ACTION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.2	1	1	f10r.2	3	3	char	4d4559019a961b834aa1	bind this addition to the current preparation	RELATION	0.30	CROSS_REGISTER_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.2	1	1	f10r.2	4	4	chty	80ebbbbf238eee9f0aef	continue the same prescription	CONTINUATION	0.30	CROSS_REGISTER_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.2	1	1	f10r.2	5	5	os	df1098831679a8ad1b39	strain the resulting liquor	PREPARATION_ACTION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.2	1	1	f10r.2	6	6	chair	12efe866f335461823a6	it opens an obstruction	INDICATION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.2	1	1	f10r.2	7	7	otytchol	62ff059766b21c7de083	the pictured medicinal simple	PLANT_NAME	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.2	1	1	f10r.2	8	8	oky	276a7c2d74d1143446f4	bind this addition to the current preparation	RELATION	0.30	CROSS_REGISTER_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.2	1	1	f10r.2	9	9	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	ACTIVE_STANDARD_REFERENCE	0.61	GLOBAL_CORE_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.2	1	1	f10r.2	10	10	etyd	a6939862e33ece5a0483	keep the herb after drying	STORAGE	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.5	1	1	f10r.5	11	1	qokchy	9ad66e67803a12e745de	drink one small cup	DOSE	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.5	1	1	f10r.5	12	2	qotchol	e8a6105b5c3a6220b440	the seed is less strong	PART_COMPARISON	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.5	1	1	f10r.5	13	3	chol	dcda95c81a5460feb191	with it; likewise under the same heading	ACTIVE_RELATION	0.59	GLOBAL_CORE_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.5	1	1	f10r.5	14	4	cthy	e0b630cb1b5df5e7105b	prepared and ready for use	PREPARED_CONDITION	0.44	GLOBAL_CORE_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.6	2	1	f10r.6	15	1	ycheor	7249edc4df3419c26999	apply it while warm	APPLICATION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.6	2	1	f10r.6	16	2	cthy	e0b630cb1b5df5e7105b	prepared and ready for use	PREPARED_CONDITION	0.44	GLOBAL_CORE_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.6	2	1	f10r.6	17	3	chor	7a4bb8136330ee4e6e56	use the usual prescribed measure	MEASURE_REFERENCE	0.30	CROSS_REGISTER_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.6	2	1	f10r.6	18	4	cthaiin	f3c23f42baf625639e1e	bruise it well in a mortar	PREPARATION_ACTION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT; subject=[PICTURED SIMPLE] when omitted
f10r	f10r.6	2	1	f10r.6	19	5	qoctholy	af816c04e65874a0f2fa	has a fibrous bitter root	ROOT_DESCRIPTION	0.18	PICTURED_SIMPLE_CONTEXT_DEFAULT; subject=[PICTURED SIMPLE] when omitted
