component	shelf	atomic_pocket_value_de	workshop_expansion_de	image_expansion_de	total_atom_occurrences	teaching_rule_de
Y	PRODUCTIVE_CONTRAST_CORE	DIES	dieser Arbeitsgegenstand	dieser Bildplatz	997	Merke nur DIES; die konkrete Formulierung kommt aus Register und Nachbarkarten.
OK	PRODUCTIVE_CONTRAST_CORE	START	Arbeitsgang ansetzen	Bildplatz aktivieren	448	Merke nur START; die konkrete Formulierung kommt aus Register und Nachbarkarten.
E	PRODUCTIVE_CONTRAST_CORE	KURZ	kurz oder direkt	erster Grad	429	Merke nur KURZ; die konkrete Formulierung kommt aus Register und Nachbarkarten.
DY	PRODUCTIVE_CONTRAST_CORE	ENDE	Arbeitsschritt schließen	Bildeintrag schließen	368	Merke nur ENDE; die konkrete Formulierung kommt aus Register und Nachbarkarten.
O	PRODUCTIVE_CONTRAST_CORE	GANG	Arbeitsgang ausführen	Reihe aufrufen	341	Merke nur GANG; die konkrete Formulierung kommt aus Register und Nachbarkarten.
OL	PRODUCTIVE_CONTRAST_CORE	WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	325	Merke nur WEITER; die konkrete Formulierung kommt aus Register und Nachbarkarten.
EE	PRODUCTIVE_CONTRAST_CORE	LANG	länger oder gehalten	zweiter Grad	264	Merke nur LANG; die konkrete Formulierung kommt aus Register und Nachbarkarten.
OT	PRODUCTIVE_CONTRAST_CORE	NAECHST	danach oder nächster Posten	nächster Bildplatz	239	Merke nur NAECHST; die konkrete Formulierung kommt aus Register und Nachbarkarten.
AL	PRODUCTIVE_CONTRAST_CORE	ZIEL	Ziel- oder Anschlussstelle	Zielplatz	229	Merke nur ZIEL; die konkrete Formulierung kommt aus Register und Nachbarkarten.
CH	PRODUCTIVE_CONTRAST_CORE	AUSWAHL	bezeichneten Anteil entnehmen	Klasse oder Figur kennzeichnen	222	Merke nur AUSWAHL; die konkrete Formulierung kommt aus Register und Nachbarkarten.
D_ADDR	FORMAL_ADDRESS_SIGN	UNTER	bezeichneter Teil	Unterplatz	222	Merke nur UNTER; die konkrete Formulierung kommt aus Register und Nachbarkarten.
SH	PRODUCTIVE_CONTRAST_CORE	HALT	Arbeitsgegenstand halten	Bezug festhalten	219	Merke nur HALT; die konkrete Formulierung kommt aus Register und Nachbarkarten.
AR	PRODUCTIVE_CONTRAST_CORE	QUELLE	Entnahmestelle	Quell- oder Bezugsstelle	201	Merke nur QUELLE; die konkrete Formulierung kommt aus Register und Nachbarkarten.
K	PRODUCTIVE_CONTRAST_CORE	ZUORDNUNG	Material zugeben	Wert zuordnen	194	Merke nur ZUORDNUNG; die konkrete Formulierung kommt aus Register und Nachbarkarten.
AIIN	PRODUCTIVE_CONTRAST_CORE	SOLLWERT	Sollmaß	verzeichneter Sollwert	191	Merke nur SOLLWERT; die konkrete Formulierung kommt aus Register und Nachbarkarten.
S	PRODUCTIVE_CONTRAST_CORE	WAHL	Arbeitsvariante auswählen	Bildklasse auswählen	182	Merke nur WAHL; die konkrete Formulierung kommt aus Register und Nachbarkarten.
CHD	PRODUCTIVE_CONTRAST_CORE	WECHSEL	Arbeitsgut umsetzen	zu Gegen- oder Folgeplatz wechseln	164	Merke nur WECHSEL; die konkrete Formulierung kommt aus Register und Nachbarkarten.
OR	PRODUCTIVE_CONTRAST_CORE	EINTRAG	Ansatz oder Zubereitung	Eintragsklasse	151	Merke nur EINTRAG; die konkrete Formulierung kommt aus Register und Nachbarkarten.
L	PRODUCTIVE_CONTRAST_CORE	VERBINDUNG	entlang des Arbeitswegs führen	Bildverbindung	131	Merke nur VERBINDUNG; die konkrete Formulierung kommt aus Register und Nachbarkarten.
T	PRODUCTIVE_CONTRAST_CORE	EINSTELLUNG	Arbeitsgang einstellen	Platz oder Wert einstellen	127	Merke nur EINSTELLUNG; die konkrete Formulierung kommt aus Register und Nachbarkarten.
AIN	PRODUCTIVE_CONTRAST_CORE	EINHEIT	Portion	Einheit oder Index	105	Merke nur EINHEIT; die konkrete Formulierung kommt aus Register und Nachbarkarten.
R	PRODUCTIVE_CONTRAST_CORE	MARKE	Zustand kennzeichnen	Zustandsmarke	73	Merke nur MARKE; die konkrete Formulierung kommt aus Register und Nachbarkarten.
P	PRODUCTIVE_CONTRAST_CORE	EINSATZ	Material einsetzen	Platz besetzen	60	Merke nur EINSATZ; die konkrete Formulierung kommt aus Register und Nachbarkarten.
CTH	PRODUCTIVE_CONTRAST_CORE	BEREIT	bis bereit führen	Bereitschaftsklasse	59	Merke nur BEREIT; die konkrete Formulierung kommt aus Register und Nachbarkarten.
SHED	LEARNED_WORKSHOP_ROOT	ABSETZEN	absetzen lassen	Absetzklasse	59	Merke nur ABSETZEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.
CKH	PRODUCTIVE_CONTRAST_CORE	DURCHLASS	durch einen Durchlass führen	Verbindung oder Durchlass	55	Merke nur DURCHLASS; die konkrete Formulierung kommt aus Register und Nachbarkarten.
