sign_atom_id	event_id	physical_page	locus	surface	component_position	component	atomic_value_de	register_value_de
P938-A01	P912-E0008	f10r	f10r.1	kom	3	M_LOCAL	MITTE	im Mittelgang ausführen
P938-A02	P912-E0075	f10r	f10r.9	kaiiin	3	LOCAL_CHAR_I	UNTERINDEX	auf der Unterstufe
P938-A03	P912-E0160	f13r	f13r.1	dchg	3	LOCAL_CHAR_G	EINMAL	einmal ausführen
P938-A04	P912-E0233	f55v	f55v.1	dodyd	4	D_LABEL	RAND	am Rand abschließen
P938-A05	P912-E0254	f55v	f55v.4	keeyfar	4	LOCAL_CHAR_F	NEBENPFAD	über einen Nebenpfad
P938-A06	P912-E0426	f56r	f56r.16	kcharg	4	LOCAL_CHAR_G	EINMAL	einmal ausführen
P938-A07	P912-E0868	f81v	f81v.1	ofalsheky	2	LOCAL_CHAR_F	NEBENPFAD	über einen Nebenpfad
P938-A08	P912-E0996	f81v	f81v.15	qofchedy	3	LOCAL_CHAR_F	NEBENPFAD	über einen Nebenpfad
P938-A09	P912-E1367	f82r	f82r.30	rag	3	G_LABEL	PRUEFMARKE	Prüfmarke setzen
P938-A10	P912-E1445	f83r	f83r.5	cheg	3	LOCAL_CHAR_G	EINMAL	einmal ausführen
P938-A11	P912-E1487	f83r	f83r.10	cheeb	3	LOCAL_CHAR_B	PAAR	paarweise entnehmen
P938-A12	P912-E1617	f83r	f83r.24	soiiin	3	LOCAL_CHAR_I	UNTERINDEX	auf der Unterstufe
P938-A13	P912-E1808	f67r2	f67r2.24	ofar	2	LOCAL_CHAR_F	NEBENPFAD	über einen Nebenpfad
P938-A14	P912-E1832	f67r2	f67r2.34	ofar	2	LOCAL_CHAR_F	NEBENPFAD	Nebenreihe oder Seitenzweig
P938-A15	P912-E1835	f67r2	f67r2.35	giin	1	LOCAL_CHAR_G	EINMAL	einmal ausführen
P938-A16	P912-E1848	f67r2	f67r2.40	og	2	G_LABEL	PRUEFMARKE	Prüfmarke setzen
P938-A17	P912-E1857	f67r2	f67r2.43	qsg	3	G_LABEL	PRUEFMARKE	Prüfmarke setzen
P938-A18	P912-E1858	f67r2	f67r2.44	ofydy	2	LOCAL_CHAR_F	NEBENPFAD	über einen Nebenpfad
P938-A19	P912-E1863	f67r2	f67r2.45	odaiiin	3	LOCAL_CHAR_I	UNTERINDEX	auf der Unterstufe
P938-A20	P912-E1866	f67r2	f67r2.47	yfain	2	LOCAL_CHAR_F	NEBENPFAD	Nebenreihe oder Seitenzweig
P938-A21	P912-E1887	f67r2	f67r2.58	g	1	G_LABEL	PRUEFMARKE	Prüfmarke am Eintrag
P938-A22	P912-E1908	f67r2	f67r2.72	qofair	3	LOCAL_CHAR_F	NEBENPFAD	über einen Nebenpfad
P938-A23	P912-E1966	f68r1	f68r1.4	okaiiin	3	LOCAL_CHAR_I	UNTERINDEX	auf der Unterstufe
P938-A24	P912-E1984	f68r1	f68r1.22	ofcheor	2	LOCAL_CHAR_F	NEBENPFAD	Nebenreihe oder Seitenzweig
P938-A25	P912-E2003	f68r1	f68r1.37	oygy	3	G_LABEL	PRUEFMARKE	Prüfmarke am Eintrag
P938-A26	P912-E2006	f69v	f69v.1	otaza	3	LOCAL_CHAR_Z	ZWISCHEN	Zwischenadresse
P938-A27	P912-E2010	f69v	f69v.1	okoirsh	3	LOCAL_CHAR_I	UNTERINDEX	Unterindex
P938-A28	P912-E2098	f69v	f69v.3	ytyd	4	D_LABEL	RAND	Randmarke
P938-A29	P912-E2167	f70v	f70v1.1	zar	1	Z_ADDR	AUSSEN	Außenplatz
P938-A30	P912-E2188	f70v	f70v1.4	otakaizan	5	Z_ADDR	AUSSEN	Außenplatz
P938-A31	P912-E2191	f70v	f70v1.7	oalcheg	5	G_LABEL	PRUEFMARKE	Prüfmarke am Eintrag
P938-A32	P912-E2272	f70v	f70v2.2	otalalg	4	G_LABEL	PRUEFMARKE	Prüfmarke am Eintrag
P938-A33	P912-E2282	f70v	f70v2.10	otald	3	D_LABEL	RAND	Randmarke
P938-A34	P912-E2293	f70v	f70v2.20	okees	3	S_LABEL	RAHMEN	Rahmengrenze
P938-A35	P912-E2336	f70v	f70v2.29	salols	1	S_LABEL	RAHMEN	Rahmengrenze
P938-A36	P912-E2336	f70v	f70v2.29	salols	4	S_LABEL	RAHMEN	Rahmengrenze
P938-A37	P912-E2360	f70v	f70v2.32	daim	3	M_LOCAL	MITTE	Mittelplatz
P938-A38	P912-E2373	f88r	f88r.7	sholfchor	3	LOCAL_CHAR_F	NEBENPFAD	über einen Nebenpfad
P938-A39	P912-E2407	f88r	f88r.10	cheojam	2	LOCAL_CHAR_J	VERBUND	im verbundenen Gang
P938-A40	P912-E2411	f88r	f88r.11	cheeb	3	LOCAL_CHAR_B	PAAR	paarweise entnehmen
P938-A41	P912-E2453	f88r	f88r.21	sheoldg	5	LOCAL_CHAR_G	EINMAL	einmal ausführen
P938-A42	P912-E2460	f88r	f88r.23	ofyskydal	2	LOCAL_CHAR_F	NEBENPFAD	Nebenreihe oder Seitenzweig
P938-A43	P912-E2463	f88r	f88r.25	ofaldo	2	LOCAL_CHAR_F	NEBENPFAD	Nebenreihe oder Seitenzweig
P938-A44	P912-E2505	f88r	f88r.30	ofal	2	LOCAL_CHAR_F	NEBENPFAD	über einen Nebenpfad
