component	atomic_value_de	workshop_value_de	image_value_de	creative_context_reason
LOCAL_CHAR_F	NEBENPFAD	über einen Nebenpfad	Nebenreihe oder Seitenzweig	O+F+AR/AL and Y+F+AIN place F between active item/run and source, target or unit
G_LABEL	PRUEFMARKE	Prüfmarke setzen	Prüfmarke am Eintrag	standalone or final g marks a checked entry
LOCAL_CHAR_G	EINMAL	einmal ausführen	Einzelmarke	final g follows an operation; initial g precedes one stage
LOCAL_CHAR_I	UNTERINDEX	auf der Unterstufe	Unterindex	i repeatedly sits immediately before IIN or a marked substate
D_LABEL	RAND	am Rand abschließen	Randmarke	terminal d follows a close or target place
S_LABEL	RAHMEN	im markierten Rahmen	Rahmengrenze	s brackets the f70v2 AL-OL address
LOCAL_CHAR_B	PAAR	paarweise entnehmen	Paarmarke	same CH+EE+B card recurs in Biological and Pharma
M_LOCAL	MITTE	im Mittelgang ausführen	Mittelplatz	m follows a work run once and an indexed second stage once
Z_ADDR	AUSSEN	am Außenplatz	Außenplatz	z is a dedicated Aries address before source or added unit
LOCAL_CHAR_J	VERBUND	im verbundenen Gang	Verbundstelle	single f88 form joins local and inner address around an extract
LOCAL_CHAR_Z	ZWISCHEN	zwischen zwei Stellen	Zwischenadresse	z occurs exactly between two local addresses
