paragraph	locus	index	raw	role	D	H	status	N_H	N_D	row_status
f17v|f17v.1-f17v.23	f17v.1	1	pchodol	OPEN	[ungelesen: pchodol]	[ungelesen: pchodol]	UNREAD	[ungelesen: pchodol]	[ungelesen: pchodol]	recorded
f17v|f17v.1-f17v.23	f17v.1	2	chor	MATERIAL	Blüten	Blüten	ASSUMED	Blüten	Blüten	recorded
f17v|f17v.1-f17v.23	f17v.1	3	pchy	OPEN	[ungelesen: pchy]	[ungelesen: pchy]	UNREAD	[ungelesen: pchy]	[ungelesen: pchy]	recorded
f17v|f17v.1-f17v.23	f17v.1	4	opydaiin	OPEN	[ungelesen: opydaiin]	[ungelesen: opydaiin]	UNREAD	[ungelesen: opydaiin]	[ungelesen: opydaiin]	recorded
f17v|f17v.1-f17v.23	f17v.1	5	odal	AMOUNT	abgemessener Anteil	abgemessener Anteil	ASSUMED	abgemessener Anteil	abgemessener Anteil	recorded
f17v|f17v.1-f17v.23	f17v.1	6	dy	STATE	fertig	fertig	ASSUMED	fertig	fertig	recorded
f17v|f17v.1-f17v.23	f17v.2	1	ycheey	OPEN	[ungelesen: ycheey]	[ungelesen: ycheey]	UNREAD	[ungelesen: ycheey]	[ungelesen: ycheey]	recorded
f17v|f17v.1-f17v.23	f17v.2	2	keeor	MATERIAL	Feinauszug	Feinauszug	ASSUMED	Feinauszug	Feinauszug	recorded
f17v|f17v.1-f17v.23	f17v.2	3	cthodal	OPEN	[ungelesen: cthodal]	[ungelesen: cthodal]	UNREAD	[ungelesen: cthodal]	[ungelesen: cthodal]	recorded
f17v|f17v.1-f17v.23	f17v.2	4	okol	MATERIAL	Grundansatz	Grundansatz	ASSUMED	Grundansatz	Grundansatz	recorded
f17v|f17v.1-f17v.23	f17v.2	5	odaiin	AMOUNT	zusätzliche Dosis Q	zusätzliche Dosis Q	ASSUMED	zusätzliche Dosis Q	zusätzliche Dosis Q	recorded
f17v|f17v.1-f17v.23	f17v.2	6	okal	MATERIAL	Ausgangsmaterial	Ausgangsmaterial	ASSUMED	Ausgangsmaterial	Ausgangsmaterial	recorded
f17v|f17v.1-f17v.23	f17v.3	1	oldaig	OPEN	[ungelesen: oldaig]	[ungelesen: oldaig]	UNREAD	[ungelesen: oldaig]	[ungelesen: oldaig]	recorded
f17v|f17v.1-f17v.23	f17v.3	2	odaiin	AMOUNT	zusätzliche Dosis Q	zusätzliche Dosis Q	ASSUMED	zusätzliche Dosis Q	zusätzliche Dosis Q	recorded
f17v|f17v.1-f17v.23	f17v.3	3	okal	MATERIAL	Ausgangsmaterial	Ausgangsmaterial	ASSUMED	Ausgangsmaterial	Ausgangsmaterial	recorded
f17v|f17v.1-f17v.23	f17v.3	4	oldaiin	OPEN	[ungelesen: oldaiin]	[ungelesen: oldaiin]	UNREAD	[ungelesen: oldaiin]	[ungelesen: oldaiin]	recorded
f17v|f17v.1-f17v.23	f17v.3	5	chockhol	OPEN	[ungelesen: chockhol]	[ungelesen: chockhol]	UNREAD	[ungelesen: chockhol]	[ungelesen: chockhol]	recorded
f17v|f17v.1-f17v.23	f17v.3	6	olol	OPEN	[ungelesen: olol]	[ungelesen: olol]	UNREAD	[ungelesen: olol]	[ungelesen: olol]	recorded
f17v|f17v.1-f17v.23	f17v.4	1	kchor	MATERIAL	trockene Blüten [nominale Qualität: Stoffkonstitution]	trockene Blüten [nominale Qualität: Stoffkonstitution]	ASSUMED	trockene Blüten [nominale Qualität: Stoffkonstitution]	trockene Blüten [nominale Qualität: Stoffkonstitution]	recorded
f17v|f17v.1-f17v.23	f17v.4	2	fchol	OPEN	[ungelesen: fchol]	[ungelesen: fchol]	UNREAD	[ungelesen: fchol]	[ungelesen: fchol]	recorded
f17v|f17v.1-f17v.23	f17v.4	3	cphol	OPEN	[ungelesen: cphol]	[ungelesen: cphol]	UNREAD	[ungelesen: cphol]	[ungelesen: cphol]	recorded
f17v|f17v.1-f17v.23	f17v.4	4	olcheol	OPEN	[ungelesen: olcheol]	[ungelesen: olcheol]	UNREAD	[ungelesen: olcheol]	[ungelesen: olcheol]	recorded
f17v|f17v.1-f17v.23	f17v.4	5	ok[eee:eeee]y	OPEN	[ungelesen: ok[eee:eeee]y]	[ungelesen: ok[eee:eeee]y]	UNREAD	[ungelesen: ok[eee:eeee]y]	[ungelesen: ok[eee:eeee]y]	recorded
f17v|f17v.1-f17v.23	f17v.5	1	ychol	ACTION	trockne	trockne	ASSUMED	trockne	trockne	recorded
f17v|f17v.1-f17v.23	f17v.5	2	chol	ACTION	trockne	erhitze	ASSUMED	erhitze	trockne	recorded
f17v|f17v.1-f17v.23	f17v.5	3	dolcheey	OPEN	[ungelesen: dolcheey]	[ungelesen: dolcheey]	UNREAD	[ungelesen: dolcheey]	[ungelesen: dolcheey]	recorded
f17v|f17v.1-f17v.23	f17v.5	4	tchol	MATERIAL	getrockneter Anteil	getrockneter Anteil	ASSUMED	getrockneter Anteil	getrockneter Anteil	recorded
f17v|f17v.1-f17v.23	f17v.5	5	dar	AMOUNT	Teilmenge	Teilmenge	ASSUMED	Teilmenge	Teilmenge	recorded
f17v|f17v.1-f17v.23	f17v.5	6	ckhy	ACTION	stampfe	stampfe	ASSUMED	stampfe	stampfe	recorded
f17v|f17v.1-f17v.23	f17v.6	1	oekor	OPEN	[ungelesen: oekor]	[ungelesen: oekor]	UNREAD	[ungelesen: oekor]	[ungelesen: oekor]	recorded
f17v|f17v.1-f17v.23	f17v.6	2	or	AMOUNT	Anteil	Anteil	ASSUMED	Anteil	Anteil	recorded
f17v|f17v.1-f17v.23	f17v.6	3	okaiin	MATERIAL_DOSE	Dosis des Grundansatzes	Dosis des Grundansatzes	ASSUMED	Dosis des Grundansatzes	Dosis des Grundansatzes	recorded
f17v|f17v.1-f17v.23	f17v.6	4	or	AMOUNT	Anteil	Anteil	ASSUMED	Anteil	Anteil	recorded
f17v|f17v.1-f17v.23	f17v.6	5	otaiin	MATERIAL_DOSE	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	ASSUMED	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	Dosis des kühlen Ansatzes [nominale Qualität: Stoffkonstitution]	recorded
f17v|f17v.1-f17v.23	f17v.6	6	d	OPEN	[ungelesen: d]	[ungelesen: d]	UNREAD	[ungelesen: d]	[ungelesen: d]	recorded
f17v|f17v.1-f17v.23	f17v.7	1	sor	LINK	weiterer Bestandteil	weiterer Bestandteil	ASSUMED	weiterer Bestandteil	weiterer Bestandteil	recorded
f17v|f17v.1-f17v.23	f17v.7	2	chkeey	ACTION	zerreibe vollständig	zerreibe vollständig	ASSUMED	zerreibe vollständig	zerreibe vollständig	recorded
f17v|f17v.1-f17v.23	f17v.7	3	poiis	OPEN	[ungelesen: poiis]	[ungelesen: poiis]	UNREAD	[ungelesen: poiis]	[ungelesen: poiis]	recorded
f17v|f17v.1-f17v.23	f17v.7	4	cheor	MATERIAL	Auszug	Auszug	ASSUMED	Auszug	Auszug	recorded
f17v|f17v.1-f17v.23	f17v.7	5	os	DISTRIBUTIVE	zusammen	zusammen	ASSUMED	zusammen	zusammen	recorded
f17v|f17v.1-f17v.23	f17v.7	6	s	DISTRIBUTIVE	jeweils	jeweils	ASSUMED	jeweils	jeweils	recorded
f17v|f17v.1-f17v.23	f17v.7	7	aiin	NUMBER	Maßzahl Q	Maßzahl Q	ASSUMED	Maßzahl Q	Maßzahl Q	recorded
f17v|f17v.1-f17v.23	f17v.8	1	qokeey	ACTION	erhitze anhaltend	erhitze anhaltend	ASSUMED	erhitze anhaltend	erhitze anhaltend	recorded
f17v|f17v.1-f17v.23	f17v.8	2	kchar	OPEN	[ungelesen: kchar]	[ungelesen: kchar]	UNREAD	[ungelesen: kchar]	[ungelesen: kchar]	recorded
f17v|f17v.1-f17v.23	f17v.8	3	ol	RELATION	mit	mit	ASSUMED	mit	mit	recorded
f17v|f17v.1-f17v.23	f17v.8	4	dy	STATE	fertig	fertig	ASSUMED	fertig	fertig	recorded
f17v|f17v.1-f17v.23	f17v.8	5	choldaiin	OPEN	[ungelesen: choldaiin]	[ungelesen: choldaiin]	UNREAD	[ungelesen: choldaiin]	[ungelesen: choldaiin]	recorded
f17v|f17v.1-f17v.23	f17v.8	6	sy	STATE	abgesetzt	abgesetzt	ASSUMED	abgesetzt	abgesetzt	recorded
f17v|f17v.1-f17v.23	f17v.9	1	ycheol	LINK	danach	danach	ASSUMED	danach	danach	recorded
f17v|f17v.1-f17v.23	f17v.9	2	shol	ACTION	befeuchte	befeuchte	ASSUMED	befeuchte	befeuchte	recorded
f17v|f17v.1-f17v.23	f17v.9	3	kchol	MATERIAL	Trockenmaterial [nominale Qualität: Stoffkonstitution]	Trockenmaterial [nominale Qualität: Stoffkonstitution]	ASSUMED	Trockenmaterial [nominale Qualität: Stoffkonstitution]	Trockenmaterial [nominale Qualität: Stoffkonstitution]	recorded
f17v|f17v.1-f17v.23	f17v.9	4	choltaiin	OPEN	[ungelesen: choltaiin]	[ungelesen: choltaiin]	UNREAD	[ungelesen: choltaiin]	[ungelesen: choltaiin]	recorded
f17v|f17v.1-f17v.23	f17v.9	5	ol	RELATION	mit	mit	ASSUMED	mit	mit	recorded
f17v|f17v.1-f17v.23	f17v.10	1	oytor	OPEN	[ungelesen: oytor]	[ungelesen: oytor]	UNREAD	[ungelesen: oytor]	[ungelesen: oytor]	recorded
f17v|f17v.1-f17v.23	f17v.10	2	okeor	MATERIAL	warmer Auszug [nominale Qualität: Stoffkonstitution]	warmer Auszug [nominale Qualität: Stoffkonstitution]	ASSUMED	warmer Auszug [nominale Qualität: Stoffkonstitution]	warmer Auszug [nominale Qualität: Stoffkonstitution]	recorded
f17v|f17v.1-f17v.23	f17v.10	3	okar	OPEN	[ungelesen: okar]	[ungelesen: okar]	UNREAD	[ungelesen: okar]	[ungelesen: okar]	recorded
f17v|f17v.1-f17v.23	f17v.10	4	okol	MATERIAL	Grundansatz	Grundansatz	ASSUMED	Grundansatz	Grundansatz	recorded
f17v|f17v.1-f17v.23	f17v.10	5	daiir	OPEN	[ungelesen: daiir]	[ungelesen: daiir]	UNREAD	[ungelesen: daiir]	[ungelesen: daiir]	recorded
f17v|f17v.1-f17v.23	f17v.10	6	a[r:m]	OPEN	[ungelesen: a[r:m]]	[ungelesen: a[r:m]]	UNREAD	[ungelesen: a[r:m]]	[ungelesen: a[r:m]]	recorded
f17v|f17v.1-f17v.23	f17v.11	1	qokcheo	OPEN	[ungelesen: qokcheo]	[ungelesen: qokcheo]	UNREAD	[ungelesen: qokcheo]	[ungelesen: qokcheo]	recorded
f17v|f17v.1-f17v.23	f17v.11	2	qokoiir	OPEN	[ungelesen: qokoiir]	[ungelesen: qokoiir]	UNREAD	[ungelesen: qokoiir]	[ungelesen: qokoiir]	recorded
f17v|f17v.1-f17v.23	f17v.11	3	ctheol	OPEN	[ungelesen: ctheol]	[ungelesen: ctheol]	UNREAD	[ungelesen: ctheol]	[ungelesen: ctheol]	recorded
f17v|f17v.1-f17v.23	f17v.11	4	chol	ACTION	trockne	erhitze	ASSUMED	erhitze	trockne	recorded
f17v|f17v.1-f17v.23	f17v.12	1	oy	OPEN	[ungelesen: oy]	[ungelesen: oy]	UNREAD	[ungelesen: oy]	[ungelesen: oy]	recorded
f17v|f17v.1-f17v.23	f17v.12	2	choy	STATE	grob	grob	ASSUMED	grob	grob	recorded
f17v|f17v.1-f17v.23	f17v.12	3	keaiin	OPEN	[ungelesen: keaiin]	[ungelesen: keaiin]	UNREAD	[ungelesen: keaiin]	[ungelesen: keaiin]	recorded
f17v|f17v.1-f17v.23	f17v.12	4	chckhey	OPEN	[ungelesen: chckhey]	[ungelesen: chckhey]	UNREAD	[ungelesen: chckhey]	[ungelesen: chckhey]	recorded
f17v|f17v.1-f17v.23	f17v.12	5	ol	RELATION	mit	mit	ASSUMED	mit	mit	recorded
f17v|f17v.1-f17v.23	f17v.12	6	chor	MATERIAL	Blüten	Blüten	ASSUMED	Blüten	Blüten	recorded
f17v|f17v.1-f17v.23	f17v.13	1	ykeor	OPEN	[ungelesen: ykeor]	[ungelesen: ykeor]	UNREAD	[ungelesen: ykeor]	[ungelesen: ykeor]	recorded
f17v|f17v.1-f17v.23	f17v.13	2	chol	ACTION	trockne	erhitze	ASSUMED	erhitze	trockne	recorded
f17v|f17v.1-f17v.23	f17v.13	3	chol	ACTION	trockne	erhitze	ASSUMED	erhitze	trockne	recorded
f17v|f17v.1-f17v.23	f17v.13	4	cthol	MATERIAL	Krautpulver	Krautpulver	ASSUMED	Krautpulver	Krautpulver	recorded
f17v|f17v.1-f17v.23	f17v.13	5	chkor	OPEN	[ungelesen: chkor]	[ungelesen: chkor]	UNREAD	[ungelesen: chkor]	[ungelesen: chkor]	recorded
f17v|f17v.1-f17v.23	f17v.13	6	sheol	MATERIAL	feuchtes Gemenge [nominale Qualität: Stoffkonstitution]	feuchtes Gemenge [nominale Qualität: Stoffkonstitution]	ASSUMED	feuchtes Gemenge [nominale Qualität: Stoffkonstitution]	feuchtes Gemenge [nominale Qualität: Stoffkonstitution]	recorded
f17v|f17v.1-f17v.23	f17v.14	1	olo	OPEN	[ungelesen: olo]	[ungelesen: olo]	UNREAD	[ungelesen: olo]	[ungelesen: olo]	recorded
f17v|f17v.1-f17v.23	f17v.14	2	r	LINK	darauf	darauf	ASSUMED	darauf	darauf	recorded
