shol	paragraph	chey	contract	target	target_form	target_kind	stop	interval	open_interval	parity	row_status
Q	f17v|f17v.1-f17v.23	f17v.19:2	P16_LITERAL				PARAGRAPH_END	f17v.19:3=qoaiin;f17v.19:4=cthor;f17v.19:5=cholchom;f17v.20:1=ykeey;f17v.20:2=okeey;f17v.20:3=cheor;f17v.20:4=chol;f17v.20:5=sho;f17v.20:6=odaiin;f17v.21:1=oal;f17v.21:2=sheor;f17v.21:3=sholor;f17v.21:4=or;f17v.21:5=shecthy;f17v.21:6=cpheor;f17v.21:7=daiin;f17v.22:1=qokeee;f17v.22:2=dar;f17v.22:3=chey;f17v.22:4=keeor;f17v.22:5=cheeol;f17v.22:6=ctheey;f17v.22:7=cthy;f17v.23:1=chkeey;f17v.23:2=okeor;f17v.23:3=sh[a:o]r;f17v.23:4=okeom	f17v.19:3=qoaiin;f17v.19:5=cholchom;f17v.21:1=oal;f17v.21:2=sheor;f17v.21:3=sholor;f17v.21:5=shecthy;f17v.21:6=cpheor;f17v.22:1=qokeee;f17v.22:5=cheeol;f17v.23:3=sh[a:o]r;f17v.23:4=okeom		recorded
Q	f17v|f17v.1-f17v.23	f17v.19:2	TRANSFER	f17v.20:1	ykeey	ACTION	TARGET	f17v.19:3=qoaiin;f17v.19:4=cthor;f17v.19:5=cholchom	f17v.19:3=qoaiin;f17v.19:5=cholchom	1	recorded
Q	f17v|f17v.1-f17v.23	f17v.22:3	P16_LITERAL				PARAGRAPH_END	f17v.22:4=keeor;f17v.22:5=cheeol;f17v.22:6=ctheey;f17v.22:7=cthy;f17v.23:1=chkeey;f17v.23:2=okeor;f17v.23:3=sh[a:o]r;f17v.23:4=okeom	f17v.22:5=cheeol;f17v.23:3=sh[a:o]r;f17v.23:4=okeom		recorded
Q	f17v|f17v.1-f17v.23	f17v.22:3	TRANSFER	f17v.23:1	chkeey	ACTION	TARGET	f17v.22:4=keeor;f17v.22:5=cheeol;f17v.22:6=ctheey;f17v.22:7=cthy	f17v.22:5=cheeol	1	recorded
Q	f24r|f24r.1-f24r.20	f24r.5:4	P16_LITERAL				PARAGRAPH_END	f24r.5:5=cthy;f24r.5:6=cthe;f24r.5:7=keom;f24r.6:1=oeeeos;f24r.6:2=cthor;f24r.6:3=otal;f24r.6:4=qocthol;f24r.6:5=qoky;f24r.7:1=q@145;kar;f24r.7:2=chtar;f24r.7:3=s;f24r.7:4=cheor;f24r.7:5=cthol;f24r.7:6=qodol;f24r.8:1=ychor;f24r.8:2=s;f24r.8:3=om;f24r.8:4=qoear;f24r.8:5=daiin;f24r.8:6=qokeol;f24r.9:1=odaiin;f24r.9:2=ckham;f24r.9:3=qodai{ikh}y;f24r.9:4=dol;f24r.9:5=dal;f24r.10:1=q[?:e]or;f24r.10:2=cfhar;f24r.10:3=chor;f24r.10:4=s;f24r.10:5=am;f24r.10:6=chotaiin;f24r.10:7=dy;f24r.11:1=sar;f24r.11:2=cheoiees;f24r.11:3=okeem;f24r.11:4=cheor;f24r.11:5=qokain;f24r.12:1=qokchy;f24r.12:2=qotchy;f24r.12:3=tol;f24r.12:4=tod;f24r.12:5=ckhy;f24r.13:1=oees;f24r.13:2=ol;f24r.13:3=s;f24r.13:4=chey;f24r.13:5=chcth;f24r.13:6=s;f24r.13:7=ar;f24r.14:1=qor;f24r.14:2=cheey;f24r.14:3=qod;f24r.14:4=char;f24r.14:5=cthal;f24r.15:1=ockhoees;f24r.15:2=oeees;f24r.15:3=ol;f24r.15:4=dal;f24r.15:5=s;f24r.16:1=sham;f24r.16:2=okeal;f24r.16:3=dal;f24r.16:4=dam;f24r.16:5=dal;f24r.17:1=sshey;f24r.17:2=otam;f24r.17:3=sham;f24r.17:4=cthoj;f24r.17:5=oky;f24r.18:1=ycheol;f24r.18:2=chol;f24r.18:3=daiin;f24r.18:4=chol;f24r.18:5=s;f24r.19:1=yol;f24r.19:2=kol;f24r.19:3=chol;f24r.19:4=shom;f24r.19:5=otacphy;f24r.20:1=sam;f24r.20:2=chorly	f24r.5:6=cthe;f24r.5:7=keom;f24r.6:1=oeeeos;f24r.6:4=qocthol;f24r.7:1=q@145;kar;f24r.7:2=chtar;f24r.7:6=qodol;f24r.8:3=om;f24r.8:4=qoear;f24r.9:2=ckham;f24r.9:3=qodai{ikh}y;f24r.10:1=q[?:e]or;f24r.10:2=cfhar;f24r.10:5=am;f24r.10:6=chotaiin;f24r.11:2=cheoiees;f24r.11:3=okeem;f24r.13:5=chcth;f24r.14:1=qor;f24r.14:3=qod;f24r.15:1=ockhoees;f24r.15:2=oeees;f24r.16:2=okeal;f24r.17:1=sshey;f24r.17:4=cthoj;f24r.19:1=yol;f24r.19:2=kol;f24r.19:4=shom;f24r.19:5=otacphy;f24r.20:1=sam;f24r.20:2=chorly		recorded
Q	f24r|f24r.1-f24r.20	f24r.5:4	TRANSFER	f24r.6:5	qoky	ACTION	TARGET	f24r.5:5=cthy;f24r.5:6=cthe;f24r.5:7=keom;f24r.6:1=oeeeos;f24r.6:2=cthor;f24r.6:3=otal;f24r.6:4=qocthol	f24r.5:6=cthe;f24r.5:7=keom;f24r.6:1=oeeeos;f24r.6:4=qocthol	1	recorded
Q	f24r|f24r.1-f24r.20	f24r.13:4	P16_LITERAL				PARAGRAPH_END	f24r.13:5=chcth;f24r.13:6=s;f24r.13:7=ar;f24r.14:1=qor;f24r.14:2=cheey;f24r.14:3=qod;f24r.14:4=char;f24r.14:5=cthal;f24r.15:1=ockhoees;f24r.15:2=oeees;f24r.15:3=ol;f24r.15:4=dal;f24r.15:5=s;f24r.16:1=sham;f24r.16:2=okeal;f24r.16:3=dal;f24r.16:4=dam;f24r.16:5=dal;f24r.17:1=sshey;f24r.17:2=otam;f24r.17:3=sham;f24r.17:4=cthoj;f24r.17:5=oky;f24r.18:1=ycheol;f24r.18:2=chol;f24r.18:3=daiin;f24r.18:4=chol;f24r.18:5=s;f24r.19:1=yol;f24r.19:2=kol;f24r.19:3=chol;f24r.19:4=shom;f24r.19:5=otacphy;f24r.20:1=sam;f24r.20:2=chorly	f24r.13:5=chcth;f24r.14:1=qor;f24r.14:3=qod;f24r.15:1=ockhoees;f24r.15:2=oeees;f24r.16:2=okeal;f24r.17:1=sshey;f24r.17:4=cthoj;f24r.19:1=yol;f24r.19:2=kol;f24r.19:4=shom;f24r.19:5=otacphy;f24r.20:1=sam;f24r.20:2=chorly		recorded
Q	f24r|f24r.1-f24r.20	f24r.13:4	TRANSFER	f24r.14:2	cheey	ACTION	TARGET	f24r.13:5=chcth;f24r.13:6=s;f24r.13:7=ar;f24r.14:1=qor	f24r.13:5=chcth;f24r.14:1=qor	1	recorded
Q	f86v5|f86v5.18-f86v5.25	f86v5.19:3	P16_LITERAL				PARAGRAPH_END	f86v5.19:4=shckhy;f86v5.19:5=shoky;f86v5.19:6=oty;f86v5.19:7=oty;f86v5.19:8=otain;f86v5.19:9=olkchdy;f86v5.20:1=ychor;f86v5.20:2=ar;f86v5.20:3=aiin;f86v5.20:4=ytaly;f86v5.20:5=otaiin;f86v5.20:6=ykaiin;f86v5.20:7=otal;f86v5.20:8=ytar;f86v5.20:9=aiin;f86v5.20:10=ytaiiil;f86v5.21:1=oar;f86v5.21:2=ar;f86v5.21:3=aiin;f86v5.21:4=okaiin;f86v5.21:5=yteey;f86v5.21:6=ytaiin;f86v5.21:7=qokees;f86v5.21:8=aiin;f86v5.21:9=yteey;f86v5.21:10=qotey;f86v5.21:11=lkey;f86v5.22:1=ykaiin;f86v5.22:2=ykeey;f86v5.22:3=ykal;f86v5.22:4=chod;f86v5.22:5=aiin;f86v5.22:6=oeey;f86v5.22:7=teodkaiin;f86v5.22:8=otodaiin;f86v5.22:9=okain;f86v5.23:1=ykaiin;f86v5.23:2=or;f86v5.23:3=aiin;f86v5.23:4=okol;f86v5.23:5=chokar;f86v5.23:6=sheol;f86v5.23:7=qokar;f86v5.23:8=cheey;f86v5.23:9=or;f86v5.23:10=aiin;f86v5.23:11=ody;f86v5.24:1=oar;f86v5.24:2=aiin;f86v5.24:3=ykain;f86v5.24:4=okal;f86v5.24:5=kchody;f86v5.24:6=chckhy;f86v5.24:7=otaiin;f86v5.24:8=olkar;f86v5.24:9=otaiin;f86v5.25:1=sair;f86v5.25:2=kain;f86v5.25:3=ar;f86v5.25:4=alosheey;f86v5.25:5=qoeey;f86v5.25:6=lkesy	f86v5.19:4=shckhy;f86v5.19:5=shoky;f86v5.19:8=otain;f86v5.19:9=olkchdy;f86v5.20:4=ytaly;f86v5.20:10=ytaiiil;f86v5.21:7=qokees;f86v5.21:10=qotey;f86v5.21:11=lkey;f86v5.22:3=ykal;f86v5.22:4=chod;f86v5.22:6=oeey;f86v5.22:7=teodkaiin;f86v5.22:8=otodaiin;f86v5.22:9=okain;f86v5.23:5=chokar;f86v5.24:3=ykain;f86v5.24:5=kchody;f86v5.24:6=chckhy;f86v5.24:8=olkar;f86v5.25:1=sair;f86v5.25:2=kain;f86v5.25:4=alosheey;f86v5.25:5=qoeey;f86v5.25:6=lkesy		recorded
Q	f86v5|f86v5.18-f86v5.25	f86v5.19:3	TRANSFER	f86v5.19:6	oty	QUALITY	TARGET	f86v5.19:4=shckhy;f86v5.19:5=shoky	f86v5.19:4=shckhy;f86v5.19:5=shoky	1	recorded
