bracket_id	safe_renderer_de	aggressive_renderer_de	aggressive_confidence	preferred_model	countermodel
G803-B01	Heiß-/Endfeld | Trockenstoff-/Trockenheitsfeld | Trockenstatus	Heiß-/Endzustand; Trockenstoff in mittlerem Trockenstatus	C0	DESCRIPTIVE_OR_RECORD	OPAQUE_THREE_FIELD_ADDRESS
G803-B02	Heiß-/Endfeld | Chargen-/Form-II-Eintrag | Trockenstatus	Heiß-/Endzustand; Charge oder Form II im mittleren Trockenstatus	C0	OPAQUE_RECORD	PRESCRIPTIVE_PREPARATION
G803-B03	Heiß-/Zustandsfeld | Ausgangsansatz/Zutat | Trockenstatus	heiß behandelter kalter Ausgangsansatz; mittlerer Trockenstatus	C1	PRESCRIPTIVE_PREPARATION	DESCRIPTIVE_TWO_AXIS_RECORD
G803-B04	Heiß-/Endfeld | Trockenstoff-/Mengenfeld | Trockenstatus	Heiß-/Endzustand; abgewogener Trockenstoff im mittleren Trockenstatus	C0	PRESCRIPTIVE_PREPARATION	OPAQUE_THREE_FIELD_ADDRESS
G803-B05	Qualitätsfeld II | Stoff-/Qualitätsachse | Wert III	heiß im II. Grad; trocken im III. Grad	C0_AGGRESSIVE	DESCRIPTIVE_TWO_AXIS_RECORD	OPAQUE_THREE_FIELD_ADDRESS
G803-B06	Heiß-/Endfeld | Heißbehandlungs-/Heißstofffeld | Feuchtstatus	Heiß-/Endzustand; behandelte Zubereitung im mittleren Feuchtstatus	C0	PRESCRIPTIVE_PREPARATION	OPAQUE_THREE_FIELD_ADDRESS
G803-B07	Qualitätsfeld II | allgemeiner Zubereitungsträger | Trockenstatus	heiß, Grad II; Ansatz oder Zubereitung im mittleren Trockenstatus	C1	PRESCRIPTIVE_PREPARATION	DESCRIPTIVE_TWO_AXIS_RECORD
G803-B08	Heiß-/Endfeld | Kalt-/Materialfeld | Trockenstatus	Heiß-/Endzustand; kalte Ausgangsform im mittleren Trockenstatus	C0	DESCRIPTIVE_TWO_AXIS_RECORD	OPAQUE_THREE_FIELD_ADDRESS
G803-B09	Heiß-/Zustandsfeld | Kennstellen-/Systemeintrag | Trockenstatus	Heiß-/Zustandsfeld; Systemeintrag im mittleren Trockenstatus	C0	OPAQUE_RECORD	PRESCRIPTIVE_PREPARATION
G803-B10	Heiß-/Zustandsfeld | Ausgangsansatz/Zutat | Feuchtstatus	heiß behandelter kalter Ausgangsansatz; mittlerer Feuchtstatus	C1	PRESCRIPTIVE_PREPARATION	DESCRIPTIVE_TWO_AXIS_RECORD
G803-B11	Heiß-/Zustandsfeld | Erhitzungs-/Zubereitungsfeld | Trockenstatus	Heiß-/Zustandsfeld; erhitzte Zubereitung im mittleren Trockenstatus	C0	PRESCRIPTIVE_PREPARATION	OPAQUE_THREE_FIELD_ADDRESS
G803-B12	Heiß-/Zustandsfeld | Ansatz-/Form-II-Eintrag | Feuchtstatus	Heiß-/Zustandsfeld; Form-II-Eintrag im mittleren Feuchtstatus	C0	OPAQUE_RECORD	PRESCRIPTIVE_PREPARATION
