statement_id	record	page	old_form_class	old_phase_chain	new_program_id	new_primitive_signature	new_support	new_status	relation
H1-S001	H1	f10r	LOCAL_FORM	COLLECT>CHECK>MOVE>CHECK>COLLECT>APPLY>MEASURE>HOLD	PG062	SOURCE_DRAW>ACTIVATE_CHARGE>SOURCE_DRAW>ACTIVATE_CHARGE>TARGET_HANDOFF>SOURCE_DRAW>SOURCE_DRAW>CONTINUE_USE>METER_CHECK>ACTIVATE_CHARGE	1	UNIQUE	LOCAL_BOTH
H1-S002	H1	f10r	LOCAL_FORM	SELECT>COLLECT>PREPARE>CHECK	PG024	ACTIVATE_CHARGE>SOURCE_DRAW>CONTINUE_USE>HOLD_STATE	1	UNIQUE	LOCAL_BOTH
H2-S001	H2	f10r	LOCAL_FORM	COLLECT>CHECK>PREPARE>MEASURE>CHECK>MOVE>MEASURE>MOVE	PG063	SOURCE_DRAW>HOLD_STATE>ACTIVATE_CHARGE>METER_CHECK>CONTINUE_USE>MOVE_PASS>CONTINUE_USE>METER_CHECK>TARGET_HANDOFF	1	UNIQUE	LOCAL_BOTH
H2-S002	H2	f10r	LOCAL_FORM	COLLECT>PREPARE>SELECT>PREPARE>MEASURE>MOVE	PG014	ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>SOURCE_DRAW	1	UNIQUE	LOCAL_BOTH
H2-S003	H2	f10r	LOCAL_FORM	MOVE>PREPARE>MOVE>MEASURE>MOVE>MEASURE	PG012	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>CONTINUE_USE>SOURCE_DRAW	1	UNIQUE	LOCAL_BOTH
H3-S001	H3	f11r	LOCAL_FORM	HOLD>APPLY>PREPARE>MEASURE>MOVE>COLLECT>CLOSE	PG041	HOLD_STATE>TARGET_HANDOFF>SOURCE_DRAW>METER_CHECK>MOVE_PASS>HOLD_STATE>SOURCE_DRAW>CLOSE	1	UNIQUE	LOCAL_BOTH
H3-S002	H3	f11r	LOCAL_FORM	COLLECT	PG032	HOLD_STATE	1	UNIQUE	LOCAL_BOTH
H3-S003	H3	f11r	LOCAL_FORM	PREPARE>COLLECT>MEASURE	PG028	CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK	1	UNIQUE	LOCAL_BOTH
H3-S004	H3	f11r	LOCAL_FORM	SELECT>PREPARE>CHECK>SELECT	PG015	ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CONTINUE_USE	1	UNIQUE	LOCAL_BOTH
H4-S001	H4	f55v	LOCAL_FORM	MEASURE>PREPARE>CLOSE	PG046	METER_CHECK>METER_CHECK>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CLOSE	1	UNIQUE	LOCAL_BOTH
