event_id	page	record	statement_id	card_no	surface	component_recipe	composed_reading_de	statement_position	contains_close	full_statement_surface
E039	f11r	H3	H3-S001	PROC026	tshol	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	ENTRY	NO	tshol schoal cfhy shfydaiin cphy shey tchody
E040	f11r	H3	H3-S001	PROC027	schoal	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	MEDIAL	NO	tshol schoal cfhy shfydaiin cphy shey tchody
E042	f11r	H3	H3-S001	PROC029	shfydaiin	SH+Y+AIIN	HALTEN · ARBEITSPOSTEN · SOLLMASS	MEDIAL	NO	tshol schoal cfhy shfydaiin cphy shey tchody
E044	f11r	H3	H3-S001	PROC031	shey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	MEDIAL	NO	tshol schoal cfhy shfydaiin cphy shey tchody
E197	f82r	B2	B2-S010	PROC031	cheey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	FINAL	NO	qokeey qoky ls cheey
E203	f82r	B2	B2-S012	PROC031	cheey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	MEDIAL	NO	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy
E353	f83r	B4	B4-S015	PROC031	shey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	MEDIAL	NO	qokain shey kain chckhal solkey lchedy
E046	f11r	H3	H3-S002	PROC033	shoyty	SH+O+Y+T+Y	ARBEITSPOSTEN HALTEN · IM ARBEITSGANG EINTRAGEN · ARBEITSPOSTEN	WHOLE	NO	shoyty
E087	f56r	H5	H5-S003	PROC058	sh	SH	HALTEN	ENTRY	NO	sh cho kchey qokokchy
E115	f81v	B1	B1-S002	PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE	MEDIAL	NO	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy
E122	f81v	B1	B1-S003	PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	FINAL	YES	qol sshkchdy
E160	f81v	B1	B1-S018	PROC096	dsheol	SH+E+OL	HALTEN · KURZ · FORTSETZEN	MEDIAL	NO	ly dsheol oiiin olkeedy
E165	f81v	B1	B1-S020	PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	FINAL	YES	cheky shckhedy
E330	f83r	B4	B4-S006	PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	WHOLE	YES	shckhedy
E331	f83r	B4	B4-S007	PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	WHOLE	YES	shckhedy
E187	f82r	B2	B2-S006	PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASSKANAL · ARBEITSPOSTEN	MEDIAL	NO	oteey qokal sheckhy qoky
E189	f82r	B2	B2-S007	PROC111	dshedy	SH+E+DY	HALTEN · KURZ; SCHLUSS	WHOLE	YES	dshedy
E193	f82r	B2	B2-S009	PROC114	solshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ; SCHLUSS	WHOLE	YES	solshedy
E212	f82r	B2	B2-S015	PROC122	tshey	SH+E+Y	HALTEN · KURZ · ARBEITSPOSTEN	ENTRY	NO	tshey qokeedy
E222	f82r	B2	B2-S017	PROC126	rsheal	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	ENTRY	NO	rsheal daldy
E250	f83r	B3	B3-S011	PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	ENTRY	NO	shecthedchy qoky chedy chary
E261	f83r	B3	B3-S014	PROC139	sheedy	SH+EE+DY	HALTEN · LANG; SCHLUSS	FINAL	YES	okair sheedy
E267	f83r	B3	B3-S019	PROC141	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ; SCHLUSS	WHOLE	YES	qokshedy
E276	f83r	B3	B3-S021	PROC143	shecthy	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · ARBEITSPOSTEN	MEDIAL	NO	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy
E334	f83r	B4	B4-S008	PROC157	sheey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	MEDIAL	NO	saiin cheeky sheey qokedy
