card_no	surfaces	component_recipe	portable_sh_value_de	composed_reading_de	events	pages	event_ids
PROC026	tshol	T+SH+OL	HALTEN	EINTRAGEN · HALTEN · FORTSETZEN	1	f11r	E039
PROC027	schoal	SH+O+AL	HALTEN	HALTEN · ARBEITSGANG · ZIELSTELLE	1	f11r	E040
PROC029	shfydaiin	SH+Y+AIIN	HALTEN	HALTEN · ARBEITSPOSTEN · SOLLMASS	1	f11r	E042
PROC031	cheey|shey	SH+EE+Y	HALTEN	HALTEN · LANG · ARBEITSPOSTEN	4	f11r|f82r|f83r	E044|E197|E203|E353
PROC033	shoyty	SH+O+Y+T+Y	HALTEN	ARBEITSPOSTEN HALTEN · IM ARBEITSGANG EINTRAGEN · ARBEITSPOSTEN	1	f11r	E046
PROC058	sh	SH	HALTEN	HALTEN	1	f56r	E087
PROC073	sheckhal	SH+E+CKH+AL	HALTEN	HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE	1	f81v	E115
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	1	f81v	E122
PROC096	dsheol	SH+E+OL	HALTEN	HALTEN · KURZ · FORTSETZEN	1	f81v	E160
PROC099	shckhedy	SH+CKH+E+DY	HALTEN	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	3	f81v|f83r	E165|E330|E331
PROC110	sheckhy	SH+E+CKH+Y	HALTEN	HALTEN · KURZ · DURCHLASSKANAL · ARBEITSPOSTEN	1	f82r	E187
PROC111	dshedy	SH+E+DY	HALTEN	HALTEN · KURZ; SCHLUSS	1	f82r	E189
PROC114	solshedy	OL+SH+E+DY	HALTEN	FORTSETZEN · HALTEN · KURZ; SCHLUSS	1	f82r	E193
PROC122	tshey	SH+E+Y	HALTEN	HALTEN · KURZ · ARBEITSPOSTEN	1	f82r	E212
PROC126	rsheal	R+SH+E+AL	HALTEN	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	1	f82r	E222
PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	1	f83r	E250
PROC139	sheedy	SH+EE+DY	HALTEN	HALTEN · LANG; SCHLUSS	1	f83r	E261
PROC141	qokshedy	OK+SH+E+DY	HALTEN	ANSETZEN · HALTEN · KURZ; SCHLUSS	1	f83r	E267
PROC143	shecthy	SH+E+CTH+Y	HALTEN	HALTEN · KURZ · BEREIT · ARBEITSPOSTEN	1	f83r	E276
PROC157	sheey	SH+EE+Y	HALTEN	HALTEN · LANG · ARBEITSPOSTEN	1	f83r	E334
