supply_id	silent_noun_en	selected_value_de	licensed_by	working_status	live_substitution_de
A01	blue flowering wash herb	blau bluehendes Waschkraut	PICTURE_OWNER	DIRECT_VISIBLE_CLASS	Art bleibt offen
A02	water solvent	Wasser als Koch- und Nachspuelfluessigkeit	WORKSHOP_DEFAULT	SELECTED_CONCRETE_DEFAULT	Wein bleibt moeglicher Rezepttausch
A03	cooking vessel	Kochgefaess	OPERATION_IMPLIED	NECESSARY_TOOL	Form nicht sichtbar
A04	linen pressing cloth	Leinentuch zum Ausdruecken	OPERATION_IMPLIED	SELECTED_TOOL	Handpresse oder Sieb bleibt moeglich
A05	settling vessel	Absetzbecken oder Gefaess	OPERATION_AND_IMAGE	NECESSARY_CONTAINER	genaue Gefaessgrenze lokal offen
A06	fine straining cloth	feineres Leinentuch zum Nachseihen	OPERATION_IMPLIED	SELECTED_TOOL	anderes Siebmaterial moeglich
A07	final additive	vorgesehener Zusatz	CARD_LICENSED_IDENTITY_SILENT	MASTER_EXEMPLAR_REQUIRED	Stoffname fehlt
A08	same prepared batch	derselbe f11r-Klarauszug in B4	CROSS_PAGE_WORKSHOP_SCENARIO	SELECTED_HANDOFF	kein sichtbarer Querverweis
A09	linen insert	Leineneinlage oder Filterpolster	CARD_PLUS_APPARATUS	SELECTED_OBJECT	Material nicht ausgeschrieben
A10	local flow direction	lokaler Weg von Station zu Empfaenger	IMAGE_GEOMETRY	LOCAL_ONLY	keine globale Flussrichtung
A11	affected body target	bezeichnete gereizte Koerperstelle	HUMAN_FIGURE_OWNER	SELECTED_TARGET	Anatomie und Leiden fehlen
A12	wound or inflammation wash	aeussere Wund- oder Reizwaschung	HISTORICAL_AND_PROCESS_EXPANSION	SELECTED_PURPOSE	kein einzelnes Kartenwort bedeutet Wunde
