combined_order	source_record	page	event_serial	statement_id	visible_surface	master_card_id	unchanged_atomic_value_de	recipe_phase	concrete_recipe_expansion_de	silent_supply_ids	dictionary_change
1	H3	f11r	39	H3-S001	tshol	MC098	Kochgut	MAKE_WASH_EXTRACT	Nimm das bestimmte Kochgut vom blau bluehenden Waschkraut.	A01|A02|A03|A04|A05|A06|A07	NO
2	H3	f11r	40	H3-S001	schoal	MC049	Sudansatz	MAKE_WASH_EXTRACT	Setze daraus den Pflanzenwaschauszug an.	A01|A02|A03|A04|A05|A06|A07	NO
3	H3	f11r	41	H3-S001	cfhy	MC129	Auswringen	MAKE_WASH_EXTRACT	Wringe das ausgekochte Kraut aus.	A01|A02|A03|A04|A05|A06|A07	NO
4	H3	f11r	42	H3-S001	shfydaiin	MC111	Stehzeit	MAKE_WASH_EXTRACT	Lass die ausgedrueckte Fluessigkeit die vorgeschriebene Zeit stehen.	A01|A02|A03|A04|A05|A06|A07	NO
5	H3	f11r	43	H3-S001	cphy	MC156	Nachseihen	MAKE_WASH_EXTRACT	Seihe die abgesetzte Fluessigkeit nochmals.	A01|A02|A03|A04|A05|A06|A07	NO
6	H3	f11r	44	H3-S001	shey	MC119	Klarauszug	MAKE_WASH_EXTRACT	Behalte den klaren Waschauszug.	A01|A02|A03|A04|A05|A06|A07	NO
7	H3	f11r	45	H3-S001	tchody	MC037	Endzugabe; Schluss	MAKE_WASH_EXTRACT	Gib den vorgesehenen Endzusatz bei und schliesse den Zubereitungsschritt.	A01|A02|A03|A04|A05|A06|A07	NO
8	H3	f11r	46	H3-S002	shoyty	MC062	Zugabeteil	RESERVE_ADDITIVE	Lege den weiteren Zugabeteil bereit.	A07	NO
9	H3	f11r	47	H3-S003	dchol	MC142	vom vorigen	MEASURE_BATCH	Nimm vom vorigen klaren Ansatz.	A08	NO
10	H3	f11r	48	H3-S003	chy	MC123	dies	MEASURE_BATCH	Halte diesen Ansatz als laufenden Posten.	A08	NO
11	H3	f11r	49	H3-S003	kchy	MC117	Bearbeiten	MEASURE_BATCH	Bearbeite diesen Anteil weiter.	A08	NO
12	H3	f11r	50	H3-S003	dy	MC123	dies	MEASURE_BATCH	Fuehre denselben Posten fort.	A08	NO
13	H3	f11r	51	H3-S003	daiin	MC039	Sollmaß	MEASURE_BATCH	Bringe ihn auf das Sollmass.	A08	NO
14	H3	f11r	52	H3-S004	qotchy	MC107	Folgeposten	READY_BATCH	Wechsle zum Folgeposten.	A08	NO
15	H3	f11r	53	H3-S004	okchol	MC041	Weiterverarbeitung	READY_BATCH	Verarbeite den Folgeposten weiter.	A08	NO
16	H3	f11r	54	H3-S004	cthy	MC161	bereit	READY_BATCH	Halte die Zubereitung bereit.	A08	NO
