raw	dictionary_entry	all_parts	all_tags	all_occurrence_ids
aiin	True	"[[""aiin""]]"	"[[""OF""]]"	PROJECTED|f83r.10|G005;PROJECTED|f83r.10|G010;ZL3b|f83r.10|G005;ZL3b|f83r.10|G010;IT2a|f83r.10|G005
al	True	"[[""al""]]"	"[[""ASSEMBLY""]]"	PROJECTED|f83r.12|G006;ZL3b|f108r.46|G011;ZL3b|f108r.47|G010;IT2a|f108r.46|G010;IT2a|f108r.47|G010
altedy	True	"[[""altedy""]]"	"[[""REQUIRE_POSITION""]]"	PROJECTED|f83r.13|G005;ZL3b|f83r.13|G005
chealror	True	"[[""chealror""]]"	"[[""AILMENTS""]]"	PROJECTED|f83r.16|G008;ZL3b|f83r.16|G008;IT2a|f83r.16|G008
checphedy	True	"[[""checphedy""]]"	"[[""TAKE""]]"	PROJECTED|f83r.9|G002;ZL3b|f83r.9|G002;IT2a|f83r.9|G002
checthy	True	"[[""checthy""]]"	"[[""ALL_PREVIOUS""]]"	PROJECTED|f83r.16|G007;ZL3b|f83r.16|G007;IT2a|f83r.16|G007
ched	True	"[[""ched""]]"	"[[""SELECTED_BIRD_KIND""]]"	ZL3b|f108r.47|G009;IT2a|f108r.47|G009
chedy	True	"[[""chedy""], [""ched"", ""y""]]"	"[[""CLAIMS_PROTECTS""], [""SELECTED_BIRD_KIND"", ""AND""]]"	PROJECTED|f83r.16|G005;ZL3b|f83r.16|G005;IT2a|f83r.16|G005;ZL3b|f108r.45|G008;IT2a|f108r.45|G008
cheeb	True	"[[""cheeb""]]"	"[[""HAS""]]"	PROJECTED|f83r.10|G003;ZL3b|f83r.10|G003
cheedar	True	"[[""cheedar""]]"	"[[""WEAR""]]"	PROJECTED|f83r.16|G003;ZL3b|f83r.16|G003;IT2a|f83r.16|G003
cheen	False	[]	[]	IT2a|f83r.10|G003
cheey	True	"[[""cheey""]]"	"[[""HOSTED_BY""]]"	ZL3b|f108r.46|G009;IT2a|f108r.46|G008
cheodar	True	"[[""cheodar""]]"	"[[""UNCHANGED_IDENTITY""]]"	ZL3b|f108r.46|G008;IT2a|f108r.46|G007
chey	True	"[[""chey""]]"	"[[""INSTEAD_OF""]]"	PROJECTED|f83r.15|G004;ZL3b|f83r.15|G004;IT2a|f83r.15|G004
chkain	True	"[[""chkain""]]"	"[[""PERFORM""]]"	PROJECTED|f83r.11|G004;ZL3b|f83r.11|G004;IT2a|f83r.11|G004
chky	True	"[[""chky""]]"	"[[""BIRD_BODY""]]"	PROJECTED|f83r.10|G011;ZL3b|f83r.10|G011;IT2a|f83r.10|G010
chldaiin	True	"[[""chldaiin""]]"	"[[""THAT_ASSEMBLY""]]"	PROJECTED|f83r.16|G004;ZL3b|f83r.16|G004;IT2a|f83r.16|G004
chockhey	True	"[[""chockhey""]]"	"[[""REQUIRE""]]"	ZL3b|f108r.47|G002;IT2a|f108r.47|G002
ckol	False	[]	[]	IT2a|f83r.12|G006
cseckhdy	False	[]	[]	IT2a|f83r.12|G005
cthal	True	"[[""cthal""]]"	"[[""PHYSICAL_PART""]]"	PROJECTED|f83r.10|G008;ZL3b|f83r.10|G008;IT2a|f83r.10|G008
dain	True	"[[""dain""]]"	"[[""BUT""]]"	PROJECTED|f83r.10|G007;ZL3b|f83r.10|G007;IT2a|f83r.10|G007;ZL3b|f108r.45|G001;ZL3b|f108r.47|G003;IT2a|f108r.45|G001;IT2a|f108r.47|G003
dal	True	"[[""dal""]]"	"[[""WITH""]]"	PROJECTED|f83r.14|G005;PROJECTED|f83r.14|G009;ZL3b|f83r.14|G005;ZL3b|f83r.14|G009;IT2a|f83r.14|G005;IT2a|f83r.14|G009;ZL3b|f108r.45|G011;IT2a|f108r.45|G011
dalchdy	True	"[[""dalchdy""]]"	"[[""UNDER_CARRIER""]]"	PROJECTED|f83r.15|G007;ZL3b|f83r.15|G007;IT2a|f83r.15|G007
dalkedy	True	"[[""dalkedy""]]"	"[[""IF_CONDITION""]]"	ZL3b|f108r.45|G009;IT2a|f108r.45|G009
dche[o:?]kedy	False	[]	[]	ZL3b|f83r.17|G001
dcheo	False	[]	[]	IT2a|f83r.17|G001
dcheokedy	True	"[[""dcheokedy""]]"	"[[""CLAIMS_GIVES""]]"	PROJECTED|f83r.17|G001
keam	True	"[[""keam""]]"	"[[""AFTER""]]"	ZL3b|f108r.47|G011;IT2a|f108r.47|G011
kedy	False	[]	[]	IT2a|f83r.17|G002
keey	True	"[[""keey""]]"	"[[""AND""]]"	ZL3b|f108r.45|G004;IT2a|f108r.45|G004
lal	True	"[[""lal""]]"	"[[""REMAINS""]]"	PROJECTED|f83r.10|G012;ZL3b|f83r.10|G012;IT2a|f83r.10|G011
lchcphedy	True	"[[""lchcphedy""]]"	"[[""SELECTED""]]"	PROJECTED|f83r.13|G009;ZL3b|f83r.13|G009;IT2a|f83r.13|G008
lchedy	True	"[[""lchedy""]]"	"[[""GRAPE_SEED""]]"	PROJECTED|f83r.11|G009;PROJECTED|f83r.14|G006;PROJECTED|f83r.15|G009;ZL3b|f83r.11|G009;ZL3b|f83r.14|G006;ZL3b|f83r.15|G009;IT2a|f83r.11|G009;IT2a|f83r.14|G006;IT2a|f83r.15|G009;ZL3b|f108r.45|G005;IT2a|f108r.45|G005
ldar	True	"[[""ldar""]]"	"[[""BIRD""]]"	PROJECTED|f83r.13|G010;ZL3b|f83r.13|G010;IT2a|f83r.13|G009
lkeed	True	"[[""lkeed""]]"	"[[""FAVOR_ESTEEM_AT_POWERFUL_ENCOUNTERS""]]"	PROJECTED|f83r.17|G002;ZL3b|f83r.17|G002;IT2a|f83r.17|G003
lkeedy	True	"[[""lkeedy""], [""lkeed"", ""y""]]"	"[[""CARRIER_REFERENCE""], [""FAVOR_ESTEEM_AT_POWERFUL_ENCOUNTERS"", ""AND""]]"	ZL3b|f108r.47|G006;IT2a|f108r.47|G006
lo	True	"[[""lo""]]"	"[[""THERE""]]"	PROJECTED|f83r.11|G010;ZL3b|f83r.11|G010;IT2a|f83r.11|G010
lsheedy	True	"[[""lsheedy""]]"	"[[""GOAL""]]"	PROJECTED|f83r.9|G004;ZL3b|f83r.9|G004;IT2a|f83r.9|G004
okair	True	"[[""okair""]]"	"[[""PREPARE""]]"	PROJECTED|f83r.11|G007;ZL3b|f83r.11|G007;IT2a|f83r.11|G007
okedy	True	"[[""okedy""]]"	"[[""SAME""]]"	PROJECTED|f83r.12|G007;ZL3b|f83r.12|G007;IT2a|f83r.12|G007;ZL3b|f108r.46|G006;ZL3b|f108r.47|G005;IT2a|f108r.46|G005;IT2a|f108r.47|G005
okeey	True	"[[""okeey""]]"	"[[""PERSISTS""]]"	ZL3b|f108r.45|G003;ZL3b|f108r.45|G006;IT2a|f108r.45|G003;IT2a|f108r.45|G006
olkeey	True	"[[""olkeey""]]"	"[[""REGARD_DISTINCTION""]]"	PROJECTED|f83r.10|G001;ZL3b|f83r.10|G001;IT2a|f83r.10|G001
ols	True	"[[""ols""]]"	"[[""FORM""]]"	PROJECTED|f83r.10|G004;ZL3b|f83r.10|G004;IT2a|f83r.10|G004
otal	True	"[[""otal""]]"	"[[""ON""]]"	PROJECTED|f83r.12|G003;ZL3b|f83r.12|G003;IT2a|f83r.12|G003
otedy	True	"[[""otedy""]]"	"[[""BY""]]"	ZL3b|f108r.46|G005;IT2a|f108r.46|G004
oteedy	True	"[[""oteedy""]]"	"[[""KEEP""]]"	ZL3b|f108r.47|G007;IT2a|f108r.47|G007
pchor	True	"[[""pchor""]]"	"[[""INSTRUCTION""]]"	PROJECTED|f83r.9|G001;ZL3b|f83r.9|G001;IT2a|f83r.9|G001
qedy	True	"[[""qedy""]]"	"[[""BIRD_PART""]]"	PROJECTED|f83r.13|G008
