source_id	raw	parts	terminal_positions	unchanged_tags	unchanged_meanings
IT2a|f108r.45|G001	dain	dain	1	BUT	contrast the following typed assertion with the preceding one
IT2a|f108r.45|G002	sheckhy	sheckhy	2	THE_ENGRAVING	the depiction created by the earlier ENGRAVE_ON instruction
IT2a|f108r.45|G003	okeey	okeey	3	PERSISTS	The argument retains its individual identity across the named assembly process. Same predicate for the engraving I and grape seed G; neither continued loose availability nor unchanged position is asserted.
IT2a|f108r.45|G004	keey	keey	4	AND	Conjoin the two adjacent assertions. A new whole-word synonym of y, openly counted.
IT2a|f108r.45|G005	lchedy	lchedy	5	GRAPE_SEED	grape seed
IT2a|f108r.45|G006	okeey	okeey	6	PERSISTS	The argument retains its individual identity across the named assembly process. Same predicate for the engraving I and grape seed G; neither continued loose availability nor unchanged position is asserted.
IT2a|f108r.45|G007	qokedy	qokedy	7	STONE	the same aetites stone / engraved stone carrier
IT2a|f108r.45|G008	chedy	chedy	8	CLAIMS_PROTECTS	record the source assertion of protection, without modifying a real patient-health state
IT2a|f108r.45|G009	dalkedy	dalkedy	9	IF_CONDITION	Introduce the condition inside an attributed protection proposition. IF C THEN PROTECTS(A,W,Q), not the converse and not actual efficacy.
IT2a|f108r.45|G010	qokedy	qokedy	10	STONE	the same aetites stone / engraved stone carrier
IT2a|f108r.45|G011	dal	dal	11	WITH	group or accompany typed physical arguments; neither numerical quantity nor temporal next-stage
IT2a|f108r.46|G001	yteedy	yteedy	12	SELECTED_MATERIALS	The already specified two-member material group {G,P}; P is the physical part of the current E or H branch. This fixed group-reference macro is one new value and introduces no object.
IT2a|f108r.46|G002	qokeedy	qokeed + y	13,14	ENCLOSED_STATE + AND	The existing assembly A is physically enclosed. This is a state predicate, not a second ENCLOSE action and not a goal quotation. | Conjoin two adjacent state predicates. Same logical conjunction as keey; the synonym is not inferred from spelling.
IT2a|f108r.46|G003	qokey	qokey	15	WORN_STATE	The existing assembly A is worn, with the wearer supplied by BY. This is a state predicate, not a new wearing action.
IT2a|f108r.46|G004	otedy	otedy	16	BY	Bind the immediately following Person as the wearer argument of WORN_STATE.
IT2a|f108r.46|G005	okedy	okedy	17	SAME	identity with the already introduced referent
IT2a|f108r.46|G006	qokaiin	qokaiin	18	WEARER	the wearer
IT2a|f108r.46|G007	cheodar	cheodar	19	UNCHANGED_IDENTITY	The implicit engraving argument retains its identity; this does not assert unchanged material composition, shape or position of every object.
IT2a|f108r.46|G008	cheey	cheey	20	HOSTED_BY	The depiction argument is hosted on the physical carrier argument, with the same host relation as the parent engraving operation.
IT2a|f108r.46|G009	qokedy	qokedy	21	STONE	the same aetites stone / engraved stone carrier
IT2a|f108r.46|G010	al	al	22	ASSEMBLY	the process of gathering and enclosing the components
IT2a|f108r.47|G001	yched	yched	23	THROUGHOUT	Universally quantify the preceding invariant over states in the explicitly named ASSEMBLY interval of the finite instruction trace.
IT2a|f108r.47|G002	chockhey	chockhey	24	REQUIRE	Declare the preceding proposition as an invariant constraint on the instruction trace; no extra physical event.
IT2a|f108r.47|G003	dain	dain	25	BUT	contrast the following typed assertion with the preceding one
IT2a|f108r.47|G004	sheol	sheol	26	UNDER	The physical part is below the explicitly named carrier. The argument order is specified by production C13, not guessed separately at each occurrence.
IT2a|f108r.47|G005	okedy	okedy	27	SAME	identity with the already introduced referent
IT2a|f108r.47|G006	lkeedy	lkeedy	28	CARRIER_REFERENCE	The carrier S already introduced by the parent engraving instruction; an explicit new reference alias, not a new stone.
IT2a|f108r.47|G007	oteedy	oteedy	29	KEEP	Require that the following physical part retain the stated pose over the explicitly supplied time region. Does not create or place a part.
IT2a|f108r.47|G008	qokeedy	qokeedy	30	WING_TIP_OF	a physical wing/feather-tip part from the following bird kind; exact anatomical sense unresolved
IT2a|f108r.47|G009	ched	ched	31	SELECTED_BIRD_KIND	The source bird kind of the already selected physical component P: E in the eagle branch, H in the hawk branch. This is a new branch-dependent reference constructor, not a constant eagle or a new choice.
IT2a|f108r.47|G010	al	al	32	ASSEMBLY	the process of gathering and enclosing the components
IT2a|f108r.47|G011	keam	keam	33	AFTER	The suffix of the same finite instruction trace strictly after completion of the named assembly process, through that trace end; not all indefinitely possible future history.
