event_id	record	page	locus	statement_id	surface	joint_tuple_id	small_value_de	source_pass	semantic_segmentation_before_consolidation
E001	H1	f10r	f10r.2	H1-S001	dchey	65f320e75510b2f38182	Knolle	sidequest_semantic_f10_root_scrape_four_hundred_sixteenth	dchey=Wurzelteil
E002	H1	f10r	f10r.2	H1-S001	cthoor	dedc383b600397a301ee	abschaben	sidequest_semantic_f10_root_scrape_four_hundred_sixteenth	cthoor=säubern
E003	H1	f10r	f10r.2	H1-S001	char	4d4559019a961b834aa1	aus demselben Vorrat	sidequest_semantic_f10_root_scrape_four_hundred_sixteenth	AR_SOURCE
E004	H1	f10r	f10r.2	H1-S001	chty	80ebbbbf238eee9f0aef	bearbeiten	sidequest_semantic_f10_root_scrape_four_hundred_sixteenth	ch=zerkleinern
E005	H1	f10r	f10r.2	H1-S001	os	df1098831679a8ad1b39	Topf	sidequest_semantic_f10_root_scrape_four_hundred_sixteenth	os=Gefäß
E006	H1	f10r	f10r.2	H1-S001	chair	12efe866f335461823a6	Wasserzulauf	sidequest_semantic_f10_root_scrape_four_hundred_sixteenth	CH_INLET+AIR_WATER
E007	H1	f10r	f10r.2	H1-S001	otytchol	62ff059766b21c7de083	Auszug	sidequest_semantic_f10_root_scrape_four_hundred_sixteenth	OTYTCHOL_COLLECT_WHOLE_CARD
E008	H1	f10r	f10r.2	H1-S001	oky	276a7c2d74d1143446f4	Posten ansetzen	sidequest_semantic_f10_root_scrape_four_hundred_sixteenth	OK_SET+Y_OPEN
E009	H1	f10r	f10r.2	H1-S001	daiin	2f1c5e56e8f0ff459065	Sollmaß	sidequest_semantic_f10_root_scrape_four_hundred_sixteenth	AIIN_TARGET_MEASURE
E010	H1	f10r	f10r.2	H1-S001	etyd	a6939862e33ece5a0483	Gabe	sidequest_semantic_f10_root_scrape_four_hundred_sixteenth	etyd=Wurzelteil
E011	H1	f10r	f10r.5	H1-S002	qokchy	9ad66e67803a12e745de	Posten ansetzen	sidequest_semantic_f10_root_scrape_four_hundred_sixteenth	OK_SET+CH_WRAPPER+Y_OPEN
E012	H1	f10r	f10r.5	H1-S002	qotchol	e8a6105b5c3a6220b440	anwärmen	sidequest_semantic_f10_root_scrape_four_hundred_sixteenth	QOTCHOL_WARM_WHOLE_CARD
