candidate_recipe	candidate_current_status	source_neighbor_count	incoming_semantic_action	scope_context_mode	incoming_scope_action	factor_gate_status	rescue_decision	scope_selector_rules	portable_factor_rules	amber_factor_rules	blocked_factor_rules	conditional_literal_reading_de	surface_or_occurrence_prediction
AIIN+DY	ABSENT	1	CH	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:CH	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	CH	STATEMENT_SCOPE_INHERITED__SAME_HEAD	CH	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	PREVIOUS_CARD_STACK	FOCUS:CH<-AIIN|CLOSE:CH	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	CHD	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:CHD	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	CHD	STATEMENT_SCOPE_INHERITED__SAME_HEAD	CHD	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	PREVIOUS_CARD_STACK	FOCUS:CHD<-AIIN|CLOSE:CHD	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	K	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:K	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	K	STATEMENT_SCOPE_INHERITED__SAME_HEAD	K	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	PREVIOUS_CARD_STACK	FOCUS:K<-AIIN|CLOSE:K	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	OK	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:OK	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	OK	STATEMENT_SCOPE_INHERITED__SAME_HEAD	OK	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	PREVIOUS_CARD_STACK	FOCUS:OK<-AIIN|CLOSE:OK	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	P	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:P	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	P	STATEMENT_SCOPE_INHERITED__SAME_HEAD	P	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	PREVIOUS_CARD_STACK	FOCUS:P<-AIIN|CLOSE:P	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	R	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:R	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	R	STATEMENT_SCOPE_INHERITED__SAME_HEAD	R	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	PREVIOUS_CARD_STACK	FOCUS:R<-AIIN|CLOSE:R	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	S	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:S	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	S	STATEMENT_SCOPE_INHERITED__SAME_HEAD	S	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	PREVIOUS_CARD_STACK	FOCUS:S<-AIIN|CLOSE:S	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	SH	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:SH	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	SH	STATEMENT_SCOPE_INHERITED__SAME_HEAD	SH	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	PREVIOUS_CARD_STACK	FOCUS:SH<-AIIN|CLOSE:SH	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	T	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:T	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY	ABSENT	1	T	STATEMENT_SCOPE_INHERITED__SAME_HEAD	T	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	PREVIOUS_CARD_STACK	FOCUS:T<-AIIN|CLOSE:T	NONE	NONE	WERT · SCHLUSS	NO
AIIN+DY+D_LABEL	ABSENT	1	CH	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:CH	NONE	NONE	WERT · SCHLUSS · HIER	NO
AIIN+DY+D_LABEL	ABSENT	1	CH	STATEMENT_SCOPE_INHERITED__SAME_HEAD	CH	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	PREVIOUS_CARD_STACK	FOCUS:CH<-AIIN|CLOSE:CH	NONE	NONE	WERT · SCHLUSS · HIER	NO
AIIN+DY+D_LABEL	ABSENT	1	CHD	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:CHD	NONE	NONE	WERT · SCHLUSS · HIER	NO
AIIN+DY+D_LABEL	ABSENT	1	CHD	STATEMENT_SCOPE_INHERITED__SAME_HEAD	CHD	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	PREVIOUS_CARD_STACK	FOCUS:CHD<-AIIN|CLOSE:CHD	NONE	NONE	WERT · SCHLUSS · HIER	NO
AIIN+DY+D_LABEL	ABSENT	1	K	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:K	NONE	NONE	WERT · SCHLUSS · HIER	NO
AIIN+DY+D_LABEL	ABSENT	1	K	STATEMENT_SCOPE_INHERITED__SAME_HEAD	K	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	PREVIOUS_CARD_STACK	FOCUS:K<-AIIN|CLOSE:K	NONE	NONE	WERT · SCHLUSS · HIER	NO
AIIN+DY+D_LABEL	ABSENT	1	OK	OWNER_SCOPE_RESET__SEMANTIC_HEAD_CARRIED	NONE	FACTOR_GREEN_CROSS_PAGE	RESCUED_GREEN	OWNER_CONTEXT	FOCUS:OWNER<-AIIN|CLOSE:OK	NONE	NONE	WERT · SCHLUSS · HIER	NO
