candidate_recipe	candidate_current_status	context_count	green_context_count	amber_context_count	stop_context_count	rescued_context_count	rescued_under_all_18_contexts	remaining_stop_contexts	conditional_literal_reading_de
AIIN+DY	ABSENT	18	18	0	0	18	YES	NONE	WERT · SCHLUSS
AIIN+DY+D_LABEL	ABSENT	18	18	0	0	18	YES	NONE	WERT · SCHLUSS · HIER
AIIN+O+DY	ABSENT	18	18	0	0	18	YES	NONE	WERT · AUSFÜHRUNG · SCHLUSS
AIN+DY	ABSENT	18	18	0	0	18	YES	NONE	ANTEIL · SCHLUSS
AIN+DY+D_LABEL	ABSENT	18	18	0	0	18	YES	NONE	ANTEIL · SCHLUSS · HIER
AIN+O+DY	ABSENT	18	18	0	0	18	YES	NONE	ANTEIL · AUSFÜHRUNG · SCHLUSS
AIR+AIIN+DY	ABSENT	18	8	10	0	18	YES	NONE	BAHN · WERT · SCHLUSS
AIR+AIN+DY	ABSENT	18	8	10	0	18	YES	NONE	BAHN · ANTEIL · SCHLUSS
AIR+DY	ABSENT	18	8	10	0	18	YES	NONE	BAHN · SCHLUSS
AIR+OR+DY	ABSENT	18	8	10	0	18	YES	NONE	BAHN · EINHEIT · SCHLUSS
AL+DY	OBSERVED	18	18	0	0	18	YES	NONE	ZIELORT · SCHLUSS
AL+Y+DY	ABSENT	18	18	0	0	18	YES	NONE	ZIELORT · POSTEN · SCHLUSS
AR+DY	ABSENT	18	18	0	0	18	YES	NONE	AUSGANG · SCHLUSS
AR+Y+DY	ABSENT	18	18	0	0	18	YES	NONE	AUSGANG · POSTEN · SCHLUSS
D_ADDR+AIIN+AL+DY	ABSENT	18	18	0	0	18	YES	NONE	HIER · WERT · ZIELORT · SCHLUSS
D_ADDR+AIN+AIR+DY	ABSENT	18	8	10	0	18	YES	NONE	HIER · ANTEIL · BAHN · SCHLUSS
D_ADDR+AIN+AR+DY	ABSENT	18	18	0	0	18	YES	NONE	HIER · ANTEIL · AUSGANG · SCHLUSS
D_ADDR+AIN+L+DY	ABSENT	18	18	0	0	18	YES	NONE	HIER · ANTEIL · VERBINDUNG · SCHLUSS
D_ADDR+AIR+D_ADDR+AR+DY	ABSENT	18	8	10	0	18	YES	NONE	HIER · BAHN · HIER · AUSGANG · SCHLUSS
D_ADDR+AL+D_ADDR+AR+DY	ABSENT	18	18	0	0	18	YES	NONE	HIER · ZIELORT · HIER · AUSGANG · SCHLUSS
D_ADDR+AR+D_ADDR+AIR+DY	ABSENT	18	8	10	0	18	YES	NONE	HIER · AUSGANG · HIER · BAHN · SCHLUSS
D_ADDR+AR+D_ADDR+AL+DY	ABSENT	18	18	0	0	18	YES	NONE	HIER · AUSGANG · HIER · ZIELORT · SCHLUSS
D_ADDR+AR+D_ADDR+L+DY	ABSENT	18	18	0	0	18	YES	NONE	HIER · AUSGANG · HIER · VERBINDUNG · SCHLUSS
D_ADDR+L+D_ADDR+AR+DY	ABSENT	18	18	0	0	18	YES	NONE	HIER · VERBINDUNG · HIER · AUSGANG · SCHLUSS
D_ADDR+OR+AL+DY	ABSENT	18	18	0	0	18	YES	NONE	HIER · EINHEIT · ZIELORT · SCHLUSS
D_ADDR+Y+AL+DY	ABSENT	18	18	0	0	18	YES	NONE	HIER · POSTEN · ZIELORT · SCHLUSS
L+DY	OBSERVED	18	18	0	0	18	YES	NONE	VERBINDUNG · SCHLUSS
L+Y+DY	ABSENT	18	18	0	0	18	YES	NONE	VERBINDUNG · POSTEN · SCHLUSS
O+LOCAL_CHAR_F+AIIN+DY	ABSENT	18	18	0	0	18	YES	NONE	AUSFÜHRUNG · HIER · WERT · SCHLUSS
O+LOCAL_CHAR_F+AIN+DY	ABSENT	18	18	0	0	18	YES	NONE	AUSFÜHRUNG · HIER · ANTEIL · SCHLUSS
O+LOCAL_CHAR_F+OR+DY	ABSENT	18	18	0	0	18	YES	NONE	AUSFÜHRUNG · HIER · EINHEIT · SCHLUSS
OL+AL+DY	ABSENT	18	18	0	0	18	YES	NONE	FORTSETZEN · ZIELORT · SCHLUSS
OL+AR+DY	ABSENT	18	18	0	0	18	YES	NONE	FORTSETZEN · AUSGANG · SCHLUSS
OL+E+DY	ABSENT	18	18	0	0	18	YES	NONE	FORTSETZEN · GRAD I · SCHLUSS
OL+E+DY+L	ABSENT	18	18	0	0	18	YES	NONE	FORTSETZEN · GRAD I · SCHLUSS · VERBINDUNG
OL+E+O+DY	ABSENT	18	18	0	0	18	YES	NONE	FORTSETZEN · GRAD I · AUSFÜHRUNG · SCHLUSS
