event_id	physical_page	statement_id	register	owner_de	surface	component_recipe	actual_incoming_action	actual_scope_selectors	actual_factor_gate_status	actual_blocked_factor_rules	actual_reader_status
G407-E0439	f13r	P1009-S008	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	daldy	AL+DY	CH	AL_AR_ORDERED_FALLBACK	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E0573	f18r	P1009-S021	HERBAL	große abgebildete Blütenpflanze	olody	OL+O+DY	K	NONE	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E1662	f75r	P1009-S114	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	otody	OT+O+DY	OK	NONE	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E1710	f75r	P1009-S124	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	daldy	AL+DY	OK	AL_AR_ORDERED_FALLBACK	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E1720	f75r	P1009-S129	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ldy	L+DY	SH	L_AIR_RIGHT_FALLBACK	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E1768	f75r	P1009-S149	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ldy	L+DY	OK	L_AIR_RIGHT_FALLBACK	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E2985	f81v	P1009-S390	BIOLOGICAL	gemeinsames zweireihiges Badfeld	daldy	AL+DY	OK	AL_AR_ORDERED_FALLBACK	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E3202	f82r	P1009-S440	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	ldy	L+DY	K	L_AIR_RIGHT_FALLBACK	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E3397	f82r	P1009-S482	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	daldy	AL+DY	SH	AL_AR_ORDERED_FALLBACK	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E3658	f83r	P1009-S554	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	ldy	L+DY	CHD	L_AIR_RIGHT_FALLBACK	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E3710	f83r	P1009-S575	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	ldy	L+DY	OK	L_AIR_RIGHT_FALLBACK	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E3970	f88v	P1009-S598	PHARMA	zweite Gefaess-/Zutatengruppe	qotody	OT+O+DY	SH	NONE	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E3998	f88v	P1009-S601	PHARMA	zweite Gefaess-/Zutatengruppe	qotody	OT+O+DY	CH	NONE	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E4453	f95v	G404-S065	HERBAL	F95V_WHOLE_PLANT	ldy	L+DY	OK	L_AIR_RIGHT_FALLBACK	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E4494	f95v	G404-S071	HERBAL	F95V_WHOLE_PLANT	otaldy	OT+AL+DY	SH	AL_AR_ORDERED_FALLBACK	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E4524	f95v	G404-S078	HERBAL	F95V_WHOLE_PLANT	otardy	OT+AR+DY	K	AL_AR_ORDERED_FALLBACK	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
G407-E4575	f95v	G404-S087	HERBAL	F95V_WHOLE_PLANT	otody	OT+O+DY	OK	NONE	FACTOR_GREEN_CROSS_PAGE	NONE	READ_EXACT_CATALOG_WITH_LEFT_CONTEXT
