block_id	statement_id	record_unit_id	dominant_phase	visual_owner_binding	owner_transition	selected_station_role	block_operational_reading_de	prior_visual_operational_statement_de	contact_direction_constraint	role_repair_cost_0_3
PB01	B1-S009	B1	APPLY_CONTACT	F031=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F031:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	PAIRED_SHORT_BATH_PLACEMENTS	Führe an zwei Plätzen desselben gemeinsamen Beckens je eine kurze Einwirkung aus	Spüle den örtlichen Arbeitsbereich der Station „gemeinsames zweireihiges f81v-Becken-/Figurenfeld“ einmal und streiche nur diesen Feldposten als abgeschlossen; erzeuge keinen Weiterfluss.	LOCAL_OWNER_ONLY;NO_GLOBAL_DIRECTION	1
PB01	B1-S010	B1	APPLY_CONTACT	F032=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F032:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	PAIRED_SHORT_BATH_PLACEMENTS	Führe an zwei Plätzen desselben gemeinsamen Beckens je eine kurze Einwirkung aus	Spüle den örtlichen Arbeitsbereich der Station „gemeinsames zweireihiges f81v-Becken-/Figurenfeld“ einmal und streiche nur diesen Feldposten als abgeschlossen; erzeuge keinen Weiterfluss.	LOCAL_OWNER_ONLY;NO_GLOBAL_DIRECTION	1
PB02	B2-S001	B2	TRANSFER	F045=DIRECT_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER	RESET_RECORD -> SET_DIRECT_OWNER[F045:DIRECT_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	UPPER_PAIR_BALANCE_AND_LINK_CHECK	Gleiche die beiden oberen Becken lokal ab und prüfe beide Kontakte am Mittelzylinder	Vergleiche die Füllstände der beiden oberen Figurenbecken und notiere nur die Abweichung.	LOCAL_OWNER_ONLY;NO_GLOBAL_DIRECTION	2
PB02	B2-S002	B2	TRANSFER	F046=INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERIT_OWNER[F046:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	UPPER_PAIR_BALANCE_AND_LINK_CHECK	Gleiche die beiden oberen Becken lokal ab und prüfe beide Kontakte am Mittelzylinder	Prüfe beide sichtbaren Bogenkontakte am Mittelzylinder, ohne Ein- und Ausgang festzulegen.	LOCAL_OWNER_ONLY;NO_GLOBAL_DIRECTION	2
PB03	B2-S013	B2	TRANSFER	F060=INHERITED_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL	INHERIT_OWNER[F060:INHERITED_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL]	LOWER_POOL_DISCHARGE_AND_RESTART	Führe den verbrauchten Posten des unteren Mehrfigurenfeldes ab und eröffne den nächsten lokalen Aufnahmeplatz	Entleere nur den örtlichen Gefäß- oder Tuchposten der Station „unteres grünes f82r-Mehrfigurenfeld“ in einen unbebilderten Sammelbehälter und schließe das Feld; bestimme keine Folgestation.	LOCAL_OWNER_ONLY;NO_GLOBAL_DIRECTION	2
PB03	B2-S014	B2	TRANSFER	F061=INHERITED_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL	INHERIT_OWNER[F061:INHERITED_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL]	LOWER_POOL_DISCHARGE_AND_RESTART	Führe den verbrauchten Posten des unteren Mehrfigurenfeldes ab und eröffne den nächsten lokalen Aufnahmeplatz	Weise einen freien Figurenplatz im unteren Feld für den nächsten Arbeitsgang aus.	LOCAL_OWNER_ONLY;NO_GLOBAL_DIRECTION	2
PB04	B3-S015	B3	TRANSFER	F085=INHERITED_VISIBLE:B3_LOWER_MARGIN_BASKET_VESSEL_STATION	INHERIT_OWNER[F085:INHERITED_VISIBLE:B3_LOWER_MARGIN_BASKET_VESSEL_STATION]	BASKET_DISCHARGE_THEN_UNASSIGNED_HANDOFF	Entleere den korbartigen Randposten; setze nach der sichtbaren Lücke einen neuen, noch unzugeordneten Übergabeposten	Entleere nur den örtlichen Gefäß- oder Tuchposten der Station „untere f83r-Randfigur im korbartigen Gefäß“ in einen unbebilderten Sammelbehälter und schließe das Feld; bestimme keine Folgestation.	LOCAL_OWNER_ONLY;NO_GLOBAL_DIRECTION	3
PB04	B3-S016	B3	TRANSFER	F086=INHERITED_VISIBLE:B3_LOWER_MARGIN_BASKET_VESSEL_STATION > F087=UNRESOLVED:B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	INHERIT_OWNER[F086:INHERITED_VISIBLE:B3_LOWER_MARGIN_BASKET_VESSEL_STATION] -> BREAK_VISIBLE_GAP -> SET_UNRESOLVED_OWNER[F087:UNRESOLVED:B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]	BASKET_DISCHARGE_THEN_UNASSIGNED_HANDOFF	Entleere den korbartigen Randposten; setze nach der sichtbaren Lücke einen neuen, noch unzugeordneten Übergabeposten	Nimm den getrockneten Materialposten aus dem Korb und schließe nur diese Buchung. Kopiere den Exemplarwert in einen Quarantäneposten, ohne ihn einer Bildstation zuzuweisen.	BREAK_ENFORCED	3
PB05	B3-S018	B3	SETTLE_COLLECT	F089=UNRESOLVED:B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	KEEP_UNRESOLVED_OWNER[F089:UNRESOLVED:B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]	UNASSIGNED_SETTLING_LEDGER_PAIR	Halte zwei Absetzvarianten im bildlosen Zwischenposten getrennt, bis ein neuer sichtbarer Besitzer beginnt	Notiere die ungelöste Besitzerfrage und setze jede physische Übergabe aus.	LOCAL_OWNER_ONLY;NO_GLOBAL_DIRECTION	3
PB05	B3-S019	B3	SETTLE_COLLECT	F090=UNRESOLVED:B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	KEEP_UNRESOLVED_OWNER[F090:UNRESOLVED:B3_MARGIN_TO_MAIN_GAP_UNRESOLVED]	UNASSIGNED_SETTLING_LEDGER_PAIR	Halte zwei Absetzvarianten im bildlosen Zwischenposten getrennt, bis ein neuer sichtbarer Besitzer beginnt	Schließe den örtlichen Formularposten, ohne eine unsichtbare Verbindung zu ergänzen.	LOCAL_OWNER_ONLY;NO_GLOBAL_DIRECTION	3
