attachment_contact_id	window_id	dispatch_id	patch_id	page	locus	target_ordinal	target_surface	opaque_head_id	line_position	selected_roles	side	signed_offset	distance	neighbor_ordinal	neighbor_surface	neighbor_semantic_value_de	neighbor_axis_tags	neighbor_scalar_host_types	formal_role_direction_match	guarded_reader_exact_pair_occurrences	guarded_reader_exact_full_frame_occurrences	intervening_surface	intervening_emits_own_unit	intervening_strict_initial_head	intervening_another_gdt738_target	target_family	target_level	target_favored_axis	target_dimension	target_prior_state_mode	target_wanted_carrier_set	host_quality_set	host_carrier_set	host_scalar_class_set	host_boundary_set	host_axis_signature	single_host_covers_requested_carrier	middle_reader_exact	middle_known	middle_positive_host_eligible	middle_ineligibility_reasons	middle_quality_set	middle_carrier_set	middle_scalar_class_set	middle_boundary_set	middle_axis_signature	middle_barrier	axis_continuity	carrier_continuity	opposite_reader_exact	opposite_known	opposite_positive_host_eligible	opposite_ineligibility_reasons	opposite_quality_set	strict_axis_relay_candidate	strict_carrier_relay_candidate	relaxed_axis_relay_candidate	relaxed_carrier_relay_candidate	axis_role_retained	carrier_role_retained	predicted_axis_role_retained	predicted_carrier_role_retained	predicted_renderer_role_retained	grammar_rule_trace	axis_flag_matches_gdt740	carrier_flag_matches_gdt740	role_flags_match_gdt740	literal_plaintext_claimed	component_export_credit
G740-C0001	G739-N00004	G739-D0001	G738-P0001	f111v	f111v.31	5	lain	H4	MIDDLE	AXIS+CARRIER	L	-1	1	4	cheal	Rohstoffklasse I, trocken in der Gradmitte	DRY|VALUE|MATERIAL	QUALITY_DEGREE	1	1	1	NONE	0	0	0	SCALAR	II	OPEN	QUALITY_DEGREE	NOT_APPLICABLE	MATERIAL	DRY	MATERIAL	QUALITY_DEGREE	NONE	QUALITY:DRY	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NOT_APPLICABLE	NONE	NONE	1	1	0	BELOW_W2_OR_NA	DRY	0	0	0	0	1	1	1	1	1	DIRECT_DEFAULT	1	1	1	0	0
G740-C0002	G739-N00017	G739-D0003	G738-P0003	f116r	f116r.17	5	lain	H4	MIDDLE	AXIS	L	-2	2	3	qokeey	heiß am Ende des Grades	HOT|VALUE	QUALITY_DEGREE	1	1	1	okeey	1	0	0	SCALAR	II	OPEN	QUALITY_DEGREE	NOT_APPLICABLE	NONE	HOT	NONE	QUALITY_DEGREE	NONE	QUALITY:HOT	0	1	1	0	BELOW_W2_OR_NA	HOT	PREPARATION	QUALITY_DEGREE	NONE	QUALITY:HOT	OPEN	EXACT_SINGLE	NONE	NA	0	NA	NA	NA	1	0	1	0	1	0	1	0	1	G06A	1	1	1	0	0
G740-C0003	G739-N00026	G739-D0004	G738-P0004	f46r	f46r.13	8	lain	H4	MIDDLE	CARRIER	L	-1	1	7	ols	Drogenstoffposten	MATERIAL	NONE	1	1	1	NONE	0	0	0	SCALAR	II	OPEN	OPEN_SCALAR	NOT_APPLICABLE	MATERIAL	NONE	MATERIAL	NONE	NONE	NONE	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NOT_APPLICABLE	NONE	NONE	1	1	0	BELOW_W2_OR_NA	NONE	0	0	0	0	0	1	0	1	1	DIRECT_DEFAULT	1	1	1	0	0
G740-C0004	G739-N00032	G739-D0005	G738-P0005	f103r	f103r.47	6	lcheedy	H4	MIDDLE	CARRIER	L	-1	1	5	qokaly	erhitze Rohdroge I leicht und schließe ab	HOT|MATERIAL|PROCESS	NONE	1	1	1	NONE	0	0	0	STATE_RESULT	II	DRY	PROCESS_RESULT_AXIS_OPEN	PROCESS_RESULT	MATERIAL	HOT	MATERIAL	NONE	PROCESS	NONE	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NOT_APPLICABLE	NONE	NONE	1	0	0	UNKNOWN|BELOW_W2_OR_NA|NO_SELECTING_AXIS	NONE	0	0	0	0	0	1	0	1	1	DIRECT_DEFAULT	1	1	1	0	0
G740-C0005	G739-N00035	G739-D0006	G738-P0006	f104v	f104v.20	3	lcheedy	H4	MIDDLE	CARRIER	L	-1	1	2	sheeo	vollständig eingeweichter Ansatz	PREPARATION	NONE	1	1	1	NONE	0	0	0	STATE_RESULT	II	DRY	PROCESS_RESULT_AXIS_OPEN	PROCESS_RESULT	PREPARATION	NONE	PREPARATION	NONE	NONE	NONE	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NOT_APPLICABLE	NONE	NONE	1	1	1	NONE	HOT	0	0	0	0	0	1	0	1	1	DIRECT_DEFAULT	1	1	1	0	0
G740-C0006	G739-N00078	G739-D0013	G738-P0013	f111v	f111v.23	6	lcheol	H4	MIDDLE	AXIS+CARRIER	L	-1	1	5	chckhedy	Arzneikompositum: trocken, Gradmitte, abgeschlossen	DRY|VALUE|PREPARATION|CLOSE	QUALITY_DEGREE	1	1	1	NONE	0	0	0	STATE	NA	DRY	QUALITY_STATE_DRY_LOCAL	QUALITY_STATE	PREPARATION	DRY	PREPARATION	QUALITY_DEGREE	CLOSE	STATE:DRY	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NOT_APPLICABLE	NONE	NONE	1	1	0	BELOW_W2_OR_NA	HOT	0	0	0	0	0	1	0	1	1	G03	1	1	1	0	0
G740-C0007	G739-N00091	G739-D0015	G738-P0015	f78v	f78v.17	4	lcheol	H4	MIDDLE	AXIS+CARRIER	R	2	2	6	dchdy	Trockendroge abmessen und fertigstellen	DRY|AMOUNT|MATERIAL|PROCESS|CLOSE	AMOUNT_DOSE	0	1	0	lchdy	1	1	0	STATE	NA	DRY	QUALITY_STATE_DRY_LOCAL	QUALITY_STATE	MATERIAL	DRY	MATERIAL	AMOUNT_DOSE	CLOSE|PROCESS	STATE:DRY	1	0	1	0	READER_VARIANT|OPAQUE_INITIAL_HEAD|RETIRED_LITERAL_PATIENT	DRY	MATERIAL	NONE	NONE	STATE:DRY	STRICT_HEAD	NONE	FULL_WANTED	NA	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	R2_DEFAULT_HOLD	1	1	1	0	0
G740-C0008	G739-N00095	G739-D0016	G738-P0016	f79r	f79r.34	1	lcheol	H4	FIRST	AXIS	R	1	1	2	kchedy	heiß und trocken in der Mitte des Grades, abgeschlossen	HOT|DRY|VALUE|CLOSE	QUALITY_DEGREE	0	1	1	NONE	0	0	0	STATE	NA	DRY	QUALITY_STATE_DRY_LOCAL	QUALITY_STATE	NONE	DRY|HOT	NONE	QUALITY_DEGREE	CLOSE	STATE:DRY	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NOT_APPLICABLE	NONE	NONE	NA	0	NA	NA	NA	0	0	0	0	1	0	1	0	1	DIRECT_DEFAULT	1	1	1	0	0
G740-C0009	G739-N00161	G739-D0025	G738-P0025	f104v	f104v.13	8	lkaiin	H4	MIDDLE	CARRIER	L	-1	1	7	cheo	trocken angesetzte Zubereitung	DRY|PREPARATION	NONE	1	1	1	NONE	0	0	0	SCALAR	III	HOT	OPEN_SCALAR	NOT_APPLICABLE	PREPARATION	DRY	PREPARATION	NONE	NONE	NONE	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NOT_APPLICABLE	NONE	NONE	1	0	0	UNKNOWN|BELOW_W2_OR_NA|NO_SELECTING_AXIS	NONE	0	0	0	0	0	1	0	1	1	DIRECT_DEFAULT	1	1	1	0	0
G740-C0010	G739-N00168	G739-D0026	G738-P0026	f105r	f105r.15	7	lkaiin	H4	MIDDLE	AXIS	L	-2	2	5	okeedy	heißer Ansatz am Ende des Grades, abgeschlossen	HOT|VALUE|PREPARATION|CLOSE	QUALITY_DEGREE	1	1	1	olkeeody	1	0	0	SCALAR	III	HOT	QUALITY_DEGREE	NOT_APPLICABLE	MATERIAL|PREPARATION	HOT	PREPARATION	QUALITY_DEGREE	CLOSE	QUALITY:HOT	0	1	1	0	RETIRED_LITERAL_PATIENT	NONE	MATERIAL	NONE	NONE	NONE	OPEN	NONE	NONE	NA	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	R2_DEFAULT_HOLD	1	1	1	0	0
